program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
CPP_aj,MVPF,.458879841237589,,,,,baseline,1,0
CPP_aj,MVPF_no_cc,,,,,,baseline,1,0
CPP_aj,cost,.0117761437289951,,,,1.1776143,baseline,1,0
CPP_aj,WTP,.0054038349647523,,,,.54038352,baseline,1,0
CPP_aj,program_cost,.01,,,,,baseline,1,0
CPP_aj,total_cost,.0117761437289951,,,,,baseline,1,0
CPP_aj,beh_fisc_ext,,,,,,baseline,1,0
CPP_aj,utility_fisc_ext,,,,,,baseline,1,0
CPP_aj,gas_fisc_ext,,,,,,baseline,1,0
CPP_aj,fed_fisc_ext,,,,,,baseline,1,0
CPP_aj,state_fisc_ext,,,,,,baseline,1,0
CPP_aj,WTP_USPres,.0064724185079066,,,,,baseline,1,0
CPP_aj,WTP_USFut,-.000142549346435,,,,,baseline,1,0
CPP_aj,WTP_RoW,-.0009260341967193,,,,,baseline,1,0
CPP_aj,WTP_USTotal,,,,,,baseline,1,0
CPP_aj,enviro_mvpf,,,,,,baseline,1,0
CPP_aj,cost_mvpf,,,,,,baseline,1,0
CPP_aj,firm_mvpf,,,,,,baseline,1,0
CPP_aj,cost_wtp,,,,,,baseline,1,0
CPP_aj,env_cost_wtp,,,,,,baseline,1,0
CPP_aj,marginal,,,,,,baseline,1,0
CPP_aj,infmarg,,,,,,baseline,1,0
CPP_aj,wtp_private,,,,,,baseline,1,0
CPP_aj,wtp_soc,-.0013857312755809,,,,,baseline,1,0
CPP_aj,wtp_no_ice,,,,,,baseline,1,0
CPP_aj,wtp_yes_ev,,,,,,baseline,1,0
CPP_aj,wtp_yes_hev,,,,,,baseline,1,0
CPP_aj,wtp_soc_rbd,,,,,,baseline,1,0
CPP_aj,wtp_yes_ev_local,,,,,,baseline,1,0
CPP_aj,wtp_no_ice_local,,,,,,baseline,1,0
CPP_aj,env_cost_wtp_l,,,,,,baseline,1,0
CPP_aj,wtp_soc_rbd_l,,,,,,baseline,1,0
CPP_aj,wtp_yes_ev_g,,,,,,baseline,1,0
CPP_aj,wtp_no_ice_g,,,,,,baseline,1,0
CPP_aj,env_cost_wtp_g,,,,,,baseline,1,0
CPP_aj,wtp_soc_rbd_g,,,,,,baseline,1,0
CPP_aj,wtp_marg,,,,,,baseline,1,0
CPP_aj,wtp_inf,,,,,,baseline,1,0
CPP_aj,wtp_glob,-.0010685835431543,,,,,baseline,1,0
CPP_aj,wtp_loc,-.0002962792794405,,,,,baseline,1,0
CPP_aj,wtp_r_glob,,,,,,baseline,1,0
CPP_aj,wtp_r_loc,,,,,,baseline,1,0
CPP_aj,wtp_e_cost,,,,,,baseline,1,0
CPP_aj,WTP_cc,,,,,,baseline,1,0
CPP_aj,wtp_install,,,,,,baseline,1,0
CPP_aj,wtp_prod,-.0032313022126529,,,,,baseline,1,0
CPP_aj,wtp_prod_s,,,,,,baseline,1,0
CPP_aj,wtp_prod_u,,,,,,baseline,1,0
CPP_aj,wtp_cons,.01,,,,,baseline,1,0
CPP_aj,wtp_deal,,,,,,baseline,1,0
CPP_aj,admin_cost,,,,,,baseline,1,0
CPP_aj,wtp_permits,,,,,,baseline,1,0
CPP_aj,wtp_abatement,,,,,,baseline,1,0
CPP_aj,permitrev,,,,,,baseline,1,0
CPP_aj,wtp_no_leak,,,,,,baseline,1,0
CPP_aj,wtp_leak,,,,,,baseline,1,0
CPP_aj,wtp_soc_g,,,,,,baseline,1,0
CPP_aj,wtp_soc_l,,,,,,baseline,1,0
CPP_aj,fisc_ext_t,.001755275276009,,,,,baseline,1,0
CPP_aj,fisc_ext_s,0,,,,,baseline,1,0
CPP_aj,fisc_ext_lr,.0000208684529861,,,,,baseline,1,0
CPP_aj,q_CO2,5.63946506684e-06,,,,,baseline,1,0
CPP_aj,q_CO2_no,,,,,,baseline,1,0
CPP_aj,p_spend,,,,,,baseline,1,0
CPP_aj,ev_sub_c,,,,,,baseline,1,0
CPP_aj,ev_sub_c_row,,,,,,baseline,1,0
CPP_aj,ev_sub_c_us,,,,,,baseline,1,0
CPP_aj,ev_sub_env,,,,,,baseline,1,0
CPP_aj,ev_sub_cost,,,,,,baseline,1,0
CPP_aj,profits_fisc_e,,,,,,baseline,1,0
CPP_aj,wtp_soc_l_po,,,,,,baseline,1,0
CPP_aj,wtp_soc_l_dr,,,,,,baseline,1,0
CPP_aj,gov_carbon,5.64009324538e-06,,,,,baseline,1,0
CPP_aj,resource_ce,-1017.996922955917,,,,,baseline,1,0
CPP_aj,q_carbon_mck,.00098232124032,,,,,baseline,1,0
CPP_aj,semie,.0057415975689832,,,,,baseline,1,0
CPP_aj,pass_through,,,,,,baseline,1,0
CPP_aj,permitrev_new,,,,,,baseline,1,0
CPP_aj,permitrev_ex,,,,,,baseline,1,0
CPP_aj,fiscalext,,,,,,baseline,1,0
CPP_aj,firm_cost_wtp,,,,,,baseline,1,0
