program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
PER,MVPF,1.515285819414599,,,,,baseline,1,0
PER,MVPF_no_cc,,,,,,baseline,1,0
PER,cost,.0618844439317152,,,,.61884445,baseline,1,0
PER,WTP,.0937726203320859,,,,.9377262,baseline,1,0
PER,program_cost,.1,,,,,baseline,1,0
PER,total_cost,,,,,,baseline,1,0
PER,beh_fisc_ext,,,,,,baseline,1,0
PER,utility_fisc_ext,,,,,,baseline,1,0
PER,gas_fisc_ext,,,,,,baseline,1,0
PER,fed_fisc_ext,,,,,,baseline,1,0
PER,state_fisc_ext,,,,,,baseline,1,0
PER,WTP_USPres,.0753322187786107,,,,,baseline,1,0
PER,WTP_USFut,.0024599547749792,,,,,baseline,1,0
PER,WTP_RoW,.015980446778496,,,,,baseline,1,0
PER,WTP_USTotal,,,,,,baseline,1,0
PER,enviro_mvpf,,,,,,baseline,1,0
PER,cost_mvpf,,,,,,baseline,1,0
PER,firm_mvpf,,,,,,baseline,1,0
PER,cost_wtp,,,,,,baseline,1,0
PER,env_cost_wtp,,,,,,baseline,1,0
PER,marginal,,,,,,baseline,1,0
PER,infmarg,,,,,,baseline,1,0
PER,wtp_private,,,,,,baseline,1,0
PER,wtp_soc,.0246284264003707,,,,,baseline,1,0
PER,wtp_no_ice,,,,,,baseline,1,0
PER,wtp_yes_ev,,,,,,baseline,1,0
PER,wtp_yes_hev,,,,,,baseline,1,0
PER,wtp_soc_rbd,,,,,,baseline,1,0
PER,wtp_yes_ev_local,,,,,,baseline,1,0
PER,wtp_no_ice_local,,,,,,baseline,1,0
PER,env_cost_wtp_l,,,,,,baseline,1,0
PER,wtp_soc_rbd_l,,,,,,baseline,1,0
PER,wtp_yes_ev_g,,,,,,baseline,1,0
PER,wtp_no_ice_g,,,,,,baseline,1,0
PER,env_cost_wtp_g,,,,,,baseline,1,0
PER,wtp_soc_rbd_g,,,,,,baseline,1,0
PER,wtp_marg,,,,,,baseline,1,0
PER,wtp_inf,,,,,,baseline,1,0
PER,wtp_glob,.0184404015534752,,,,,baseline,1,0
PER,wtp_loc,.0058279007786107,,,,,baseline,1,0
PER,wtp_r_glob,,,,,,baseline,1,0
PER,wtp_r_loc,,,,,,baseline,1,0
PER,wtp_e_cost,,,,,,baseline,1,0
PER,WTP_cc,,,,,,baseline,1,0
PER,wtp_install,,,,,,baseline,1,0
PER,wtp_prod,.069504318,,,,,baseline,1,0
PER,wtp_prod_s,,,,,,baseline,1,0
PER,wtp_prod_u,,,,,,baseline,1,0
PER,wtp_cons,0,,,,,baseline,1,0
PER,wtp_deal,,,,,,baseline,1,0
PER,admin_cost,,,,,,baseline,1,0
PER,wtp_permits,,,,,,baseline,1,0
PER,wtp_abatement,,,,,,baseline,1,0
PER,permitrev,,,,,,baseline,1,0
PER,wtp_no_leak,,,,,,baseline,1,0
PER,wtp_leak,,,,,,baseline,1,0
PER,wtp_soc_g,,,,,,baseline,1,0
PER,wtp_soc_l,,,,,,baseline,1,0
PER,fisc_ext_t,-.037755432,,,,,baseline,1,0
PER,fisc_ext_s,0,,,,,baseline,1,0
PER,fisc_ext_lr,-.0003601240682848,,,,,baseline,1,0
PER,q_CO2,.0001213010218664,,,,,baseline,1,0
PER,q_CO2_no,,,,,,baseline,1,0
PER,p_spend,,,,,,baseline,1,0
PER,ev_sub_c,,,,,,baseline,1,0
PER,ev_sub_c_row,,,,,,baseline,1,0
PER,ev_sub_c_us,,,,,,baseline,1,0
PER,ev_sub_env,,,,,,baseline,1,0
PER,ev_sub_cost,,,,,,baseline,1,0
PER,profits_fisc_e,,,,,,baseline,1,0
PER,wtp_soc_l_po,,,,,,baseline,1,0
PER,wtp_soc_l_dr,,,,,,baseline,1,0
PER,gov_carbon,.0001213145335557,,,,,baseline,1,0
PER,resource_ce,-193.7113329394312,,,,,baseline,1,0
PER,q_carbon_mck,.0001213145335557,,,,,baseline,1,0
PER,semie,,,,,,baseline,1,0
PER,pass_through,,,,,,baseline,1,0
PER,permitrev_new,,,,,,baseline,1,0
PER,permitrev_ex,,,,,,baseline,1,0
PER,fiscalext,,,,,,baseline,1,0
PER,firm_cost_wtp,,,,,,baseline,1,0
PER,c_savings,,,,,,baseline,1,0
PER,resource_cost,,,,,,baseline,1,0
PER,q_CO2_mck,,,,,,baseline,1,0
PER,q_CO2_mck_no,,,,,,baseline,1,0
PER,wtp_ctr,,,,,,baseline,1,0
PER,gas_corp_fisc_e,,,,,,baseline,1,0
PER,epsilon,,,,,,baseline,1,0
PER,transfer,,,,,,baseline,1,0
PER,enviro_wtp,,,,,,baseline,1,0
PER,cost_curve,,,,,,baseline,1,0
PER,profits,,,,,,baseline,1,0
PER,subsidies,,,,,,baseline,1,0
PER,taxes,,,,,,baseline,1,0
PER,wtp_batt,,,,,,baseline,1,0
PER,wtp_local_w_r,,,,,,baseline,1,0
PER,wind_g_wf,,,,,,baseline,1,0
PER,wind_l_wf,,,,,,baseline,1,0
