program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
audit_nudge,MVPF,.5262276996592435,,,,,baseline,1,0
audit_nudge,MVPF_no_cc,,,,,,baseline,1,0
audit_nudge,cost,163.8602762206705,,,,4.3840408,baseline,1,0
audit_nudge,WTP,86.22781622113169,,,,2.3070037,baseline,1,0
audit_nudge,program_cost,37.37653982873866,,,,,baseline,1,0
audit_nudge,total_cost,,,,,,baseline,1,0
audit_nudge,beh_fisc_ext,,,,,,baseline,1,0
audit_nudge,utility_fisc_ext,,,,,,baseline,1,0
audit_nudge,gas_fisc_ext,,,,,,baseline,1,0
audit_nudge,fed_fisc_ext,,,,,,baseline,1,0
audit_nudge,state_fisc_ext,,,,,,baseline,1,0
audit_nudge,WTP_USPres,-40.78923140229292,,,,,baseline,1,0
audit_nudge,WTP_USFut,16.94411002379274,,,,,baseline,1,0
audit_nudge,WTP_RoW,110.0729375996319,,,,,baseline,1,0
audit_nudge,WTP_USTotal,,,,,,baseline,1,0
audit_nudge,enviro_mvpf,,,,,,baseline,1,0
audit_nudge,cost_mvpf,,,,,,baseline,1,0
audit_nudge,firm_mvpf,,,,,,baseline,1,0
audit_nudge,cost_wtp,,,,,,baseline,1,0
audit_nudge,env_cost_wtp,,,,,,baseline,1,0
audit_nudge,marginal,,,,,,baseline,1,0
audit_nudge,infmarg,,,,,,baseline,1,0
audit_nudge,wtp_private,,,,,,baseline,1,0
audit_nudge,wtp_soc,159.2499757926589,,,,,baseline,1,0
audit_nudge,wtp_no_ice,,,,,,baseline,1,0
audit_nudge,wtp_yes_ev,,,,,,baseline,1,0
audit_nudge,wtp_yes_hev,,,,,,baseline,1,0
audit_nudge,wtp_soc_rbd,,,,,,baseline,1,0
audit_nudge,wtp_yes_ev_local,,,,,,baseline,1,0
audit_nudge,wtp_no_ice_local,,,,,,baseline,1,0
audit_nudge,env_cost_wtp_l,,,,,,baseline,1,0
audit_nudge,wtp_soc_rbd_l,,,,,,baseline,1,0
audit_nudge,wtp_yes_ev_g,,,,,,baseline,1,0
audit_nudge,wtp_no_ice_g,,,,,,baseline,1,0
audit_nudge,env_cost_wtp_g,,,,,,baseline,1,0
audit_nudge,wtp_soc_rbd_g,,,,,,baseline,1,0
audit_nudge,wtp_marg,,,,,,baseline,1,0
audit_nudge,wtp_inf,,,,,,baseline,1,0
audit_nudge,wtp_glob,157.9550819916436,,,,,baseline,1,0
audit_nudge,wtp_loc,36.99931000095397,,,,,baseline,1,0
audit_nudge,wtp_r_glob,-30.93803436821901,,,,,baseline,1,0
audit_nudge,wtp_r_loc,-7.246907854920814,,,,,baseline,1,0
audit_nudge,wtp_e_cost,,,,,,baseline,1,0
audit_nudge,WTP_cc,,,,,,baseline,1,0
audit_nudge,wtp_install,,,,,,baseline,1,0
audit_nudge,wtp_prod,-70.54163354832608,,,,,baseline,1,0
audit_nudge,wtp_prod_s,,,,,,baseline,1,0
audit_nudge,wtp_prod_u,,,,,,baseline,1,0
audit_nudge,wtp_cons,0,,,,,baseline,1,0
audit_nudge,wtp_deal,,,,,,baseline,1,0
