program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
baaqmd,MVPF,2.37667127172676,,,,,baseline,1,0
baaqmd,MVPF_no_cc,,,,,,baseline,1,0
baaqmd,cost,1022.715493578065,,,,1.5171531,baseline,1,0
baaqmd,WTP,2430.658532736841,,,,3.6057742,baseline,1,0
baaqmd,program_cost,674.1017004274299,,,,,baseline,1,0
baaqmd,total_cost,,,,,,baseline,1,0
baaqmd,beh_fisc_ext,,,,,,baseline,1,0
baaqmd,utility_fisc_ext,,,,,,baseline,1,0
baaqmd,gas_fisc_ext,,,,,,baseline,1,0
baaqmd,fed_fisc_ext,,,,,,baseline,1,0
baaqmd,state_fisc_ext,,,,,,baseline,1,0
baaqmd,WTP_USPres,1874.330480553004,,,,,baseline,1,0
baaqmd,WTP_USFut,74.21431927368164,,,,,baseline,1,0
baaqmd,WTP_RoW,482.1137329101562,,,,,baseline,1,0
baaqmd,WTP_USTotal,,,,,,baseline,1,0
baaqmd,enviro_mvpf,,,,,,baseline,1,0
baaqmd,cost_mvpf,,,,,,baseline,1,0
baaqmd,firm_mvpf,,,,,,baseline,1,0
baaqmd,cost_wtp,,,,,,baseline,1,0
baaqmd,env_cost_wtp,,,,,,baseline,1,0
baaqmd,marginal,,,,,,baseline,1,0
baaqmd,infmarg,,,,,,baseline,1,0
baaqmd,wtp_private,,,,,,baseline,1,0
baaqmd,wtp_soc,,,,,,baseline,1,0
baaqmd,wtp_no_ice,,,,,,baseline,1,0
baaqmd,wtp_yes_ev,,,,,,baseline,1,0
baaqmd,wtp_yes_hev,,,,,,baseline,1,0
baaqmd,wtp_soc_rbd,-251.6825172026634,,,,,baseline,1,0
baaqmd,wtp_yes_ev_local,,,,,,baseline,1,0
baaqmd,wtp_no_ice_local,,,,,,baseline,1,0
baaqmd,env_cost_wtp_l,,,,,,baseline,1,0
baaqmd,wtp_soc_rbd_l,,,,,,baseline,1,0
baaqmd,wtp_yes_ev_g,,,,,,baseline,1,0
