program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
baaqmd,MVPF,2.37667127172676,,,,99999,,baseline,1,0
baaqmd,MVPF_no_cc,,,,,99999,,baseline,1,0
baaqmd,cost,1022.715493578065,,,,99999,1.5171531,baseline,1,0
baaqmd,WTP,2430.658532736841,,,,99999,3.6057742,baseline,1,0
baaqmd,program_cost,674.1017004274299,,,,99999,,baseline,1,0
baaqmd,total_cost,,,,,99999,,baseline,1,0
baaqmd,beh_fisc_ext,,,,,99999,,baseline,1,0
baaqmd,utility_fisc_ext,,,,,99999,,baseline,1,0
baaqmd,gas_fisc_ext,,,,,99999,,baseline,1,0
baaqmd,fed_fisc_ext,,,,,99999,,baseline,1,0
baaqmd,state_fisc_ext,,,,,99999,,baseline,1,0
baaqmd,WTP_USPres,1874.330480553004,,,,99999,,baseline,1,0
baaqmd,WTP_USFut,74.21431927368164,,,,99999,,baseline,1,0
baaqmd,WTP_RoW,482.1137329101562,,,,99999,,baseline,1,0
baaqmd,WTP_USTotal,,,,,99999,,baseline,1,0
baaqmd,enviro_mvpf,,,,,99999,,baseline,1,0
baaqmd,cost_mvpf,,,,,99999,,baseline,1,0
baaqmd,firm_mvpf,,,,,99999,,baseline,1,0
baaqmd,cost_wtp,,,,,99999,,baseline,1,0
baaqmd,env_cost_wtp,,,,,99999,,baseline,1,0
baaqmd,marginal,,,,,99999,,baseline,1,0
baaqmd,infmarg,,,,,99999,,baseline,1,0
baaqmd,wtp_private,,,,,99999,,baseline,1,0
baaqmd,wtp_soc,,,,,99999,,baseline,1,0
baaqmd,wtp_no_ice,,,,,99999,,baseline,1,0
baaqmd,wtp_yes_ev,,,,,99999,,baseline,1,0
baaqmd,wtp_yes_hev,,,,,99999,,baseline,1,0
baaqmd,wtp_soc_rbd,-251.6825172026634,,,,99999,,baseline,1,0
baaqmd,wtp_yes_ev_local,,,,,99999,,baseline,1,0
baaqmd,wtp_no_ice_local,,,,,99999,,baseline,1,0
baaqmd,env_cost_wtp_l,,,,,99999,,baseline,1,0
baaqmd,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
baaqmd,wtp_yes_ev_g,,,,,99999,,baseline,1,0
baaqmd,wtp_no_ice_g,,,,,99999,,baseline,1,0
baaqmd,env_cost_wtp_g,,,,,99999,,baseline,1,0
baaqmd,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
baaqmd,wtp_marg,0,,,,99999,,baseline,1,0
baaqmd,wtp_inf,455.4741219104256,,,,99999,,baseline,1,0
baaqmd,wtp_glob,614.9519908952904,,,,99999,,baseline,1,0
baaqmd,wtp_loc,1919.780502319336,,,,99999,,baseline,1,0
baaqmd,wtp_r_glob,-58.62393871145248,,,,99999,,baseline,1,0
baaqmd,wtp_r_loc,-193.0585784912109,,,,99999,,baseline,1,0
baaqmd,wtp_e_cost,,,,,99999,,baseline,1,0
baaqmd,WTP_cc,,,,,99999,,baseline,1,0
baaqmd,wtp_install,,,,,99999,,baseline,1,0
baaqmd,wtp_prod,-307.8655651855469,,,,99999,,baseline,1,0
baaqmd,wtp_prod_s,-307.8655651855469,,,,99999,,baseline,1,0
baaqmd,wtp_prod_u,,,,,99999,,baseline,1,0
baaqmd,wtp_cons,,,,,99999,,baseline,1,0
baaqmd,wtp_deal,,,,,99999,,baseline,1,0
baaqmd,admin_cost,218.6275785170043,,,,99999,,baseline,1,0
baaqmd,wtp_permits,,,,,99999,,baseline,1,0
baaqmd,wtp_abatement,,,,,99999,,baseline,1,0
baaqmd,permitrev,,,,,99999,,baseline,1,0
baaqmd,wtp_no_leak,,,,,99999,,baseline,1,0
baaqmd,wtp_leak,,,,,99999,,baseline,1,0
baaqmd,wtp_soc_g,,,,,99999,,baseline,1,0
baaqmd,wtp_soc_l,,,,,99999,,baseline,1,0
baaqmd,fisc_ext_t,359.4783679199219,,,,99999,,baseline,1,0
baaqmd,fisc_ext_s,,,,,99999,,baseline,1,0
baaqmd,fisc_ext_lr,-10.86457476928711,,,,99999,,baseline,1,0
baaqmd,q_CO2,9.053328514099121,,,,99999,,baseline,1,0
baaqmd,q_CO2_no,,,,,99999,,baseline,1,0
baaqmd,p_spend,,,,,99999,,baseline,1,0
baaqmd,ev_sub_c,,,,,99999,,baseline,1,0
baaqmd,ev_sub_c_row,,,,,99999,,baseline,1,0
baaqmd,ev_sub_c_us,,,,,99999,,baseline,1,0
baaqmd,ev_sub_env,,,,,99999,,baseline,1,0
baaqmd,ev_sub_cost,,,,,99999,,baseline,1,0
baaqmd,profits_fisc_e,,,,,99999,,baseline,1,0
baaqmd,wtp_soc_l_po,,,,,99999,,baseline,1,0
baaqmd,wtp_soc_l_dr,,,,,99999,,baseline,1,0
baaqmd,gov_carbon,9.053328514099121,,,,99999,,baseline,1,0
baaqmd,resource_ce,329.2288912808752,,,,99999,,baseline,1,0
baaqmd,q_carbon_mck,10.00727826356888,,,,99999,,baseline,1,0
baaqmd,semie,,,,,99999,,baseline,1,0
baaqmd,pass_through,,,,,99999,,baseline,1,0
baaqmd,permitrev_new,,,,,99999,,baseline,1,0
baaqmd,permitrev_ex,,,,,99999,,baseline,1,0
baaqmd,fiscalext,,,,,99999,,baseline,1,0
baaqmd,firm_cost_wtp,,,,,99999,,baseline,1,0
baaqmd,c_savings,935.8868408203125,,,,99999,,baseline,1,0
baaqmd,resource_cost,-935.8868408203125,,,,99999,,baseline,1,0
baaqmd,q_CO2_mck,9.053328514099121,,,,99999,,baseline,1,0
baaqmd,q_CO2_mck_no,,,,,99999,,baseline,1,0
baaqmd,wtp_ctr,,,,,99999,,baseline,1,0
baaqmd,gas_corp_fisc_e,,,,,99999,,baseline,1,0
baaqmd,epsilon,,,,,99999,,baseline,1,0
baaqmd,transfer,,,,,99999,,baseline,1,0
baaqmd,enviro_wtp,,,,,99999,,baseline,1,0
baaqmd,cost_curve,,,,,99999,,baseline,1,0
baaqmd,profits,,,,,99999,,baseline,1,0
baaqmd,subsidies,,,,,99999,,baseline,1,0
baaqmd,taxes,,,,,99999,,baseline,1,0
baaqmd,wtp_batt,,,,,99999,,baseline,1,0
baaqmd,wtp_local_w_r,,,,,99999,,baseline,1,0
baaqmd,wind_g_wf,,,,,99999,,baseline,1,0
