program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
bento_gas,MVPF,.6160587661472435,,,,,baseline,1,0
bento_gas,MVPF_no_cc,.6160587661472435,,,,,baseline,1,0
bento_gas,cost,.8805156282764468,,,,.88051564,baseline,1,0
bento_gas,WTP,.5424493715293528,,,,.54244936,baseline,1,0
bento_gas,program_cost,1,,,,,baseline,1,0
bento_gas,total_cost,.8805156282764468,,,,,baseline,1,0
bento_gas,beh_fisc_ext,,,,,,baseline,1,0
bento_gas,utility_fisc_ext,,,,,,baseline,1,0
bento_gas,gas_fisc_ext,,,,,,baseline,1,0
bento_gas,fed_fisc_ext,,,,,,baseline,1,0
bento_gas,state_fisc_ext,,,,,,baseline,1,0
bento_gas,WTP_USPres,.7587540422543708,,,,,baseline,1,0
bento_gas,WTP_USFut,-.0288551041612232,,,,,baseline,1,0
bento_gas,WTP_RoW,-.1874495665637948,,,,,baseline,1,0
bento_gas,WTP_USTotal,,,,,,baseline,1,0
bento_gas,enviro_mvpf,,,,,,baseline,1,0
bento_gas,cost_mvpf,,,,,,baseline,1,0
bento_gas,firm_mvpf,,,,,,baseline,1,0
bento_gas,cost_wtp,0,,,,,baseline,1,0
bento_gas,env_cost_wtp,0,,,,,baseline,1,0
bento_gas,marginal,,,,,,baseline,1,0
bento_gas,infmarg,,,,,,baseline,1,0
bento_gas,wtp_private,,,,,,baseline,1,0
bento_gas,wtp_soc,-.5662927812266756,,,,,baseline,1,0
bento_gas,wtp_no_ice,,,,,,baseline,1,0
bento_gas,wtp_yes_ev,,,,,,baseline,1,0
bento_gas,wtp_yes_hev,,,,,,baseline,1,0
bento_gas,wtp_soc_rbd,,,,,,baseline,1,0
bento_gas,wtp_yes_ev_local,,,,,,baseline,1,0
bento_gas,wtp_no_ice_local,,,,,,baseline,1,0
bento_gas,env_cost_wtp_l,,,,,,baseline,1,0
bento_gas,wtp_soc_rbd_l,,,,,,baseline,1,0
bento_gas,wtp_yes_ev_g,,,,,,baseline,1,0
bento_gas,wtp_no_ice_g,,,,,,baseline,1,0
bento_gas,env_cost_wtp_g,,,,,,baseline,1,0
bento_gas,wtp_soc_rbd_g,,,,,,baseline,1,0
bento_gas,wtp_marg,,,,,,baseline,1,0
bento_gas,wtp_inf,,,,,,baseline,1,0
bento_gas,wtp_glob,,,,,,baseline,1,0
bento_gas,wtp_loc,,,,,,baseline,1,0
bento_gas,wtp_r_glob,,,,,,baseline,1,0
bento_gas,wtp_r_loc,,,,,,baseline,1,0
bento_gas,wtp_e_cost,,,,,,baseline,1,0
bento_gas,WTP_cc,,,,,,baseline,1,0
bento_gas,wtp_install,,,,,,baseline,1,0
bento_gas,wtp_prod,.1087421527560283,,,,,baseline,1,0
bento_gas,wtp_prod_s,.1087421527560283,,,,,baseline,1,0
bento_gas,wtp_prod_u,0,,,,,baseline,1,0
bento_gas,wtp_cons,1,,,,,baseline,1,0
bento_gas,wtp_deal,,,,,,baseline,1,0
bento_gas,admin_cost,,,,,,baseline,1,0
bento_gas,wtp_permits,,,,,,baseline,1,0
bento_gas,wtp_abatement,,,,,,baseline,1,0
bento_gas,permitrev,,,,,,baseline,1,0
bento_gas,wtp_no_leak,,,,,,baseline,1,0
bento_gas,wtp_leak,,,,,,baseline,1,0
bento_gas,wtp_soc_g,-.216304670725018,,,,,baseline,1,0
bento_gas,wtp_soc_l,-.3499881105016575,,,,,baseline,1,0
bento_gas,fisc_ext_t,-.1237086028382938,,,,,baseline,1,0
bento_gas,fisc_ext_s,0,,,,,baseline,1,0
bento_gas,fisc_ext_lr,.0042242311147406,,,,,baseline,1,0
bento_gas,q_CO2,-.0017815873234823,,,,,baseline,1,0
bento_gas,q_CO2_no,.0017815873234823,,,,,baseline,1,0
bento_gas,p_spend,.9051975390335618,,,,,baseline,1,0
bento_gas,ev_sub_c,,,,,,baseline,1,0
bento_gas,ev_sub_c_row,,,,,,baseline,1,0
bento_gas,ev_sub_c_us,,,,,,baseline,1,0
bento_gas,ev_sub_env,,,,,,baseline,1,0
bento_gas,ev_sub_cost,,,,,,baseline,1,0
bento_gas,profits_fisc_e,,,,,,baseline,1,0
bento_gas,wtp_soc_l_po,-.1324880271427107,,,,,baseline,1,0
bento_gas,wtp_soc_l_dr,-.2175000833589467,,,,,baseline,1,0
bento_gas,gov_carbon,-.0017815873234823,,,,,baseline,1,0
bento_gas,resource_ce,-143.9159241526742,,,,,baseline,1,0
bento_gas,q_carbon_mck,.007052872870456,,,,,baseline,1,0
bento_gas,semie,-.2526044856054705,,,,,baseline,1,0
bento_gas,pass_through,,,,,,baseline,1,0
bento_gas,permitrev_new,,,,,,baseline,1,0
bento_gas,permitrev_ex,,,,,,baseline,1,0
bento_gas,fiscalext,,,,,,baseline,1,0
bento_gas,firm_cost_wtp,,,,,,baseline,1,0
bento_gas,c_savings,,,,,,baseline,1,0
bento_gas,resource_cost,,,,,,baseline,1,0
bento_gas,q_CO2_mck,.007052872870456,,,,,baseline,1,0
bento_gas,q_CO2_mck_no,.007052872870456,,,,,baseline,1,0
bento_gas,wtp_ctr,,,,,,baseline,1,0
bento_gas,gas_corp_fisc_e,,,,,,baseline,1,0
bento_gas,epsilon,,,,,,baseline,1,0
bento_gas,transfer,,,,,,baseline,1,0
bento_gas,enviro_wtp,,,,,,baseline,1,0
bento_gas,cost_curve,,,,,,baseline,1,0
bento_gas,profits,,,,,,baseline,1,0
bento_gas,subsidies,,,,,,baseline,1,0
bento_gas,taxes,,,,,,baseline,1,0
bento_gas,wtp_batt,,,,,,baseline,1,0
bento_gas,wtp_local_w_r,,,,,,baseline,1,0
bento_gas,wind_g_wf,,,,,,baseline,1,0
bento_gas,wind_l_wf,,,,,,baseline,1,0
