program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
bev_state,MVPF,.8726767746399648,,,,,baseline,1,0
bev_state,MVPF_no_cc,.5759190512258463,,,,,baseline,1,0
bev_state,cost,1.823683686548865,,,,1.8236837,baseline,1,0
bev_state,WTP,1.050294178493276,,,,1.0502942,baseline,1,0
bev_state,program_cost,1,,,,,baseline,1,0
bev_state,total_cost,1.823683686548865,,,,,baseline,1,0
bev_state,beh_fisc_ext,.2067202881152461,,,,,baseline,1,0
bev_state,utility_fisc_ext,-.0239665113784766,,,,,baseline,1,0
bev_state,gas_fisc_ext,.0559439865742718,,,,,baseline,1,0
bev_state,fed_fisc_ext,.5543885419921875,,,,,baseline,1,0
bev_state,state_fisc_ext,0,,,,,baseline,1,0
bev_state,WTP_USPres,.8889179930728229,,,,,baseline,1,0
bev_state,WTP_USFut,.0842758410518767,,,,,baseline,1,0
bev_state,WTP_RoW,.6484163022949898,,,,,baseline,1,0
bev_state,WTP_USTotal,,,,,,baseline,1,0
bev_state,enviro_mvpf,.1413920707879584,,,,,baseline,1,0
bev_state,cost_mvpf,.4031552076339722,,,,,baseline,1,0
bev_state,firm_mvpf,,,,,,baseline,1,0
bev_state,cost_wtp,.4031552076339722,,,,,baseline,1,0
bev_state,env_cost_wtp,.1380370114137354,,,,,baseline,1,0
bev_state,marginal,,,,,,baseline,1,0
bev_state,infmarg,,,,,,baseline,1,0
bev_state,wtp_private,,,,,,baseline,1,0
bev_state,wtp_soc,.095502028736731,,,,,baseline,1,0
bev_state,wtp_no_ice,.392131605355469,,,,,baseline,1,0
bev_state,wtp_yes_ev,-.2665058377400323,,,,,baseline,1,0
bev_state,wtp_yes_hev,,,,,,baseline,1,0
bev_state,wtp_soc_rbd,.0521994396341633,,,,,baseline,1,0
bev_state,wtp_yes_ev_local,-.0546200017343988,,,,,baseline,1,0
bev_state,wtp_no_ice_local,.0308937762038092,,,,,baseline,1,0
bev_state,env_cost_wtp_l,-.0006466942582796,,,,,baseline,1,0
bev_state,wtp_soc_rbd_l,.0106982027393105,,,,,baseline,1,0
bev_state,wtp_yes_ev_g,-.2118858360056335,,,,,baseline,1,0
bev_state,wtp_no_ice_g,.3612378291516598,,,,,baseline,1,0
bev_state,env_cost_wtp_g,.138683705672015,,,,,baseline,1,0
bev_state,wtp_soc_rbd_g,.0415012368948528,,,,,baseline,1,0
bev_state,wtp_marg,.1033601440576231,,,,,baseline,1,0
bev_state,wtp_inf,2650.260104041617,,,,,baseline,1,0
bev_state,wtp_glob,.1192282542673206,,,,,baseline,1,0
bev_state,wtp_loc,-.0237262255305896,,,,,baseline,1,0
bev_state,wtp_r_glob,,,,,,baseline,1,0
bev_state,wtp_r_loc,,,,,,baseline,1,0
bev_state,wtp_e_cost,,,,,,baseline,1,0
bev_state,WTP_cc,1.591486397540984,,,,,baseline,1,0
bev_state,wtp_install,,,,,,baseline,1,0
bev_state,wtp_prod,,,,,,baseline,1,0
bev_state,wtp_prod_s,-.1415274585516322,,,,,baseline,1,0
bev_state,wtp_prod_u,.0441201686740138,,,,,baseline,1,0
bev_state,wtp_cons,1,,,,,baseline,1,0
bev_state,wtp_deal,0,,,,,baseline,1,0
bev_state,admin_cost,,,,,,baseline,1,0
bev_state,wtp_permits,,,,,,baseline,1,0
bev_state,wtp_abatement,,,,,,baseline,1,0
bev_state,permitrev,,,,,,baseline,1,0
bev_state,wtp_no_leak,,,,,,baseline,1,0
bev_state,wtp_leak,,,,,,baseline,1,0
bev_state,wtp_soc_g,,,,,,baseline,1,0
bev_state,wtp_soc_l,,,,,,baseline,1,0
bev_state,fisc_ext_t,,,,,,baseline,1,0
bev_state,fisc_ext_s,,,,,,baseline,1,0
bev_state,fisc_ext_lr,-.0070238419136582,,,,,baseline,1,0
bev_state,q_CO2,.0008272123720595,,,,,baseline,1,0
bev_state,q_CO2_no,,,,,,baseline,1,0
bev_state,p_spend,,,,,,baseline,1,0
bev_state,ev_sub_c,,,,,,baseline,1,0
bev_state,ev_sub_c_row,,,,,,baseline,1,0
bev_state,ev_sub_c_us,,,,,,baseline,1,0
bev_state,ev_sub_env,,,,,,baseline,1,0
bev_state,ev_sub_cost,,,,,,baseline,1,0
bev_state,profits_fisc_e,.013654711780818,,,,,baseline,1,0
bev_state,wtp_soc_l_po,,,,,,baseline,1,0
bev_state,wtp_soc_l_dr,,,,,,baseline,1,0
bev_state,gov_carbon,.0008272123720595,,,,,baseline,1,0
bev_state,resource_ce,763.2830341168014,,,,,baseline,1,0
bev_state,q_carbon_mck,8.868290076850339,,,,,baseline,1,0
bev_state,semie,.000078,,,,,baseline,1,0
bev_state,pass_through,,,,,,baseline,1,0
bev_state,permitrev_new,,,,,,baseline,1,0
bev_state,permitrev_ex,,,,,,baseline,1,0
bev_state,fiscalext,,,,,,baseline,1,0
bev_state,firm_cost_wtp,,,,,,baseline,1,0
bev_state,c_savings,0,,,,,baseline,1,0
bev_state,resource_cost,,,,,,baseline,1,0
