program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
bev_state,MVPF,.8726767746399648,,,,99999,,baseline,1,0
bev_state,MVPF_no_cc,.5759190512258463,,,,99999,,baseline,1,0
bev_state,cost,1.823683686548865,,,,99999,1.8236837,baseline,1,0
bev_state,WTP,1.050294178493276,,,,99999,1.0502942,baseline,1,0
bev_state,program_cost,1,,,,99999,,baseline,1,0
bev_state,total_cost,1.823683686548865,,,,99999,,baseline,1,0
bev_state,beh_fisc_ext,.2067202881152461,,,,99999,,baseline,1,0
bev_state,utility_fisc_ext,-.0239665113784766,,,,99999,,baseline,1,0
bev_state,gas_fisc_ext,.0559439865742718,,,,99999,,baseline,1,0
bev_state,fed_fisc_ext,.5543885419921875,,,,99999,,baseline,1,0
bev_state,state_fisc_ext,0,,,,99999,,baseline,1,0
bev_state,WTP_USPres,.8889179930728229,,,,99999,,baseline,1,0
bev_state,WTP_USFut,.0842758410518767,,,,99999,,baseline,1,0
bev_state,WTP_RoW,.6484163022949898,,,,99999,,baseline,1,0
bev_state,WTP_USTotal,,,,,99999,,baseline,1,0
bev_state,enviro_mvpf,.1413920707879584,,,,99999,,baseline,1,0
bev_state,cost_mvpf,.4031552076339722,,,,99999,,baseline,1,0
bev_state,firm_mvpf,,,,,99999,,baseline,1,0
bev_state,cost_wtp,.4031552076339722,,,,99999,,baseline,1,0
bev_state,env_cost_wtp,.1380370114137354,,,,99999,,baseline,1,0
bev_state,marginal,,,,,99999,,baseline,1,0
bev_state,infmarg,,,,,99999,,baseline,1,0
bev_state,wtp_private,,,,,99999,,baseline,1,0
bev_state,wtp_soc,.095502028736731,,,,99999,,baseline,1,0
bev_state,wtp_no_ice,.392131605355469,,,,99999,,baseline,1,0
bev_state,wtp_yes_ev,-.2665058377400323,,,,99999,,baseline,1,0
bev_state,wtp_yes_hev,,,,,99999,,baseline,1,0
bev_state,wtp_soc_rbd,.0521994396341633,,,,99999,,baseline,1,0
bev_state,wtp_yes_ev_local,-.0546200017343988,,,,99999,,baseline,1,0
bev_state,wtp_no_ice_local,.0308937762038092,,,,99999,,baseline,1,0
bev_state,env_cost_wtp_l,-.0006466942582796,,,,99999,,baseline,1,0
bev_state,wtp_soc_rbd_l,.0106982027393105,,,,99999,,baseline,1,0
bev_state,wtp_yes_ev_g,-.2118858360056335,,,,99999,,baseline,1,0
bev_state,wtp_no_ice_g,.3612378291516598,,,,99999,,baseline,1,0
bev_state,env_cost_wtp_g,.138683705672015,,,,99999,,baseline,1,0
bev_state,wtp_soc_rbd_g,.0415012368948528,,,,99999,,baseline,1,0
bev_state,wtp_marg,.1033601440576231,,,,99999,,baseline,1,0
bev_state,wtp_inf,2650.260104041617,,,,99999,,baseline,1,0
bev_state,wtp_glob,.1192282542673206,,,,99999,,baseline,1,0
bev_state,wtp_loc,-.0237262255305896,,,,99999,,baseline,1,0
bev_state,wtp_r_glob,,,,,99999,,baseline,1,0
bev_state,wtp_r_loc,,,,,99999,,baseline,1,0
bev_state,wtp_e_cost,,,,,99999,,baseline,1,0
bev_state,WTP_cc,1.591486397540984,,,,99999,,baseline,1,0
bev_state,wtp_install,,,,,99999,,baseline,1,0
bev_state,wtp_prod,,,,,99999,,baseline,1,0
bev_state,wtp_prod_s,-.1415274585516322,,,,99999,,baseline,1,0
bev_state,wtp_prod_u,.0441201686740138,,,,99999,,baseline,1,0
bev_state,wtp_cons,1,,,,99999,,baseline,1,0
bev_state,wtp_deal,0,,,,99999,,baseline,1,0
bev_state,admin_cost,,,,,99999,,baseline,1,0
bev_state,wtp_permits,,,,,99999,,baseline,1,0
bev_state,wtp_abatement,,,,,99999,,baseline,1,0
bev_state,permitrev,,,,,99999,,baseline,1,0
bev_state,wtp_no_leak,,,,,99999,,baseline,1,0
bev_state,wtp_leak,,,,,99999,,baseline,1,0
bev_state,wtp_soc_g,,,,,99999,,baseline,1,0
bev_state,wtp_soc_l,,,,,99999,,baseline,1,0
bev_state,fisc_ext_t,,,,,99999,,baseline,1,0
bev_state,fisc_ext_s,,,,,99999,,baseline,1,0
bev_state,fisc_ext_lr,-.0070238419136582,,,,99999,,baseline,1,0
bev_state,q_CO2,.0008272123720595,,,,99999,,baseline,1,0
bev_state,q_CO2_no,,,,,99999,,baseline,1,0
bev_state,p_spend,,,,,99999,,baseline,1,0
bev_state,ev_sub_c,,,,,99999,,baseline,1,0
bev_state,ev_sub_c_row,,,,,99999,,baseline,1,0
bev_state,ev_sub_c_us,,,,,99999,,baseline,1,0
bev_state,ev_sub_env,,,,,99999,,baseline,1,0
bev_state,ev_sub_cost,,,,,99999,,baseline,1,0
bev_state,profits_fisc_e,.013654711780818,,,,99999,,baseline,1,0
bev_state,wtp_soc_l_po,,,,,99999,,baseline,1,0
bev_state,wtp_soc_l_dr,,,,,99999,,baseline,1,0
bev_state,gov_carbon,.0008272123720595,,,,99999,,baseline,1,0
bev_state,resource_ce,763.2830341168014,,,,99999,,baseline,1,0
bev_state,q_carbon_mck,8.868290076850339,,,,99999,,baseline,1,0
bev_state,semie,.000078,,,,99999,,baseline,1,0
bev_state,pass_through,,,,,99999,,baseline,1,0
bev_state,permitrev_new,,,,,99999,,baseline,1,0
bev_state,permitrev_ex,,,,,99999,,baseline,1,0
bev_state,fiscalext,,,,,99999,,baseline,1,0
bev_state,firm_cost_wtp,,,,,99999,,baseline,1,0
bev_state,c_savings,0,,,,99999,,baseline,1,0
bev_state,resource_cost,,,,,99999,,baseline,1,0
bev_state,q_CO2_mck,,,,,99999,,baseline,1,0
bev_state,q_CO2_mck_no,,,,,99999,,baseline,1,0
bev_state,wtp_ctr,,,,,99999,,baseline,1,0
bev_state,gas_corp_fisc_e,.0376212231592946,,,,99999,,baseline,1,0
bev_state,epsilon,,,,,99999,,baseline,1,0
bev_state,transfer,,,,,99999,,baseline,1,0
bev_state,enviro_wtp,,,,,99999,,baseline,1,0
bev_state,cost_curve,,,,,99999,,baseline,1,0
bev_state,profits,,,,,99999,,baseline,1,0
bev_state,subsidies,,,,,99999,,baseline,1,0
bev_state,taxes,,,,,99999,,baseline,1,0
bev_state,wtp_batt,,,,,99999,,baseline,1,0
bev_state,wtp_local_w_r,,,,,99999,,baseline,1,0
bev_state,wind_g_wf,,,,,99999,,baseline,1,0
bev_state,wind_l_wf,,,,,99999,,baseline,1,0
