program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
bev_state_i,MVPF,2.688947086352689,,,,,baseline,1,0
bev_state_i,MVPF_no_cc,2.688674508499901,,,,,baseline,1,0
bev_state_i,cost,.3913970456106427,,,,.39139706,baseline,1,0
bev_state_i,WTP,1.052339259235508,,,,1.0523393,baseline,1,0
bev_state_i,program_cost,1,,,,,baseline,1,0
bev_state_i,total_cost,.3913970456106427,,,,,baseline,1,0
bev_state_i,beh_fisc_ext,-.16676,,,,,baseline,1,0
bev_state_i,utility_fisc_ext,.0008356014737684,,,,,baseline,1,0
bev_state_i,gas_fisc_ext,-.0273976265393578,,,,,baseline,1,0
bev_state_i,fed_fisc_ext,-.3909149975585938,,,,,baseline,1,0
bev_state_i,state_fisc_ext,0,,,,,baseline,1,0
bev_state_i,WTP_USPres,1.129339797483887,,,,,baseline,1,0
bev_state_i,WTP_USFut,-.0130947933359773,,,,,baseline,1,0
bev_state_i,WTP_RoW,-.0850401566734146,,,,,baseline,1,0
bev_state_i,WTP_USTotal,,,,,,baseline,1,0
bev_state_i,enviro_mvpf,1.87620996419e-09,,,,,baseline,1,0
bev_state_i,cost_mvpf,.0001066844415618,,,,,baseline,1,0
bev_state_i,firm_mvpf,,,,,,baseline,1,0
bev_state_i,cost_wtp,.0001066844415618,,,,,baseline,1,0
bev_state_i,env_cost_wtp,1.72471806842e-09,,,,,baseline,1,0
bev_state_i,marginal,,,,,,baseline,1,0
bev_state_i,infmarg,,,,,,baseline,1,0
bev_state_i,wtp_private,,,,,,baseline,1,0
bev_state_i,wtp_soc,.0042708973479497,,,,,baseline,1,0
bev_state_i,wtp_no_ice,-.2765030550583436,,,,,baseline,1,0
bev_state_i,wtp_yes_ev,.2595328544790008,,,,,baseline,1,0
bev_state_i,wtp_yes_hev,,,,,,baseline,1,0
bev_state_i,wtp_soc_rbd,-.0508336691058671,,,,,baseline,1,0
bev_state_i,wtp_yes_ev_local,.0649417153477469,,,,,baseline,1,0
bev_state_i,wtp_no_ice_local,-.0217840729642245,,,,,baseline,1,0
bev_state_i,env_cost_wtp_l,-1.15553093908e-10,,,,,baseline,1,0
bev_state_i,wtp_soc_rbd_l,-.0127198757775073,,,,,baseline,1,0
bev_state_i,wtp_yes_ev_g,.1945911391312539,,,,,baseline,1,0
bev_state_i,wtp_no_ice_g,-.2547189820941191,,,,,baseline,1,0
bev_state_i,env_cost_wtp_g,1.84027116233e-09,,,,,baseline,1,0
bev_state_i,wtp_soc_rbd_g,-.0381137933283597,,,,,baseline,1,0
bev_state_i,wtp_marg,-.08338,,,,,baseline,1,0
bev_state_i,wtp_inf,3032,,,,,baseline,1,0
bev_state_i,wtp_glob,-.0388867450355727,,,,,baseline,1,0
bev_state_i,wtp_loc,.0431576423835224,,,,,baseline,1,0
bev_state_i,wtp_r_glob,,,,,,baseline,1,0
bev_state_i,wtp_r_loc,,,,,,baseline,1,0
bev_state_i,wtp_e_cost,,,,,,baseline,1,0
bev_state_i,WTP_cc,1.052445945401788,,,,,baseline,1,0
bev_state_i,wtp_install,,,,,,baseline,1,0
bev_state_i,wtp_prod,,,,,,baseline,1,0
bev_state_i,wtp_prod_s,.1004402973428632,,,,,baseline,1,0
bev_state_i,wtp_prod_u,-.0015382663494373,,,,,baseline,1,0
bev_state_i,wtp_cons,1,,,,,baseline,1,0
bev_state_i,wtp_deal,0,,,,,baseline,1,0
bev_state_i,admin_cost,,,,,,baseline,1,0
bev_state_i,wtp_permits,,,,,,baseline,1,0
bev_state_i,wtp_abatement,,,,,,baseline,1,0
bev_state_i,permitrev,,,,,,baseline,1,0
bev_state_i,wtp_no_leak,,,,,,baseline,1,0
bev_state_i,wtp_leak,,,,,,baseline,1,0
bev_state_i,wtp_soc_g,,,,,,baseline,1,0
bev_state_i,wtp_soc_l,,,,,,baseline,1,0
bev_state_i,fisc_ext_t,,,,,,baseline,1,0
bev_state_i,fisc_ext_s,,,,,,baseline,1,0
bev_state_i,fisc_ext_lr,.0023333877816631,,,,,baseline,1,0
bev_state_i,q_CO2,-.0005832907751702,,,,,baseline,1,0
bev_state_i,q_CO2_no,,,,,,baseline,1,0
bev_state_i,p_spend,,,,,,baseline,1,0
bev_state_i,ev_sub_c,,,,,,baseline,1,0
bev_state_i,ev_sub_c_row,,,,,,baseline,1,0
bev_state_i,ev_sub_c_us,,,,,,baseline,1,0
bev_state_i,ev_sub_env,,,,,,baseline,1,0
bev_state_i,ev_sub_cost,,,,,,baseline,1,0
bev_state_i,profits_fisc_e,-.0258637180730687,,,,,baseline,1,0
bev_state_i,wtp_soc_l_po,,,,,,baseline,1,0
bev_state_i,wtp_soc_l_dr,,,,,,baseline,1,0
bev_state_i,gov_carbon,-.0005832907751702,,,,,baseline,1,0
bev_state_i,resource_ce,764.9968678510821,,,,,baseline,1,0
bev_state_i,q_carbon_mck,8.868290076850339,,,,,baseline,1,0
bev_state_i,semie,-.000055,,,,,baseline,1,0
bev_state_i,pass_through,,,,,,baseline,1,0
bev_state_i,permitrev_new,,,,,,baseline,1,0
bev_state_i,permitrev_ex,,,,,,baseline,1,0
bev_state_i,fiscalext,,,,,,baseline,1,0
bev_state_i,firm_cost_wtp,,,,,,baseline,1,0
bev_state_i,c_savings,0,,,,,baseline,1,0
bev_state_i,resource_cost,,,,,,baseline,1,0
bev_state_i,q_CO2_mck,,,,,,baseline,1,0
bev_state_i,q_CO2_mck_no,,,,,,baseline,1,0
bev_state_i,wtp_ctr,,,,,,baseline,1,0
bev_state_i,gas_corp_fisc_e,-.0266993195468371,,,,,baseline,1,0
bev_state_i,epsilon,,,,,,baseline,1,0
bev_state_i,transfer,,,,,,baseline,1,0
bev_state_i,enviro_wtp,,,,,,baseline,1,0
bev_state_i,cost_curve,,,,,,baseline,1,0
bev_state_i,profits,,,,,,baseline,1,0
bev_state_i,subsidies,,,,,,baseline,1,0
bev_state_i,taxes,,,,,,baseline,1,0
bev_state_i,wtp_batt,,,,,,baseline,1,0
bev_state_i,wtp_local_w_r,,,,,,baseline,1,0
bev_state_i,wind_g_wf,,,,,,baseline,1,0
bev_state_i,wind_l_wf,,,,,,baseline,1,0
