program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
bev_state_i,MVPF,2.688947086352689,,,,99999,,baseline,1,0
bev_state_i,MVPF_no_cc,2.688674508499901,,,,99999,,baseline,1,0
bev_state_i,cost,.3913970456106427,,,,99999,.39139706,baseline,1,0
bev_state_i,WTP,1.052339259235508,,,,99999,1.0523393,baseline,1,0
bev_state_i,program_cost,1,,,,99999,,baseline,1,0
bev_state_i,total_cost,.3913970456106427,,,,99999,,baseline,1,0
bev_state_i,beh_fisc_ext,-.16676,,,,99999,,baseline,1,0
bev_state_i,utility_fisc_ext,.0008356014737684,,,,99999,,baseline,1,0
bev_state_i,gas_fisc_ext,-.0273976265393578,,,,99999,,baseline,1,0
bev_state_i,fed_fisc_ext,-.3909149975585938,,,,99999,,baseline,1,0
bev_state_i,state_fisc_ext,0,,,,99999,,baseline,1,0
bev_state_i,WTP_USPres,1.129339797483887,,,,99999,,baseline,1,0
bev_state_i,WTP_USFut,-.0130947933359773,,,,99999,,baseline,1,0
bev_state_i,WTP_RoW,-.0850401566734146,,,,99999,,baseline,1,0
bev_state_i,WTP_USTotal,,,,,99999,,baseline,1,0
bev_state_i,enviro_mvpf,1.87620996419e-09,,,,99999,,baseline,1,0
bev_state_i,cost_mvpf,.0001066844415618,,,,99999,,baseline,1,0
bev_state_i,firm_mvpf,,,,,99999,,baseline,1,0
bev_state_i,cost_wtp,.0001066844415618,,,,99999,,baseline,1,0
bev_state_i,env_cost_wtp,1.72471806842e-09,,,,99999,,baseline,1,0
bev_state_i,marginal,,,,,99999,,baseline,1,0
bev_state_i,infmarg,,,,,99999,,baseline,1,0
bev_state_i,wtp_private,,,,,99999,,baseline,1,0
bev_state_i,wtp_soc,.0042708973479497,,,,99999,,baseline,1,0
bev_state_i,wtp_no_ice,-.2765030550583436,,,,99999,,baseline,1,0
bev_state_i,wtp_yes_ev,.2595328544790008,,,,99999,,baseline,1,0
bev_state_i,wtp_yes_hev,,,,,99999,,baseline,1,0
bev_state_i,wtp_soc_rbd,-.0508336691058671,,,,99999,,baseline,1,0
bev_state_i,wtp_yes_ev_local,.0649417153477469,,,,99999,,baseline,1,0
bev_state_i,wtp_no_ice_local,-.0217840729642245,,,,99999,,baseline,1,0
bev_state_i,env_cost_wtp_l,-1.15553093908e-10,,,,99999,,baseline,1,0
bev_state_i,wtp_soc_rbd_l,-.0127198757775073,,,,99999,,baseline,1,0
bev_state_i,wtp_yes_ev_g,.1945911391312539,,,,99999,,baseline,1,0
bev_state_i,wtp_no_ice_g,-.2547189820941191,,,,99999,,baseline,1,0
bev_state_i,env_cost_wtp_g,1.84027116233e-09,,,,99999,,baseline,1,0
bev_state_i,wtp_soc_rbd_g,-.0381137933283597,,,,99999,,baseline,1,0
bev_state_i,wtp_marg,-.08338,,,,99999,,baseline,1,0
bev_state_i,wtp_inf,3032,,,,99999,,baseline,1,0
bev_state_i,wtp_glob,-.0388867450355727,,,,99999,,baseline,1,0
bev_state_i,wtp_loc,.0431576423835224,,,,99999,,baseline,1,0
bev_state_i,wtp_r_glob,,,,,99999,,baseline,1,0
bev_state_i,wtp_r_loc,,,,,99999,,baseline,1,0
bev_state_i,wtp_e_cost,,,,,99999,,baseline,1,0
bev_state_i,WTP_cc,1.052445945401788,,,,99999,,baseline,1,0
bev_state_i,wtp_install,,,,,99999,,baseline,1,0
bev_state_i,wtp_prod,,,,,99999,,baseline,1,0
bev_state_i,wtp_prod_s,.1004402973428632,,,,99999,,baseline,1,0
bev_state_i,wtp_prod_u,-.0015382663494373,,,,99999,,baseline,1,0
bev_state_i,wtp_cons,1,,,,99999,,baseline,1,0
bev_state_i,wtp_deal,0,,,,99999,,baseline,1,0
bev_state_i,admin_cost,,,,,99999,,baseline,1,0
bev_state_i,wtp_permits,,,,,99999,,baseline,1,0
bev_state_i,wtp_abatement,,,,,99999,,baseline,1,0
bev_state_i,permitrev,,,,,99999,,baseline,1,0
bev_state_i,wtp_no_leak,,,,,99999,,baseline,1,0
bev_state_i,wtp_leak,,,,,99999,,baseline,1,0
bev_state_i,wtp_soc_g,,,,,99999,,baseline,1,0
bev_state_i,wtp_soc_l,,,,,99999,,baseline,1,0
bev_state_i,fisc_ext_t,,,,,99999,,baseline,1,0
bev_state_i,fisc_ext_s,,,,,99999,,baseline,1,0
bev_state_i,fisc_ext_lr,.0023333877816631,,,,99999,,baseline,1,0
bev_state_i,q_CO2,-.0005832907751702,,,,99999,,baseline,1,0
bev_state_i,q_CO2_no,,,,,99999,,baseline,1,0
bev_state_i,p_spend,,,,,99999,,baseline,1,0
bev_state_i,ev_sub_c,,,,,99999,,baseline,1,0
bev_state_i,ev_sub_c_row,,,,,99999,,baseline,1,0
bev_state_i,ev_sub_c_us,,,,,99999,,baseline,1,0
bev_state_i,ev_sub_env,,,,,99999,,baseline,1,0
bev_state_i,ev_sub_cost,,,,,99999,,baseline,1,0
bev_state_i,profits_fisc_e,-.0258637180730687,,,,99999,,baseline,1,0
bev_state_i,wtp_soc_l_po,,,,,99999,,baseline,1,0
bev_state_i,wtp_soc_l_dr,,,,,99999,,baseline,1,0
bev_state_i,gov_carbon,-.0005832907751702,,,,99999,,baseline,1,0
bev_state_i,resource_ce,764.9968678510821,,,,99999,,baseline,1,0
bev_state_i,q_carbon_mck,8.868290076850339,,,,99999,,baseline,1,0
bev_state_i,semie,-.000055,,,,99999,,baseline,1,0
bev_state_i,pass_through,,,,,99999,,baseline,1,0
bev_state_i,permitrev_new,,,,,99999,,baseline,1,0
bev_state_i,permitrev_ex,,,,,99999,,baseline,1,0
bev_state_i,fiscalext,,,,,99999,,baseline,1,0
bev_state_i,firm_cost_wtp,,,,,99999,,baseline,1,0
bev_state_i,c_savings,0,,,,99999,,baseline,1,0
bev_state_i,resource_cost,,,,,99999,,baseline,1,0
bev_state_i,q_CO2_mck,,,,,99999,,baseline,1,0
bev_state_i,q_CO2_mck_no,,,,,99999,,baseline,1,0
bev_state_i,wtp_ctr,,,,,99999,,baseline,1,0
bev_state_i,gas_corp_fisc_e,-.0266993195468371,,,,99999,,baseline,1,0
bev_state_i,epsilon,,,,,99999,,baseline,1,0
bev_state_i,transfer,,,,,99999,,baseline,1,0
bev_state_i,enviro_wtp,,,,,99999,,baseline,1,0
bev_state_i,cost_curve,,,,,99999,,baseline,1,0
bev_state_i,profits,,,,,99999,,baseline,1,0
bev_state_i,subsidies,,,,,99999,,baseline,1,0
bev_state_i,taxes,,,,,99999,,baseline,1,0
bev_state_i,wtp_batt,,,,,99999,,baseline,1,0
bev_state_i,wtp_local_w_r,,,,,99999,,baseline,1,0
bev_state_i,wind_g_wf,,,,,99999,,baseline,1,0
bev_state_i,wind_l_wf,,,,,99999,,baseline,1,0
