program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
bmm_crude,MVPF,1.48902674498478,,,,,baseline,1,0
bmm_crude,MVPF_no_cc,,,,,,baseline,1,0
bmm_crude,cost,.6276780115752656,,,,.62767804,baseline,1,0
bmm_crude,WTP,.9346293464744371,,,,.93462932,baseline,1,0
bmm_crude,program_cost,1,,,,,baseline,1,0
bmm_crude,total_cost,,,,,,baseline,1,0
bmm_crude,beh_fisc_ext,,,,,,baseline,1,0
bmm_crude,utility_fisc_ext,,,,,,baseline,1,0
bmm_crude,gas_fisc_ext,,,,,,baseline,1,0
bmm_crude,fed_fisc_ext,,,,,,baseline,1,0
bmm_crude,state_fisc_ext,,,,,,baseline,1,0
bmm_crude,WTP_USPres,1,,,,,baseline,1,0
bmm_crude,WTP_USFut,-.0087204636416073,,,,,baseline,1,0
bmm_crude,WTP_RoW,-.0566501898839556,,,,,baseline,1,0
bmm_crude,WTP_USTotal,,,,,,baseline,1,0
bmm_crude,enviro_mvpf,,,,,,baseline,1,0
bmm_crude,cost_mvpf,,,,,,baseline,1,0
bmm_crude,firm_mvpf,,,,,,baseline,1,0
bmm_crude,cost_wtp,,,,,,baseline,1,0
bmm_crude,env_cost_wtp,,,,,,baseline,1,0
bmm_crude,marginal,,,,,,baseline,1,0
bmm_crude,infmarg,,,,,,baseline,1,0
bmm_crude,wtp_private,,,,,,baseline,1,0
bmm_crude,wtp_soc,,,,,,baseline,1,0
bmm_crude,wtp_no_ice,,,,,,baseline,1,0
bmm_crude,wtp_yes_ev,,,,,,baseline,1,0
bmm_crude,wtp_yes_hev,,,,,,baseline,1,0
bmm_crude,wtp_soc_rbd,,,,,,baseline,1,0
bmm_crude,wtp_yes_ev_local,,,,,,baseline,1,0
bmm_crude,wtp_no_ice_local,,,,,,baseline,1,0
bmm_crude,env_cost_wtp_l,,,,,,baseline,1,0
bmm_crude,wtp_soc_rbd_l,,,,,,baseline,1,0
bmm_crude,wtp_yes_ev_g,,,,,,baseline,1,0
bmm_crude,wtp_no_ice_g,,,,,,baseline,1,0
bmm_crude,env_cost_wtp_g,,,,,,baseline,1,0
bmm_crude,wtp_soc_rbd_g,,,,,,baseline,1,0
bmm_crude,wtp_marg,,,,,,baseline,1,0
bmm_crude,wtp_inf,,,,,,baseline,1,0
bmm_crude,wtp_glob,,,,,,baseline,1,0
bmm_crude,wtp_loc,,,,,,baseline,1,0
bmm_crude,wtp_r_glob,,,,,,baseline,1,0
bmm_crude,wtp_r_loc,,,,,,baseline,1,0
bmm_crude,wtp_e_cost,,,,,,baseline,1,0
bmm_crude,WTP_cc,,,,,,baseline,1,0
bmm_crude,wtp_install,,,,,,baseline,1,0
bmm_crude,wtp_prod,1,,,,,baseline,1,0
bmm_crude,wtp_prod_s,,,,,,baseline,1,0
bmm_crude,wtp_prod_u,,,,,,baseline,1,0
bmm_crude,wtp_cons,,,,,,baseline,1,0
bmm_crude,wtp_deal,,,,,,baseline,1,0
bmm_crude,admin_cost,,,,,,baseline,1,0
bmm_crude,wtp_permits,,,,,,baseline,1,0
bmm_crude,wtp_abatement,,,,,,baseline,1,0
bmm_crude,permitrev,,,,,,baseline,1,0
bmm_crude,wtp_no_leak,,,,,,baseline,1,0
bmm_crude,wtp_leak,,,,,,baseline,1,0
bmm_crude,wtp_soc_g,-.0653706535255629,,,,,baseline,1,0
bmm_crude,wtp_soc_l,0,,,,,baseline,1,0
bmm_crude,fisc_ext_t,-.3735986171155899,,,,,baseline,1,0
bmm_crude,fisc_ext_s,0,,,,,baseline,1,0
bmm_crude,fisc_ext_lr,.0012766286908555,,,,,baseline,1,0
bmm_crude,q_CO2,.0004203597044909,,,,,baseline,1,0
bmm_crude,q_CO2_no,.0004203597044909,,,,,baseline,1,0
bmm_crude,p_spend,.6264013828844102,,,,,baseline,1,0
bmm_crude,ev_sub_c,,,,,,baseline,1,0
bmm_crude,ev_sub_c_row,,,,,,baseline,1,0
bmm_crude,ev_sub_c_us,,,,,,baseline,1,0
bmm_crude,ev_sub_env,,,,,,baseline,1,0
bmm_crude,ev_sub_cost,,,,,,baseline,1,0
bmm_crude,profits_fisc_e,,,,,,baseline,1,0
bmm_crude,wtp_soc_l_po,,,,,,baseline,1,0
bmm_crude,wtp_soc_l_dr,,,,,,baseline,1,0
bmm_crude,gov_carbon,,,,,,baseline,1,0
bmm_crude,resource_ce,,,,,,baseline,1,0
bmm_crude,q_carbon_mck,,,,,,baseline,1,0
bmm_crude,semie,,,,,,baseline,1,0
bmm_crude,pass_through,,,,,,baseline,1,0
bmm_crude,permitrev_new,,,,,,baseline,1,0
bmm_crude,permitrev_ex,,,,,,baseline,1,0
bmm_crude,fiscalext,,,,,,baseline,1,0
bmm_crude,firm_cost_wtp,,,,,,baseline,1,0
bmm_crude,c_savings,,,,,,baseline,1,0
bmm_crude,resource_cost,,,,,,baseline,1,0
bmm_crude,q_CO2_mck,.4991483605785,,,,,baseline,1,0
bmm_crude,q_CO2_mck_no,.4991483605785,,,,,baseline,1,0
bmm_crude,wtp_ctr,,,,,,baseline,1,0
bmm_crude,gas_corp_fisc_e,,,,,,baseline,1,0
bmm_crude,epsilon,,,,,,baseline,1,0
bmm_crude,transfer,,,,,,baseline,1,0
bmm_crude,enviro_wtp,,,,,,baseline,1,0
bmm_crude,cost_curve,,,,,,baseline,1,0
bmm_crude,profits,,,,,,baseline,1,0
bmm_crude,subsidies,,,,,,baseline,1,0
bmm_crude,taxes,,,,,,baseline,1,0
bmm_crude,wtp_batt,,,,,,baseline,1,0
bmm_crude,wtp_local_w_r,,,,,,baseline,1,0
bmm_crude,wind_g_wf,,,,,,baseline,1,0
bmm_crude,wind_l_wf,,,,,,baseline,1,0
