program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
bolk_France,MVPF,7.158193597302691,,,,,baseline,1,0
bolk_France,MVPF_no_cc,5.09186585376173,,,,,baseline,1,0
bolk_France,cost,109.7493842755977,,,,1.3283254,baseline,1,0
bolk_France,WTP,576.2103834454358,,,,6.9740243,baseline,1,0
bolk_France,program_cost,82.62236706367088,,,,,baseline,1,0
bolk_France,total_cost,109.7493842755977,,,,,baseline,1,0
bolk_France,beh_fisc_ext,,,,,,baseline,1,0
bolk_France,utility_fisc_ext,,,,,,baseline,1,0
bolk_France,gas_fisc_ext,,,,,,baseline,1,0
bolk_France,fed_fisc_ext,,,,,,baseline,1,0
bolk_France,state_fisc_ext,,,,,,baseline,1,0
bolk_France,WTP_USPres,215.5648855609882,,,,,baseline,1,0
bolk_France,WTP_USFut,80.74985622703146,,,,,baseline,1,0
bolk_France,WTP_RoW,489.2925980414766,,,,,baseline,1,0
bolk_France,WTP_USTotal,,,,,,baseline,1,0
bolk_France,enviro_mvpf,1.876666278170944,,,,,baseline,1,0
bolk_France,cost_mvpf,.6577195525169373,,,,,baseline,1,0
bolk_France,firm_mvpf,,,,,,baseline,1,0
bolk_France,cost_wtp,54.34234629300774,,,,,baseline,1,0
bolk_France,env_cost_wtp,155.0546100910527,,,,,baseline,1,0
bolk_France,marginal,,,,,,baseline,1,0
bolk_France,infmarg,,,,,,baseline,1,0
bolk_France,wtp_private,82.62236706367088,,,,,baseline,1,0
bolk_France,wtp_soc,500.805976366293,,,,,baseline,1,0
bolk_France,wtp_no_ice,,,,,,baseline,1,0
bolk_France,wtp_yes_ev,,,,,,baseline,1,0
bolk_France,wtp_yes_hev,,,,,,baseline,1,0
bolk_France,wtp_soc_rbd,-122.4655617563527,,,,,baseline,1,0
bolk_France,wtp_yes_ev_local,,,,,,baseline,1,0
bolk_France,wtp_no_ice_local,,,,,,baseline,1,0
bolk_France,env_cost_wtp_l,8.955126549085925,,,,,baseline,1,0
bolk_France,wtp_soc_rbd_l,,,,,,baseline,1,0
bolk_France,wtp_yes_ev_g,,,,,,baseline,1,0
bolk_France,wtp_no_ice_g,,,,,,baseline,1,0
bolk_France,env_cost_wtp_g,146.0994835419668,,,,,baseline,1,0
bolk_France,wtp_soc_rbd_g,,,,,,baseline,1,0
bolk_France,wtp_marg,,,,,,baseline,1,0
bolk_France,wtp_inf,,,,,,baseline,1,0
bolk_France,wtp_glob,378.7987225379279,,,,,baseline,1,0
bolk_France,wtp_loc,123.9873919482315,,,,,baseline,1,0
bolk_France,wtp_r_glob,-92.26547235817337,,,,,baseline,1,0
bolk_France,wtp_r_loc,-30.20008939817934,,,,,baseline,1,0
bolk_France,wtp_e_cost,-9.198098104394479,,,,,baseline,1,0
bolk_France,WTP_cc,785.6073398294961,,,,,baseline,1,0
bolk_France,wtp_install,,,,,,baseline,1,0
bolk_France,wtp_prod,82.62236706367088,,,,,baseline,1,0
bolk_France,wtp_prod_s,,,,,,baseline,1,0
bolk_France,wtp_prod_u,,,,,,baseline,1,0
bolk_France,wtp_cons,0,,,,,baseline,1,0
bolk_France,wtp_deal,,,,,,baseline,1,0
bolk_France,admin_cost,,,,,,baseline,1,0
bolk_France,wtp_permits,,,,,,baseline,1,0
bolk_France,wtp_abatement,,,,,,baseline,1,0
bolk_France,permitrev,,,,,,baseline,1,0
bolk_France,wtp_no_leak,,,,,,baseline,1,0
bolk_France,wtp_leak,,,,,,baseline,1,0
bolk_France,wtp_soc_g,,,,,,baseline,1,0
bolk_France,wtp_soc_l,,,,,,baseline,1,0
bolk_France,fisc_ext_t,0,,,,,baseline,1,0
bolk_France,fisc_ext_s,37.19816562810954,,,,,baseline,1,0
bolk_France,fisc_ext_lr,-10.07114841618269,,,,,baseline,1,0
bolk_France,q_CO2,2.726498077250993,,,,,baseline,1,0
bolk_France,q_CO2_no,,,,,,baseline,1,0
bolk_France,p_spend,119.8205326917804,,,,,baseline,1,0
bolk_France,ev_sub_c,,,,,,baseline,1,0
bolk_France,ev_sub_c_row,,,,,,baseline,1,0
bolk_France,ev_sub_c_us,,,,,,baseline,1,0
bolk_France,ev_sub_env,,,,,,baseline,1,0
bolk_France,ev_sub_cost,,,,,,baseline,1,0
bolk_France,profits_fisc_e,,,,,,baseline,1,0
bolk_France,wtp_soc_l_po,,,,,,baseline,1,0
bolk_France,wtp_soc_l_dr,,,,,,baseline,1,0
bolk_France,gov_carbon,.0000856888655864,,,,,baseline,1,0
bolk_France,resource_ce,-42.23843697503107,,,,,baseline,1,0
bolk_France,q_carbon_mck,.000396380954224,,,,,baseline,1,0
bolk_France,semie,-.2706629164925745,,,,,baseline,1,0
bolk_France,pass_through,,,,,,baseline,1,0
bolk_France,permitrev_new,,,,,,baseline,1,0
bolk_France,permitrev_ex,,,,,,baseline,1,0
bolk_France,fiscalext,,,,,,baseline,1,0
bolk_France,firm_cost_wtp,,,,,,baseline,1,0
bolk_France,c_savings,,,,,,baseline,1,0
bolk_France,resource_cost,4015000,,,,,baseline,1,0
bolk_France,q_CO2_mck,.000396380954224,,,,,baseline,1,0
bolk_France,q_CO2_mck_no,,,,,,baseline,1,0
bolk_France,wtp_ctr,,,,,,baseline,1,0
bolk_France,gas_corp_fisc_e,,,,,,baseline,1,0
bolk_France,epsilon,-1.439,,,,,baseline,1,0
bolk_France,transfer,,,,,,baseline,1,0
bolk_France,enviro_wtp,,,,,,baseline,1,0
bolk_France,cost_curve,,,,,,baseline,1,0
bolk_France,profits,,,,,,baseline,1,0
bolk_France,subsidies,,,,,,baseline,1,0
bolk_France,taxes,,,,,,baseline,1,0
bolk_France,wtp_batt,,,,,,baseline,1,0
bolk_France,wtp_local_w_r,,,,,,baseline,1,0
bolk_France,wind_g_wf,471.0641948961013,,,,,baseline,1,0
bolk_France,wind_l_wf,154.1874813464108,,,,,baseline,1,0
