program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
bolk_Germany,MVPF,10.79577102468434,,,,99999,,baseline,1,0
bolk_Germany,MVPF_no_cc,6.076649086939914,,,,99999,,baseline,1,0
bolk_Germany,cost,116.3259331362186,,,,99999,1.407923,baseline,1,0
bolk_Germany,WTP,759.1606376576029,,,,99999,9.1883183,baseline,1,0
bolk_Germany,program_cost,82.62236706367088,,,,99999,,baseline,1,0
bolk_Germany,total_cost,116.3259331362186,,,,99999,,baseline,1,0
bolk_Germany,beh_fisc_ext,,,,,99999,,baseline,1,0
bolk_Germany,utility_fisc_ext,,,,,99999,,baseline,1,0
bolk_Germany,gas_fisc_ext,,,,,99999,,baseline,1,0
bolk_Germany,fed_fisc_ext,,,,,99999,,baseline,1,0
bolk_Germany,state_fisc_ext,,,,,99999,,baseline,1,0
bolk_Germany,WTP_USPres,274.1904794518193,,,,99999,,baseline,1,0
bolk_Germany,WTP_USFut,139.3239509308627,,,,99999,,baseline,1,0
bolk_Germany,WTP_RoW,842.3137079886751,,,,99999,,baseline,1,0
bolk_Germany,WTP_USTotal,,,,,99999,,baseline,1,0
bolk_Germany,enviro_mvpf,4.841048040068149,,,,99999,,baseline,1,0
bolk_Germany,cost_mvpf,1.170247912406921,,,,99999,,baseline,1,0
bolk_Germany,firm_mvpf,,,,,99999,,baseline,1,0
bolk_Germany,cost_wtp,96.68865257437919,,,,99999,,baseline,1,0
bolk_Germany,env_cost_wtp,399.9788481393751,,,,99999,,baseline,1,0
bolk_Germany,marginal,,,,,99999,,baseline,1,0
bolk_Germany,infmarg,,,,,99999,,baseline,1,0
bolk_Germany,wtp_private,82.62236706367088,,,,99999,,baseline,1,0
bolk_Germany,wtp_soc,686.4315945869762,,,,99999,,baseline,1,0
bolk_Germany,wtp_no_ice,,,,,99999,,baseline,1,0
bolk_Germany,wtp_yes_ev,,,,,99999,,baseline,1,0
bolk_Germany,wtp_yes_hev,,,,,99999,,baseline,1,0
bolk_Germany,wtp_soc_rbd,-167.8578827040951,,,,99999,,baseline,1,0
bolk_Germany,wtp_yes_ev_local,,,,,99999,,baseline,1,0
bolk_Germany,wtp_no_ice_local,,,,,99999,,baseline,1,0
bolk_Germany,env_cost_wtp_l,21.62432740932114,,,,99999,,baseline,1,0
bolk_Germany,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
bolk_Germany,wtp_yes_ev_g,,,,,99999,,baseline,1,0
bolk_Germany,wtp_no_ice_g,,,,,99999,,baseline,1,0
bolk_Germany,env_cost_wtp_g,378.3545207300539,,,,99999,,baseline,1,0
bolk_Germany,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
bolk_Germany,wtp_marg,,,,,99999,,baseline,1,0
bolk_Germany,wtp_inf,,,,,99999,,baseline,1,0
bolk_Germany,wtp_glob,519.2018933676611,,,,99999,,baseline,1,0
bolk_Germany,wtp_loc,169.9437849788272,,,,99999,,baseline,1,0
bolk_Germany,wtp_r_glob,-126.4640166151266,,,,99999,,baseline,1,0
bolk_Germany,wtp_r_loc,-41.39386608896855,,,,99999,,baseline,1,0
bolk_Germany,wtp_e_cost,-12.60740775255633,,,,99999,,baseline,1,0
bolk_Germany,WTP_cc,1255.828138371357,,,,99999,,baseline,1,0
bolk_Germany,wtp_install,,,,,99999,,baseline,1,0
bolk_Germany,wtp_prod,82.62236706367088,,,,99999,,baseline,1,0
bolk_Germany,wtp_prod_s,,,,,99999,,baseline,1,0
bolk_Germany,wtp_prod_u,,,,,99999,,baseline,1,0
bolk_Germany,wtp_cons,0,,,,99999,,baseline,1,0
bolk_Germany,wtp_deal,,,,,99999,,baseline,1,0
bolk_Germany,admin_cost,,,,,99999,,baseline,1,0
bolk_Germany,wtp_permits,,,,,99999,,baseline,1,0
bolk_Germany,wtp_abatement,,,,,99999,,baseline,1,0
bolk_Germany,permitrev,,,,,99999,,baseline,1,0
bolk_Germany,wtp_no_leak,,,,,99999,,baseline,1,0
bolk_Germany,wtp_leak,,,,,99999,,baseline,1,0
bolk_Germany,wtp_soc_g,,,,,99999,,baseline,1,0
bolk_Germany,wtp_soc_l,,,,,99999,,baseline,1,0
bolk_Germany,fisc_ext_t,0,,,,99999,,baseline,1,0
bolk_Germany,fisc_ext_s,50.98580558698832,,,,99999,,baseline,1,0
bolk_Germany,fisc_ext_lr,-17.28223951444063,,,,99999,,baseline,1,0
bolk_Germany,q_CO2,3.737084841489304,,,,99999,,baseline,1,0
bolk_Germany,q_CO2_no,,,,,99999,,baseline,1,0
bolk_Germany,p_spend,133.6081726506592,,,,99999,,baseline,1,0
bolk_Germany,ev_sub_c,,,,,99999,,baseline,1,0
bolk_Germany,ev_sub_c_row,,,,,99999,,baseline,1,0
bolk_Germany,ev_sub_c_us,,,,,99999,,baseline,1,0
bolk_Germany,ev_sub_env,,,,,99999,,baseline,1,0
bolk_Germany,ev_sub_cost,,,,,99999,,baseline,1,0
bolk_Germany,profits_fisc_e,,,,,99999,,baseline,1,0
bolk_Germany,wtp_soc_l_po,,,,,99999,,baseline,1,0
bolk_Germany,wtp_soc_l_dr,,,,,99999,,baseline,1,0
bolk_Germany,gov_carbon,.0001174497658147,,,,99999,,baseline,1,0
bolk_Germany,resource_ce,-42.23843697503107,,,,99999,,baseline,1,0
bolk_Germany,q_carbon_mck,.000396380954224,,,,99999,,baseline,1,0
bolk_Germany,semie,-.3709851442101607,,,,99999,,baseline,1,0
bolk_Germany,pass_through,,,,,99999,,baseline,1,0
bolk_Germany,permitrev_new,,,,,99999,,baseline,1,0
bolk_Germany,permitrev_ex,,,,,99999,,baseline,1,0
bolk_Germany,fiscalext,,,,,99999,,baseline,1,0
bolk_Germany,firm_cost_wtp,,,,,99999,,baseline,1,0
bolk_Germany,c_savings,,,,,99999,,baseline,1,0
bolk_Germany,resource_cost,4015000,,,,99999,,baseline,1,0
bolk_Germany,q_CO2_mck,.000396380954224,,,,99999,,baseline,1,0
bolk_Germany,q_CO2_mck_no,,,,,99999,,baseline,1,0
bolk_Germany,wtp_ctr,,,,,99999,,baseline,1,0
bolk_Germany,gas_corp_fisc_e,,,,,99999,,baseline,1,0
bolk_Germany,epsilon,-1.973,,,,99999,,baseline,1,0
bolk_Germany,transfer,,,,,99999,,baseline,1,0
bolk_Germany,enviro_wtp,,,,,99999,,baseline,1,0
bolk_Germany,cost_curve,,,,,99999,,baseline,1,0
bolk_Germany,profits,,,,,99999,,baseline,1,0
bolk_Germany,subsidies,,,,,99999,,baseline,1,0
bolk_Germany,taxes,,,,,99999,,baseline,1,0
bolk_Germany,wtp_batt,,,,,99999,,baseline,1,0
bolk_Germany,wtp_local_w_r,,,,,99999,,baseline,1,0
bolk_Germany,wind_g_wf,645.6659099827878,,,,99999,,baseline,1,0
bolk_Germany,wind_l_wf,211.3376510677958,,,,99999,,baseline,1,0
