program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
bolk_Spain,MVPF,9.018084138290257,,,,99999,,baseline,1,0
bolk_Spain,MVPF_no_cc,5.683518497777934,,,,99999,,baseline,1,0
bolk_Spain,cost,113.9880709721693,,,,99999,1.3796272,baseline,1,0
bolk_Spain,WTP,681.2237312606044,,,,99999,8.2450275,baseline,1,0
bolk_Spain,program_cost,82.62236706367088,,,,99999,,baseline,1,0
bolk_Spain,total_cost,113.9880709721693,,,,99999,,baseline,1,0
bolk_Spain,beh_fisc_ext,,,,,99999,,baseline,1,0
bolk_Spain,utility_fisc_ext,,,,,99999,,baseline,1,0
bolk_Spain,gas_fisc_ext,,,,,99999,,baseline,1,0
bolk_Spain,fed_fisc_ext,,,,,99999,,baseline,1,0
bolk_Spain,state_fisc_ext,,,,,99999,,baseline,1,0
bolk_Spain,WTP_USPres,248.0656255042985,,,,99999,,baseline,1,0
bolk_Spain,WTP_USFut,110.6177244388912,,,,99999,,baseline,1,0
bolk_Spain,WTP_RoW,669.2706648452339,,,,99999,,baseline,1,0
bolk_Spain,WTP_USTotal,,,,,99999,,baseline,1,0
bolk_Spain,enviro_mvpf,3.276884726238251,,,,99999,,baseline,1,0
bolk_Spain,cost_mvpf,.9196820855140686,,,,99999,,baseline,1,0
bolk_Spain,firm_mvpf,,,,,99999,,baseline,1,0
bolk_Spain,cost_wtp,75.98631085122572,,,,99999,,baseline,1,0
bolk_Spain,env_cost_wtp,270.7439726765934,,,,99999,,baseline,1,0
bolk_Spain,marginal,,,,,99999,,baseline,1,0
bolk_Spain,infmarg,,,,,99999,,baseline,1,0
bolk_Spain,wtp_private,82.62236706367088,,,,99999,,baseline,1,0
bolk_Spain,wtp_soc,607.3549816877511,,,,99999,,baseline,1,0
bolk_Spain,wtp_no_ice,,,,,99999,,baseline,1,0
bolk_Spain,wtp_yes_ev,,,,,99999,,baseline,1,0
bolk_Spain,wtp_yes_hev,,,,,99999,,baseline,1,0
bolk_Spain,wtp_soc_rbd,-148.5207296398309,,,,99999,,baseline,1,0
bolk_Spain,wtp_yes_ev_local,,,,,99999,,baseline,1,0
bolk_Spain,wtp_no_ice_local,,,,,99999,,baseline,1,0
bolk_Spain,env_cost_wtp_l,15.07692153583002,,,,99999,,baseline,1,0
bolk_Spain,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
bolk_Spain,wtp_yes_ev_g,,,,,99999,,baseline,1,0
bolk_Spain,wtp_no_ice_g,,,,,99999,,baseline,1,0
bolk_Spain,env_cost_wtp_g,255.6670511407634,,,,99999,,baseline,1,0
bolk_Spain,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
bolk_Spain,wtp_marg,,,,,99999,,baseline,1,0
bolk_Spain,wtp_inf,,,,,99999,,baseline,1,0
bolk_Spain,wtp_glob,459.3900673064161,,,,99999,,baseline,1,0
bolk_Spain,wtp_loc,150.3663369047976,,,,99999,,baseline,1,0
bolk_Spain,wtp_r_glob,-111.8954184235285,,,,99999,,baseline,1,0
bolk_Spain,wtp_r_loc,-36.62531121630239,,,,99999,,baseline,1,0
bolk_Spain,wtp_e_cost,-11.15504001428017,,,,99999,,baseline,1,0
bolk_Spain,WTP_cc,1027.954014788424,,,,99999,,baseline,1,0
bolk_Spain,wtp_install,,,,,99999,,baseline,1,0
bolk_Spain,wtp_prod,82.62236706367088,,,,99999,,baseline,1,0
bolk_Spain,wtp_prod_s,,,,,99999,,baseline,1,0
bolk_Spain,wtp_prod_u,,,,,99999,,baseline,1,0
bolk_Spain,wtp_cons,0,,,,99999,,baseline,1,0
bolk_Spain,wtp_deal,,,,,99999,,baseline,1,0
bolk_Spain,admin_cost,,,,,99999,,baseline,1,0
bolk_Spain,wtp_permits,,,,,99999,,baseline,1,0
bolk_Spain,wtp_abatement,,,,,99999,,baseline,1,0
bolk_Spain,permitrev,,,,,99999,,baseline,1,0
bolk_Spain,wtp_no_leak,,,,,99999,,baseline,1,0
bolk_Spain,wtp_leak,,,,,99999,,baseline,1,0
bolk_Spain,wtp_soc_g,,,,,99999,,baseline,1,0
bolk_Spain,wtp_soc_l,,,,,99999,,baseline,1,0
bolk_Spain,fisc_ext_t,0,,,,99999,,baseline,1,0
bolk_Spain,fisc_ext_s,45.11226357122003,,,,99999,,baseline,1,0
bolk_Spain,fisc_ext_lr,-13.74655966272162,,,,99999,,baseline,1,0
bolk_Spain,q_CO2,3.306574338021259,,,,99999,,baseline,1,0
bolk_Spain,q_CO2_no,,,,,99999,,baseline,1,0
