program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
bolk_UK,MVPF,3.401763055825647,,,,,baseline,1,0
bolk_UK,MVPF_no_cc,3.019574430334278,,,,,baseline,1,0
bolk_UK,cost,94.72154373491843,,,,1.1464394,baseline,1,0
bolk_UK,WTP,287.3747351053296,,,,3.4781711,baseline,1,0
bolk_UK,program_cost,82.62236706367088,,,,,baseline,1,0
bolk_UK,total_cost,94.72154373491843,,,,,baseline,1,0
bolk_UK,beh_fisc_ext,,,,,,baseline,1,0
bolk_UK,utility_fisc_ext,,,,,,baseline,1,0
bolk_UK,gas_fisc_ext,,,,,,baseline,1,0
bolk_UK,fed_fisc_ext,,,,,,baseline,1,0
bolk_UK,state_fisc_ext,,,,,,baseline,1,0
bolk_UK,WTP_USPres,135.2123701866627,,,,,baseline,1,0
bolk_UK,WTP_USFut,26.36839665978132,,,,,baseline,1,0
bolk_UK,WTP_RoW,160.6394812217747,,,,,baseline,1,0
bolk_UK,WTP_USTotal,,,,,,baseline,1,0
bolk_UK,enviro_mvpf,.2230750822999328,,,,,baseline,1,0
bolk_UK,cost_mvpf,.1986692249774933,,,,,baseline,1,0
bolk_UK,firm_mvpf,,,,,,baseline,1,0
bolk_UK,cost_wtp,16.41452163034546,,,,,baseline,1,0
bolk_UK,env_cost_wtp,18.43099133254364,,,,,baseline,1,0
bolk_UK,marginal,,,,,,baseline,1,0
bolk_UK,infmarg,,,,,,baseline,1,0
bolk_UK,wtp_private,82.62236706367088,,,,,baseline,1,0
bolk_UK,wtp_soc,207.7465541851873,,,,,baseline,1,0
bolk_UK,wtp_no_ice,,,,,,baseline,1,0
bolk_UK,wtp_yes_ev,,,,,,baseline,1,0
bolk_UK,wtp_yes_hev,,,,,,baseline,1,0
bolk_UK,wtp_soc_rbd,-50.80170697209737,,,,,baseline,1,0
bolk_UK,wtp_yes_ev_local,,,,,,baseline,1,0
bolk_UK,wtp_no_ice_local,,,,,,baseline,1,0
bolk_UK,env_cost_wtp_l,1.157003807476896,,,,,baseline,1,0
bolk_UK,wtp_soc_rbd_l,,,,,,baseline,1,0
bolk_UK,wtp_yes_ev_g,,,,,,baseline,1,0
bolk_UK,wtp_no_ice_g,,,,,,baseline,1,0
bolk_UK,env_cost_wtp_g,17.27398752506674,,,,,baseline,1,0
bolk_UK,wtp_soc_rbd_g,,,,,,baseline,1,0
bolk_UK,wtp_marg,,,,,,baseline,1,0
bolk_UK,wtp_inf,,,,,,baseline,1,0
bolk_UK,wtp_glob,157.1349645385381,,,,,baseline,1,0
bolk_UK,wtp_loc,51.4329993155149,,,,,baseline,1,0
bolk_UK,wtp_r_glob,-38.27397207149078,,,,,baseline,1,0
bolk_UK,wtp_r_loc,-12.52773490060659,,,,,baseline,1,0
bolk_UK,wtp_e_cost,-3.81559581239428,,,,,baseline,1,0
bolk_UK,WTP_cc,322.2202480682187,,,,,baseline,1,0
bolk_UK,wtp_install,,,,,,baseline,1,0
bolk_UK,wtp_prod,82.62236706367088,,,,,baseline,1,0
bolk_UK,wtp_prod_s,,,,,,baseline,1,0
bolk_UK,wtp_prod_u,,,,,,baseline,1,0
bolk_UK,wtp_cons,0,,,,,baseline,1,0
bolk_UK,wtp_deal,,,,,,baseline,1,0
bolk_UK,admin_cost,,,,,,baseline,1,0
bolk_UK,wtp_permits,,,,,,baseline,1,0
bolk_UK,wtp_abatement,,,,,,baseline,1,0
bolk_UK,permitrev,,,,,,baseline,1,0
bolk_UK,wtp_no_leak,,,,,,baseline,1,0
bolk_UK,wtp_leak,,,,,,baseline,1,0
bolk_UK,wtp_soc_g,,,,,,baseline,1,0
bolk_UK,wtp_soc_l,,,,,,baseline,1,0
bolk_UK,fisc_ext_t,0,,,,,baseline,1,0
bolk_UK,fisc_ext_s,15.43070789074904,,,,,baseline,1,0
bolk_UK,fisc_ext_lr,-3.33153121950149,,,,,baseline,1,0
bolk_UK,q_CO2,1.131018013505391,,,,,baseline,1,0
bolk_UK,q_CO2_no,,,,,,baseline,1,0
bolk_UK,p_spend,98.05307495441991,,,,,baseline,1,0
bolk_UK,ev_sub_c,,,,,,baseline,1,0
bolk_UK,ev_sub_c_row,,,,,,baseline,1,0
bolk_UK,ev_sub_c_us,,,,,,baseline,1,0
bolk_UK,ev_sub_env,,,,,,baseline,1,0
bolk_UK,ev_sub_cost,,,,,,baseline,1,0
bolk_UK,profits_fisc_e,,,,,,baseline,1,0
bolk_UK,wtp_soc_l_po,,,,,,baseline,1,0
bolk_UK,wtp_soc_l_dr,,,,,,baseline,1,0
bolk_UK,gov_carbon,.0000355458349095,,,,,baseline,1,0
bolk_UK,resource_ce,-42.23843697503107,,,,,baseline,1,0
bolk_UK,q_carbon_mck,.000396380954224,,,,,baseline,1,0
bolk_UK,semie,-.1122775903255575,,,,,baseline,1,0
bolk_UK,pass_through,,,,,,baseline,1,0
bolk_UK,permitrev_new,,,,,,baseline,1,0
bolk_UK,permitrev_ex,,,,,,baseline,1,0
bolk_UK,fiscalext,,,,,,baseline,1,0
bolk_UK,firm_cost_wtp,,,,,,baseline,1,0
bolk_UK,c_savings,,,,,,baseline,1,0
bolk_UK,resource_cost,4015000,,,,,baseline,1,0
bolk_UK,q_CO2_mck,.000396380954224,,,,,baseline,1,0
bolk_UK,q_CO2_mck_no,,,,,,baseline,1,0
bolk_UK,wtp_ctr,,,,,,baseline,1,0
bolk_UK,gas_corp_fisc_e,,,,,,baseline,1,0
bolk_UK,epsilon,-.597,,,,,baseline,1,0
bolk_UK,transfer,,,,,,baseline,1,0
bolk_UK,enviro_wtp,,,,,,baseline,1,0
bolk_UK,cost_curve,,,,,,baseline,1,0
bolk_UK,profits,,,,,,baseline,1,0
bolk_UK,subsidies,,,,,,baseline,1,0
bolk_UK,taxes,,,,,,baseline,1,0
bolk_UK,wtp_batt,,,,,,baseline,1,0
bolk_UK,wtp_local_w_r,,,,,,baseline,1,0
bolk_UK,wind_g_wf,195.4089366100289,,,,,baseline,1,0
bolk_UK,wind_l_wf,63.96073421612149,,,,,baseline,1,0
