program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
bolk_UK,MVPF,3.401763055825647,,,,99999,,baseline,1,0
bolk_UK,MVPF_no_cc,3.019574430334278,,,,99999,,baseline,1,0
bolk_UK,cost,94.72154373491843,,,,99999,1.1464394,baseline,1,0
bolk_UK,WTP,287.3747351053296,,,,99999,3.4781711,baseline,1,0
bolk_UK,program_cost,82.62236706367088,,,,99999,,baseline,1,0
bolk_UK,total_cost,94.72154373491843,,,,99999,,baseline,1,0
bolk_UK,beh_fisc_ext,,,,,99999,,baseline,1,0
bolk_UK,utility_fisc_ext,,,,,99999,,baseline,1,0
bolk_UK,gas_fisc_ext,,,,,99999,,baseline,1,0
bolk_UK,fed_fisc_ext,,,,,99999,,baseline,1,0
bolk_UK,state_fisc_ext,,,,,99999,,baseline,1,0
bolk_UK,WTP_USPres,135.2123701866627,,,,99999,,baseline,1,0
bolk_UK,WTP_USFut,26.36839665978132,,,,99999,,baseline,1,0
bolk_UK,WTP_RoW,160.6394812217747,,,,99999,,baseline,1,0
bolk_UK,WTP_USTotal,,,,,99999,,baseline,1,0
bolk_UK,enviro_mvpf,.2230750822999328,,,,99999,,baseline,1,0
bolk_UK,cost_mvpf,.1986692249774933,,,,99999,,baseline,1,0
bolk_UK,firm_mvpf,,,,,99999,,baseline,1,0
bolk_UK,cost_wtp,16.41452163034546,,,,99999,,baseline,1,0
bolk_UK,env_cost_wtp,18.43099133254364,,,,99999,,baseline,1,0
bolk_UK,marginal,,,,,99999,,baseline,1,0
bolk_UK,infmarg,,,,,99999,,baseline,1,0
bolk_UK,wtp_private,82.62236706367088,,,,99999,,baseline,1,0
bolk_UK,wtp_soc,207.7465541851873,,,,99999,,baseline,1,0
bolk_UK,wtp_no_ice,,,,,99999,,baseline,1,0
bolk_UK,wtp_yes_ev,,,,,99999,,baseline,1,0
bolk_UK,wtp_yes_hev,,,,,99999,,baseline,1,0
bolk_UK,wtp_soc_rbd,-50.80170697209737,,,,99999,,baseline,1,0
bolk_UK,wtp_yes_ev_local,,,,,99999,,baseline,1,0
bolk_UK,wtp_no_ice_local,,,,,99999,,baseline,1,0
bolk_UK,env_cost_wtp_l,1.157003807476896,,,,99999,,baseline,1,0
bolk_UK,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
bolk_UK,wtp_yes_ev_g,,,,,99999,,baseline,1,0
bolk_UK,wtp_no_ice_g,,,,,99999,,baseline,1,0
bolk_UK,env_cost_wtp_g,17.27398752506674,,,,99999,,baseline,1,0
bolk_UK,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
bolk_UK,wtp_marg,,,,,99999,,baseline,1,0
bolk_UK,wtp_inf,,,,,99999,,baseline,1,0
bolk_UK,wtp_glob,157.1349645385381,,,,99999,,baseline,1,0
bolk_UK,wtp_loc,51.4329993155149,,,,99999,,baseline,1,0
bolk_UK,wtp_r_glob,-38.27397207149078,,,,99999,,baseline,1,0
bolk_UK,wtp_r_loc,-12.52773490060659,,,,99999,,baseline,1,0
bolk_UK,wtp_e_cost,-3.81559581239428,,,,99999,,baseline,1,0
bolk_UK,WTP_cc,322.2202480682187,,,,99999,,baseline,1,0
bolk_UK,wtp_install,,,,,99999,,baseline,1,0
bolk_UK,wtp_prod,82.62236706367088,,,,99999,,baseline,1,0
bolk_UK,wtp_prod_s,,,,,99999,,baseline,1,0
bolk_UK,wtp_prod_u,,,,,99999,,baseline,1,0
bolk_UK,wtp_cons,0,,,,99999,,baseline,1,0
bolk_UK,wtp_deal,,,,,99999,,baseline,1,0
bolk_UK,admin_cost,,,,,99999,,baseline,1,0
bolk_UK,wtp_permits,,,,,99999,,baseline,1,0
bolk_UK,wtp_abatement,,,,,99999,,baseline,1,0
bolk_UK,permitrev,,,,,99999,,baseline,1,0
bolk_UK,wtp_no_leak,,,,,99999,,baseline,1,0
bolk_UK,wtp_leak,,,,,99999,,baseline,1,0
bolk_UK,wtp_soc_g,,,,,99999,,baseline,1,0
bolk_UK,wtp_soc_l,,,,,99999,,baseline,1,0
bolk_UK,fisc_ext_t,0,,,,99999,,baseline,1,0
bolk_UK,fisc_ext_s,15.43070789074904,,,,99999,,baseline,1,0
bolk_UK,fisc_ext_lr,-3.33153121950149,,,,99999,,baseline,1,0
bolk_UK,q_CO2,1.131018013505391,,,,99999,,baseline,1,0
bolk_UK,q_CO2_no,,,,,99999,,baseline,1,0
bolk_UK,p_spend,98.05307495441991,,,,99999,,baseline,1,0
bolk_UK,ev_sub_c,,,,,99999,,baseline,1,0
bolk_UK,ev_sub_c_row,,,,,99999,,baseline,1,0
bolk_UK,ev_sub_c_us,,,,,99999,,baseline,1,0
bolk_UK,ev_sub_env,,,,,99999,,baseline,1,0
bolk_UK,ev_sub_cost,,,,,99999,,baseline,1,0
bolk_UK,profits_fisc_e,,,,,99999,,baseline,1,0
bolk_UK,wtp_soc_l_po,,,,,99999,,baseline,1,0
bolk_UK,wtp_soc_l_dr,,,,,99999,,baseline,1,0
bolk_UK,gov_carbon,.0000355458349095,,,,99999,,baseline,1,0
bolk_UK,resource_ce,-42.23843697503107,,,,99999,,baseline,1,0
bolk_UK,q_carbon_mck,.000396380954224,,,,99999,,baseline,1,0
bolk_UK,semie,-.1122775903255575,,,,99999,,baseline,1,0
bolk_UK,pass_through,,,,,99999,,baseline,1,0
bolk_UK,permitrev_new,,,,,99999,,baseline,1,0
bolk_UK,permitrev_ex,,,,,99999,,baseline,1,0
bolk_UK,fiscalext,,,,,99999,,baseline,1,0
bolk_UK,firm_cost_wtp,,,,,99999,,baseline,1,0
bolk_UK,c_savings,,,,,99999,,baseline,1,0
bolk_UK,resource_cost,4015000,,,,99999,,baseline,1,0
bolk_UK,q_CO2_mck,.000396380954224,,,,99999,,baseline,1,0
bolk_UK,q_CO2_mck_no,,,,,99999,,baseline,1,0
bolk_UK,wtp_ctr,,,,,99999,,baseline,1,0
bolk_UK,gas_corp_fisc_e,,,,,99999,,baseline,1,0
bolk_UK,epsilon,-.597,,,,99999,,baseline,1,0
bolk_UK,transfer,,,,,99999,,baseline,1,0
bolk_UK,enviro_wtp,,,,,99999,,baseline,1,0
bolk_UK,cost_curve,,,,,99999,,baseline,1,0
bolk_UK,profits,,,,,99999,,baseline,1,0
bolk_UK,subsidies,,,,,99999,,baseline,1,0
bolk_UK,taxes,,,,,99999,,baseline,1,0
bolk_UK,wtp_batt,,,,,99999,,baseline,1,0
bolk_UK,wtp_local_w_r,,,,,99999,,baseline,1,0
bolk_UK,wind_g_wf,195.4089366100289,,,,99999,,baseline,1,0
bolk_UK,wind_l_wf,63.96073421612149,,,,99999,,baseline,1,0
