program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
bunker_fuel,MVPF,.9453140912318221,,,,,baseline,1,0
bunker_fuel,MVPF_no_cc,,,,,,baseline,1,0
bunker_fuel,cost,.9990862431210304,,,,.99908626,baseline,1,0
bunker_fuel,WTP,.9444503039781722,,,,.94445032,baseline,1,0
bunker_fuel,program_cost,1,,,,,baseline,1,0
bunker_fuel,total_cost,,,,,,baseline,1,0
bunker_fuel,beh_fisc_ext,,,,,,baseline,1,0
bunker_fuel,utility_fisc_ext,,,,,,baseline,1,0
bunker_fuel,gas_fisc_ext,,,,,,baseline,1,0
bunker_fuel,fed_fisc_ext,,,,,,baseline,1,0
bunker_fuel,state_fisc_ext,,,,,,baseline,1,0
bunker_fuel,WTP_USPres,1.006645257152423,,,,,baseline,1,0
bunker_fuel,WTP_USFut,-.0082968243178941,,,,,baseline,1,0
bunker_fuel,WTP_RoW,-.0538981288563564,,,,,baseline,1,0
bunker_fuel,WTP_USTotal,,,,,,baseline,1,0
bunker_fuel,enviro_mvpf,,,,,,baseline,1,0
bunker_fuel,cost_mvpf,,,,,,baseline,1,0
bunker_fuel,firm_mvpf,,,,,,baseline,1,0
bunker_fuel,cost_wtp,0,,,,,baseline,1,0
bunker_fuel,env_cost_wtp,0,,,,,baseline,1,0
bunker_fuel,marginal,,,,,,baseline,1,0
bunker_fuel,infmarg,,,,,,baseline,1,0
bunker_fuel,wtp_private,,,,,,baseline,1,0
bunker_fuel,wtp_soc,-.0635564102192492,,,,,baseline,1,0
bunker_fuel,wtp_no_ice,,,,,,baseline,1,0
bunker_fuel,wtp_yes_ev,,,,,,baseline,1,0
bunker_fuel,wtp_yes_hev,,,,,,baseline,1,0
bunker_fuel,wtp_soc_rbd,-1.00000000000e-20,,,,,baseline,1,0
bunker_fuel,wtp_yes_ev_local,,,,,,baseline,1,0
bunker_fuel,wtp_no_ice_local,,,,,,baseline,1,0
bunker_fuel,env_cost_wtp_l,,,,,,baseline,1,0
bunker_fuel,wtp_soc_rbd_l,,,,,,baseline,1,0
bunker_fuel,wtp_yes_ev_g,,,,,,baseline,1,0
bunker_fuel,wtp_no_ice_g,,,,,,baseline,1,0
bunker_fuel,env_cost_wtp_g,,,,,,baseline,1,0
