program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
c4a_dw,MVPF,1.152897405100392,,,,,baseline,1,0
c4a_dw,MVPF_no_cc,,,,,,baseline,1,0
c4a_dw,cost,84.40209650346125,,,,1.0047868,baseline,1,0
c4a_dw,WTP,97.30695804387335,,,,1.1584162,baseline,1,0
c4a_dw,program_cost,84,,,,,baseline,1,0
c4a_dw,total_cost,,,,,,baseline,1,0
c4a_dw,beh_fisc_ext,,,,,,baseline,1,0
c4a_dw,utility_fisc_ext,,,,,,baseline,1,0
c4a_dw,gas_fisc_ext,,,,,,baseline,1,0
c4a_dw,fed_fisc_ext,,,,,,baseline,1,0
c4a_dw,state_fisc_ext,,,,,,baseline,1,0
c4a_dw,WTP_USPres,84.04128388474719,,,,,baseline,1,0
c4a_dw,WTP_USFut,1.769644679180567,,,,,baseline,1,0
c4a_dw,WTP_RoW,11.4960294799456,,,,,baseline,1,0
c4a_dw,WTP_USTotal,,,,,,baseline,1,0
c4a_dw,enviro_mvpf,,,,,,baseline,1,0
c4a_dw,cost_mvpf,,,,,,baseline,1,0
c4a_dw,firm_mvpf,,,,,,baseline,1,0
c4a_dw,cost_wtp,,,,,,baseline,1,0
c4a_dw,env_cost_wtp,,,,,,baseline,1,0
c4a_dw,marginal,,,,,,baseline,1,0
c4a_dw,infmarg,,,,,,baseline,1,0
c4a_dw,wtp_private,,,,,,baseline,1,0
c4a_dw,wtp_soc,20.70516525909667,,,,,baseline,1,0
c4a_dw,wtp_no_ice,,,,,,baseline,1,0
c4a_dw,wtp_yes_ev,,,,,,baseline,1,0
c4a_dw,wtp_yes_hev,,,,,,baseline,1,0
c4a_dw,wtp_soc_rbd,,,,,,baseline,1,0
c4a_dw,wtp_yes_ev_local,,,,,,baseline,1,0
c4a_dw,wtp_no_ice_local,,,,,,baseline,1,0
c4a_dw,env_cost_wtp_l,,,,,,baseline,1,0
c4a_dw,wtp_soc_rbd_l,,,,,,baseline,1,0
c4a_dw,wtp_yes_ev_g,,,,,,baseline,1,0
c4a_dw,wtp_no_ice_g,,,,,,baseline,1,0
c4a_dw,env_cost_wtp_g,,,,,,baseline,1,0
c4a_dw,wtp_soc_rbd_g,,,,,,baseline,1,0
c4a_dw,wtp_marg,5.922,,,,,baseline,1,0
c4a_dw,wtp_inf,72.15600000000001,,,,,baseline,1,0
c4a_dw,wtp_glob,16.49684580680468,,,,,baseline,1,0
c4a_dw,wtp_loc,8.929388555070314,,,,,baseline,1,0
c4a_dw,wtp_r_glob,-3.231171647678507,,,,,baseline,1,0
c4a_dw,wtp_r_loc,-1.748963860615526,,,,,baseline,1,0
c4a_dw,wtp_e_cost,,,,,,baseline,1,0
c4a_dw,WTP_cc,,,,,,baseline,1,0
c4a_dw,wtp_install,,,,,,baseline,1,0
c4a_dw,wtp_prod,-1.217140809707607,,,,,baseline,1,0
c4a_dw,wtp_prod_s,,,,,,baseline,1,0
c4a_dw,wtp_prod_u,,,,,,baseline,1,0
c4a_dw,wtp_cons,,,,,,baseline,1,0
c4a_dw,wtp_deal,,,,,,baseline,1,0
c4a_dw,admin_cost,,,,,,baseline,1,0
c4a_dw,wtp_permits,,,,,,baseline,1,0
c4a_dw,wtp_abatement,,,,,,baseline,1,0
c4a_dw,permitrev,,,,,,baseline,1,0
c4a_dw,wtp_no_leak,,,,,,baseline,1,0
c4a_dw,wtp_leak,,,,,,baseline,1,0
c4a_dw,wtp_soc_g,,,,,,baseline,1,0
c4a_dw,wtp_soc_l,,,,,,baseline,1,0
c4a_dw,fisc_ext_t,.6611629089769633,,,,,baseline,1,0
c4a_dw,fisc_ext_s,0,,,,,baseline,1,0
c4a_dw,fisc_ext_lr,-.2590664055157152,,,,,baseline,1,0
c4a_dw,q_CO2,.0933680009948711,,,,,baseline,1,0
c4a_dw,q_CO2_no,,,,,,baseline,1,0
c4a_dw,p_spend,84,,,,,baseline,1,0
c4a_dw,ev_sub_c,,,,,,baseline,1,0
c4a_dw,ev_sub_c_row,,,,,,baseline,1,0
c4a_dw,ev_sub_c_us,,,,,,baseline,1,0
c4a_dw,ev_sub_env,,,,,,baseline,1,0
c4a_dw,ev_sub_cost,,,,,,baseline,1,0
c4a_dw,profits_fisc_e,,,,,,baseline,1,0
c4a_dw,wtp_soc_l_po,,,,,,baseline,1,0
c4a_dw,wtp_soc_l_dr,,,,,,baseline,1,0
c4a_dw,gov_carbon,.1059150931568442,,,,,baseline,1,0
c4a_dw,resource_ce,105.2310827769853,,,,,baseline,1,0
c4a_dw,q_carbon_mck,.7511708734527957,,,,,baseline,1,0
c4a_dw,semie,,,,,,baseline,1,0
c4a_dw,pass_through,,,,,,baseline,1,0
c4a_dw,permitrev_new,,,,,,baseline,1,0
c4a_dw,permitrev_ex,,,,,,baseline,1,0
c4a_dw,fiscalext,,,,,,baseline,1,0
c4a_dw,firm_cost_wtp,,,,,,baseline,1,0
c4a_dw,c_savings,0,,,,,baseline,1,0
c4a_dw,resource_cost,,,,,,baseline,1,0
c4a_dw,q_CO2_mck,,,,,,baseline,1,0
c4a_dw,q_CO2_mck_no,,,,,,baseline,1,0
c4a_dw,wtp_ctr,,,,,,baseline,1,0
c4a_dw,gas_corp_fisc_e,,,,,,baseline,1,0
c4a_dw,epsilon,,,,,,baseline,1,0
c4a_dw,transfer,,,,,,baseline,1,0
c4a_dw,enviro_wtp,,,,,,baseline,1,0
c4a_dw,cost_curve,,,,,,baseline,1,0
c4a_dw,profits,,,,,,baseline,1,0
c4a_dw,subsidies,,,,,,baseline,1,0
c4a_dw,taxes,,,,,,baseline,1,0
c4a_dw,wtp_batt,,,,,,baseline,1,0
c4a_dw,wtp_local_w_r,,,,,,baseline,1,0
c4a_dw,wind_g_wf,,,,,,baseline,1,0
c4a_dw,wind_l_wf,,,,,,baseline,1,0
