program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
c4a_dw,MVPF,1.152897405100392,,,,99999,,baseline,1,0
c4a_dw,MVPF_no_cc,,,,,99999,,baseline,1,0
c4a_dw,cost,84.40209650346125,,,,99999,1.0047868,baseline,1,0
c4a_dw,WTP,97.30695804387335,,,,99999,1.1584162,baseline,1,0
c4a_dw,program_cost,84,,,,99999,,baseline,1,0
c4a_dw,total_cost,,,,,99999,,baseline,1,0
c4a_dw,beh_fisc_ext,,,,,99999,,baseline,1,0
c4a_dw,utility_fisc_ext,,,,,99999,,baseline,1,0
c4a_dw,gas_fisc_ext,,,,,99999,,baseline,1,0
c4a_dw,fed_fisc_ext,,,,,99999,,baseline,1,0
c4a_dw,state_fisc_ext,,,,,99999,,baseline,1,0
c4a_dw,WTP_USPres,84.04128388474719,,,,99999,,baseline,1,0
c4a_dw,WTP_USFut,1.769644679180567,,,,99999,,baseline,1,0
c4a_dw,WTP_RoW,11.4960294799456,,,,99999,,baseline,1,0
c4a_dw,WTP_USTotal,,,,,99999,,baseline,1,0
c4a_dw,enviro_mvpf,,,,,99999,,baseline,1,0
c4a_dw,cost_mvpf,,,,,99999,,baseline,1,0
c4a_dw,firm_mvpf,,,,,99999,,baseline,1,0
c4a_dw,cost_wtp,,,,,99999,,baseline,1,0
c4a_dw,env_cost_wtp,,,,,99999,,baseline,1,0
c4a_dw,marginal,,,,,99999,,baseline,1,0
c4a_dw,infmarg,,,,,99999,,baseline,1,0
c4a_dw,wtp_private,,,,,99999,,baseline,1,0
c4a_dw,wtp_soc,20.70516525909667,,,,99999,,baseline,1,0
c4a_dw,wtp_no_ice,,,,,99999,,baseline,1,0
c4a_dw,wtp_yes_ev,,,,,99999,,baseline,1,0
c4a_dw,wtp_yes_hev,,,,,99999,,baseline,1,0
c4a_dw,wtp_soc_rbd,,,,,99999,,baseline,1,0
c4a_dw,wtp_yes_ev_local,,,,,99999,,baseline,1,0
c4a_dw,wtp_no_ice_local,,,,,99999,,baseline,1,0
c4a_dw,env_cost_wtp_l,,,,,99999,,baseline,1,0
c4a_dw,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
c4a_dw,wtp_yes_ev_g,,,,,99999,,baseline,1,0
c4a_dw,wtp_no_ice_g,,,,,99999,,baseline,1,0
c4a_dw,env_cost_wtp_g,,,,,99999,,baseline,1,0
c4a_dw,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
c4a_dw,wtp_marg,5.922,,,,99999,,baseline,1,0
c4a_dw,wtp_inf,72.15600000000001,,,,99999,,baseline,1,0
c4a_dw,wtp_glob,16.49684580680468,,,,99999,,baseline,1,0
c4a_dw,wtp_loc,8.929388555070314,,,,99999,,baseline,1,0
c4a_dw,wtp_r_glob,-3.231171647678507,,,,99999,,baseline,1,0
c4a_dw,wtp_r_loc,-1.748963860615526,,,,99999,,baseline,1,0
c4a_dw,wtp_e_cost,,,,,99999,,baseline,1,0
c4a_dw,WTP_cc,,,,,99999,,baseline,1,0
c4a_dw,wtp_install,,,,,99999,,baseline,1,0
c4a_dw,wtp_prod,-1.217140809707607,,,,99999,,baseline,1,0
c4a_dw,wtp_prod_s,,,,,99999,,baseline,1,0
c4a_dw,wtp_prod_u,,,,,99999,,baseline,1,0
c4a_dw,wtp_cons,,,,,99999,,baseline,1,0
c4a_dw,wtp_deal,,,,,99999,,baseline,1,0
c4a_dw,admin_cost,,,,,99999,,baseline,1,0
c4a_dw,wtp_permits,,,,,99999,,baseline,1,0
c4a_dw,wtp_abatement,,,,,99999,,baseline,1,0
c4a_dw,permitrev,,,,,99999,,baseline,1,0
c4a_dw,wtp_no_leak,,,,,99999,,baseline,1,0
c4a_dw,wtp_leak,,,,,99999,,baseline,1,0
c4a_dw,wtp_soc_g,,,,,99999,,baseline,1,0
c4a_dw,wtp_soc_l,,,,,99999,,baseline,1,0
c4a_dw,fisc_ext_t,.6611629089769633,,,,99999,,baseline,1,0
c4a_dw,fisc_ext_s,0,,,,99999,,baseline,1,0
c4a_dw,fisc_ext_lr,-.2590664055157152,,,,99999,,baseline,1,0
c4a_dw,q_CO2,.0933680009948711,,,,99999,,baseline,1,0
c4a_dw,q_CO2_no,,,,,99999,,baseline,1,0
c4a_dw,p_spend,84,,,,99999,,baseline,1,0
c4a_dw,ev_sub_c,,,,,99999,,baseline,1,0
c4a_dw,ev_sub_c_row,,,,,99999,,baseline,1,0
c4a_dw,ev_sub_c_us,,,,,99999,,baseline,1,0
c4a_dw,ev_sub_env,,,,,99999,,baseline,1,0
c4a_dw,ev_sub_cost,,,,,99999,,baseline,1,0
c4a_dw,profits_fisc_e,,,,,99999,,baseline,1,0
c4a_dw,wtp_soc_l_po,,,,,99999,,baseline,1,0
c4a_dw,wtp_soc_l_dr,,,,,99999,,baseline,1,0
c4a_dw,gov_carbon,.1059150931568442,,,,99999,,baseline,1,0
c4a_dw,resource_ce,105.2310827769853,,,,99999,,baseline,1,0
c4a_dw,q_carbon_mck,.7511708734527957,,,,99999,,baseline,1,0
c4a_dw,semie,,,,,99999,,baseline,1,0
c4a_dw,pass_through,,,,,99999,,baseline,1,0
c4a_dw,permitrev_new,,,,,99999,,baseline,1,0
c4a_dw,permitrev_ex,,,,,99999,,baseline,1,0
c4a_dw,fiscalext,,,,,99999,,baseline,1,0
c4a_dw,firm_cost_wtp,,,,,99999,,baseline,1,0
c4a_dw,c_savings,0,,,,99999,,baseline,1,0
c4a_dw,resource_cost,,,,,99999,,baseline,1,0
c4a_dw,q_CO2_mck,,,,,99999,,baseline,1,0
c4a_dw,q_CO2_mck_no,,,,,99999,,baseline,1,0
c4a_dw,wtp_ctr,,,,,99999,,baseline,1,0
c4a_dw,gas_corp_fisc_e,,,,,99999,,baseline,1,0
c4a_dw,epsilon,,,,,99999,,baseline,1,0
c4a_dw,transfer,,,,,99999,,baseline,1,0
c4a_dw,enviro_wtp,,,,,99999,,baseline,1,0
c4a_dw,cost_curve,,,,,99999,,baseline,1,0
c4a_dw,profits,,,,,99999,,baseline,1,0
c4a_dw,subsidies,,,,,99999,,baseline,1,0
c4a_dw,taxes,,,,,99999,,baseline,1,0
c4a_dw,wtp_batt,,,,,99999,,baseline,1,0
c4a_dw,wtp_local_w_r,,,,,99999,,baseline,1,0
c4a_dw,wind_g_wf,,,,,99999,,baseline,1,0
c4a_dw,wind_l_wf,,,,,99999,,baseline,1,0
