program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
c4c_federal,MVPF,1.018215235919782,,,,99999,,baseline,1,0
c4c_federal,MVPF_no_cc,,,,,99999,,baseline,1,0
c4c_federal,cost,4484.768259799283,,,,99999,1.0652657,baseline,1,0
c4c_federal,WTP,4566.459371697078,,,,99999,1.0846697,baseline,1,0
c4c_federal,program_cost,4210,,,,99999,,baseline,1,0
c4c_federal,total_cost,4484.768259799283,,,,99999,,baseline,1,0
c4c_federal,beh_fisc_ext,,,,,99999,,baseline,1,0
c4c_federal,utility_fisc_ext,,,,,99999,,baseline,1,0
c4c_federal,gas_fisc_ext,,,,,99999,,baseline,1,0
c4c_federal,fed_fisc_ext,,,,,99999,,baseline,1,0
c4c_federal,state_fisc_ext,,,,,99999,,baseline,1,0
c4c_federal,WTP_USPres,3744.393570698811,,,,99999,,baseline,1,0
c4c_federal,WTP_USFut,109.6638100124059,,,,99999,,baseline,1,0
c4c_federal,WTP_RoW,712.4019909858611,,,,99999,,baseline,1,0
c4c_federal,WTP_USTotal,,,,,99999,,baseline,1,0
c4c_federal,enviro_mvpf,,,,,99999,,baseline,1,0
c4c_federal,cost_mvpf,,,,,99999,,baseline,1,0
c4c_federal,firm_mvpf,,,,,99999,,baseline,1,0
c4c_federal,cost_wtp,,,,,99999,,baseline,1,0
c4c_federal,env_cost_wtp,,,,,99999,,baseline,1,0
c4c_federal,marginal,,,,,99999,,baseline,1,0
c4c_federal,infmarg,,,,,99999,,baseline,1,0
c4c_federal,wtp_private,,,,,99999,,baseline,1,0
c4c_federal,wtp_soc,1201.552808897142,,,,99999,,baseline,1,0
c4c_federal,wtp_no_ice,,,,,99999,,baseline,1,0
c4c_federal,wtp_yes_ev,,,,,99999,,baseline,1,0
c4c_federal,wtp_yes_hev,,,,,99999,,baseline,1,0
c4c_federal,wtp_soc_rbd,-559.2465487950632,,,,99999,,baseline,1,0
c4c_federal,wtp_yes_ev_local,,,,,99999,,baseline,1,0
c4c_federal,wtp_no_ice_local,,,,,99999,,baseline,1,0
c4c_federal,env_cost_wtp_l,,,,,99999,,baseline,1,0
c4c_federal,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
c4c_federal,wtp_yes_ev_g,,,,,99999,,baseline,1,0
c4c_federal,wtp_no_ice_g,,,,,99999,,baseline,1,0
c4c_federal,env_cost_wtp_g,,,,,99999,,baseline,1,0
c4c_federal,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
c4c_federal,wtp_marg,0,,,,99999,,baseline,1,0
c4c_federal,wtp_inf,4210,,,,99999,,baseline,1,0
c4c_federal,wtp_glob,1029.266115176732,,,,99999,,baseline,1,0
c4c_federal,wtp_loc,172.28669372041,,,,99999,,baseline,1,0
c4c_federal,wtp_r_glob,-207.2003141784651,,,,99999,,baseline,1,0
c4c_federal,wtp_r_loc,-352.0462346165981,,,,99999,,baseline,1,0
c4c_federal,wtp_e_cost,,,,,99999,,baseline,1,0
c4c_federal,WTP_cc,,,,,99999,,baseline,1,0
c4c_federal,wtp_install,,,,,99999,,baseline,1,0
c4c_federal,wtp_prod,-285.8468884050008,,,,99999,,baseline,1,0
c4c_federal,wtp_prod_s,-285.8468884050008,,,,99999,,baseline,1,0
c4c_federal,wtp_prod_u,,,,,99999,,baseline,1,0
c4c_federal,wtp_cons,,,,,99999,,baseline,1,0
c4c_federal,wtp_deal,,,,,99999,,baseline,1,0
c4c_federal,admin_cost,,,,,99999,,baseline,1,0
c4c_federal,wtp_permits,,,,,99999,,baseline,1,0
c4c_federal,wtp_abatement,,,,,99999,,baseline,1,0
c4c_federal,permitrev,,,,,99999,,baseline,1,0
c4c_federal,wtp_no_leak,,,,,99999,,baseline,1,0
c4c_federal,wtp_leak,,,,,99999,,baseline,1,0
c4c_federal,wtp_soc_g,,,,,99999,,baseline,1,0
c4c_federal,wtp_soc_l,,,,,99999,,baseline,1,0
c4c_federal,fisc_ext_t,290.8224481961462,,,,99999,,baseline,1,0
c4c_federal,fisc_ext_s,,,,,99999,,baseline,1,0
c4c_federal,fisc_ext_lr,-16.05418839686373,,,,99999,,baseline,1,0
c4c_federal,q_CO2,8.248513256221088,,,,99999,,baseline,1,0
c4c_federal,q_CO2_no,,,,,99999,,baseline,1,0
c4c_federal,p_spend,,,,,99999,,baseline,1,0
c4c_federal,ev_sub_c,,,,,99999,,baseline,1,0
c4c_federal,ev_sub_c_row,,,,,99999,,baseline,1,0
c4c_federal,ev_sub_c_us,,,,,99999,,baseline,1,0
c4c_federal,ev_sub_env,,,,,99999,,baseline,1,0
c4c_federal,ev_sub_cost,,,,,99999,,baseline,1,0
c4c_federal,profits_fisc_e,,,,,99999,,baseline,1,0
c4c_federal,wtp_soc_l_po,,,,,99999,,baseline,1,0
c4c_federal,wtp_soc_l_dr,,,,,99999,,baseline,1,0
c4c_federal,gov_carbon,8.248513256221088,,,,99999,,baseline,1,0
c4c_federal,resource_ce,-8.583110664566872,,,,99999,,baseline,1,0
c4c_federal,q_carbon_mck,8.248513256221088,,,,99999,,baseline,1,0
c4c_federal,semie,,,,,99999,,baseline,1,0
c4c_federal,pass_through,,,,,99999,,baseline,1,0
c4c_federal,permitrev_new,,,,,99999,,baseline,1,0
c4c_federal,permitrev_ex,,,,,99999,,baseline,1,0
c4c_federal,fiscalext,,,,,99999,,baseline,1,0
c4c_federal,firm_cost_wtp,,,,,99999,,baseline,1,0
c4c_federal,c_savings,1317.407200172747,,,,99999,,baseline,1,0
c4c_federal,resource_cost,,,,,99999,,baseline,1,0
c4c_federal,q_CO2_mck,,,,,99999,,baseline,1,0
c4c_federal,q_CO2_mck_no,,,,,99999,,baseline,1,0
c4c_federal,wtp_ctr,,,,,99999,,baseline,1,0
c4c_federal,gas_corp_fisc_e,,,,,99999,,baseline,1,0
c4c_federal,epsilon,,,,,99999,,baseline,1,0
c4c_federal,transfer,,,,,99999,,baseline,1,0
c4c_federal,enviro_wtp,,,,,99999,,baseline,1,0
c4c_federal,cost_curve,,,,,99999,,baseline,1,0
c4c_federal,profits,,,,,99999,,baseline,1,0
c4c_federal,subsidies,,,,,99999,,baseline,1,0
c4c_federal,taxes,,,,,99999,,baseline,1,0
c4c_federal,wtp_batt,,,,,99999,,baseline,1,0
c4c_federal,wtp_local_w_r,,,,,99999,,baseline,1,0
c4c_federal,wind_g_wf,,,,,99999,,baseline,1,0
c4c_federal,wind_l_wf,,,,,99999,,baseline,1,0
