program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
c4c_texas,MVPF,1.020657457845592,,,,,baseline,1,0
c4c_texas,MVPF_no_cc,,,,,,baseline,1,0
c4c_texas,cost,4634.348804281617,,,,1.1007954,baseline,1,0
c4c_texas,WTP,4730.082669347833,,,,1.123535,baseline,1,0
c4c_texas,program_cost,4210,,,,,baseline,1,0
c4c_texas,total_cost,4634.348804281617,,,,,baseline,1,0
c4c_texas,beh_fisc_ext,,,,,,baseline,1,0
c4c_texas,utility_fisc_ext,,,,,,baseline,1,0
c4c_texas,gas_fisc_ext,,,,,,baseline,1,0
c4c_texas,fed_fisc_ext,,,,,,baseline,1,0
c4c_texas,state_fisc_ext,,,,,,baseline,1,0
c4c_texas,WTP_USPres,3463.774158395307,,,,,baseline,1,0
c4c_texas,WTP_USFut,168.92591297869,,,,,baseline,1,0
c4c_texas,WTP_RoW,1097.382597973836,,,,,baseline,1,0
c4c_texas,WTP_USTotal,,,,,,baseline,1,0
c4c_texas,enviro_mvpf,,,,,,baseline,1,0
c4c_texas,cost_mvpf,,,,,,baseline,1,0
c4c_texas,firm_mvpf,,,,,,baseline,1,0
c4c_texas,cost_wtp,,,,,,baseline,1,0
c4c_texas,env_cost_wtp,,,,,,baseline,1,0
c4c_texas,marginal,,,,,,baseline,1,0
c4c_texas,infmarg,,,,,,baseline,1,0
c4c_texas,wtp_private,,,,,,baseline,1,0
c4c_texas,wtp_soc,1799.76269276429,,,,,baseline,1,0
c4c_texas,wtp_no_ice,,,,,,baseline,1,0
c4c_texas,wtp_yes_ev,,,,,,baseline,1,0
c4c_texas,wtp_yes_hev,,,,,,baseline,1,0
c4c_texas,wtp_soc_rbd,-838.284466903498,,,,,baseline,1,0
c4c_texas,wtp_yes_ev_local,,,,,,baseline,1,0
c4c_texas,wtp_no_ice_local,,,,,,baseline,1,0
c4c_texas,env_cost_wtp_l,,,,,,baseline,1,0
c4c_texas,wtp_soc_rbd_l,,,,,,baseline,1,0
c4c_texas,wtp_yes_ev_g,,,,,,baseline,1,0
c4c_texas,wtp_no_ice_g,,,,,,baseline,1,0
c4c_texas,env_cost_wtp_g,,,,,,baseline,1,0
c4c_texas,wtp_soc_rbd_g,,,,,,baseline,1,0
c4c_texas,wtp_marg,0,,,,,baseline,1,0
c4c_texas,wtp_inf,4210,,,,,baseline,1,0
c4c_texas,wtp_glob,1568.320031915292,,,,,baseline,1,0
c4c_texas,wtp_loc,231.4426608489989,,,,,baseline,1,0
c4c_texas,wtp_r_glob,-302.0115209627656,,,,,baseline,1,0
