program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
ca_electric,MVPF,.9986366526104667,,,,,baseline,1,0
ca_electric,MVPF_no_cc,,,,,,baseline,1,0
ca_electric,cost,13495474.54993834,,,,1.2720132,baseline,1,0
ca_electric,WTP,13477075.52994017,,,,1.2702789,baseline,1,0
ca_electric,program_cost,10609540,,,,,baseline,1,0
ca_electric,total_cost,13495474.54993834,,,,,baseline,1,0
ca_electric,beh_fisc_ext,,,,,,baseline,1,0
ca_electric,utility_fisc_ext,,,,,,baseline,1,0
ca_electric,gas_fisc_ext,,,,,,baseline,1,0
ca_electric,fed_fisc_ext,,,,,,baseline,1,0
ca_electric,state_fisc_ext,,,,,,baseline,1,0
ca_electric,WTP_USPres,4411411.666375142,,,,,baseline,1,0
ca_electric,WTP_USFut,1209362.119629673,,,,,baseline,1,0
ca_electric,WTP_RoW,7856301.743935357,,,,,baseline,1,0
ca_electric,WTP_USTotal,,,,,,baseline,1,0
ca_electric,enviro_mvpf,,,,,,baseline,1,0
ca_electric,cost_mvpf,,,,,,baseline,1,0
ca_electric,firm_mvpf,,,,,,baseline,1,0
ca_electric,cost_wtp,,,,,,baseline,1,0
ca_electric,env_cost_wtp,,,,,,baseline,1,0
ca_electric,marginal,,,,,,baseline,1,0
ca_electric,infmarg,,,,,,baseline,1,0
ca_electric,wtp_private,,,,,,baseline,1,0
ca_electric,wtp_soc,9933865.787998708,,,,,baseline,1,0
ca_electric,wtp_no_ice,,,,,,baseline,1,0
ca_electric,wtp_yes_ev,,,,,,baseline,1,0
ca_electric,wtp_yes_hev,,,,,,baseline,1,0
ca_electric,wtp_soc_rbd,,,,,,baseline,1,0
ca_electric,wtp_yes_ev_local,,,,,,baseline,1,0
ca_electric,wtp_no_ice_local,,,,,,baseline,1,0
ca_electric,env_cost_wtp_l,,,,,,baseline,1,0
ca_electric,wtp_soc_rbd_l,,,,,,baseline,1,0
ca_electric,wtp_yes_ev_g,,,,,,baseline,1,0
ca_electric,wtp_no_ice_g,,,,,,baseline,1,0
ca_electric,env_cost_wtp_g,,,,,,baseline,1,0
ca_electric,wtp_soc_rbd_g,,,,,,baseline,1,0
ca_electric,wtp_marg,0,,,,,baseline,1,0
ca_electric,wtp_inf,9358919,,,,,baseline,1,0
ca_electric,wtp_glob,11273822.73223307,,,,,baseline,1,0
ca_electric,wtp_loc,859505.8500700851,,,,,baseline,1,0
ca_electric,wtp_r_glob,-2208158.868668042,,,,,baseline,1,0
ca_electric,wtp_r_loc,-168347.9961129733,,,,,baseline,1,0
ca_electric,wtp_e_cost,,,,,,baseline,1,0
ca_electric,WTP_cc,,,,,,baseline,1,0
ca_electric,wtp_install,,,,,,baseline,1,0
ca_electric,wtp_prod,-5638665.18758197,,,,,baseline,1,0
ca_electric,wtp_prod_s,,,,,,baseline,1,0
ca_electric,wtp_prod_u,,,,,,baseline,1,0
ca_electric,wtp_cons,,,,,,baseline,1,0
ca_electric,wtp_deal,,,,,,baseline,1,0
ca_electric,admin_cost,4000000,,,,,baseline,1,0
ca_electric,wtp_permits,,,,,,baseline,1,0
ca_electric,wtp_abatement,,,,,,baseline,1,0
ca_electric,permitrev,,,,,,baseline,1,0
ca_electric,wtp_no_leak,,,,,,baseline,1,0
ca_electric,wtp_leak,,,,,,baseline,1,0
ca_electric,wtp_soc_g,,,,,,baseline,1,0
ca_electric,wtp_soc_l,,,,,,baseline,1,0
ca_electric,fisc_ext_t,3062978.620414907,,,,,baseline,1,0
ca_electric,fisc_ext_s,0,,,,,baseline,1,0
ca_electric,fisc_ext_lr,-177044.0704765668,,,,,baseline,1,0
ca_electric,q_CO2,70831.89686496874,,,,,baseline,1,0
ca_electric,q_CO2_no,,,,,,baseline,1,0
ca_electric,p_spend,14609540,,,,,baseline,1,0
ca_electric,ev_sub_c,,,,,,baseline,1,0
ca_electric,ev_sub_c_row,,,,,,baseline,1,0
ca_electric,ev_sub_c_us,,,,,,baseline,1,0
ca_electric,ev_sub_env,,,,,,baseline,1,0
ca_electric,ev_sub_cost,,,,,,baseline,1,0
ca_electric,profits_fisc_e,,,,,,baseline,1,0
ca_electric,wtp_soc_l_po,,,,,,baseline,1,0
ca_electric,wtp_soc_l_dr,,,,,,baseline,1,0
ca_electric,gov_carbon,88084.69639524541,,,,,baseline,1,0
ca_electric,resource_ce,-174.1754824555135,,,,,baseline,1,0
ca_electric,q_carbon_mck,88084.69639524541,,,,,baseline,1,0
ca_electric,semie,,,,,,baseline,1,0
ca_electric,pass_through,,,,,,baseline,1,0
ca_electric,permitrev_new,,,,,,baseline,1,0
ca_electric,permitrev_ex,,,,,,baseline,1,0
ca_electric,fiscalext,,,,,,baseline,1,0
ca_electric,firm_cost_wtp,,,,,,baseline,1,0
ca_electric,c_savings,0,,,,,baseline,1,0
ca_electric,resource_cost,,,,,,baseline,1,0
ca_electric,q_CO2_mck,,,,,,baseline,1,0
ca_electric,q_CO2_mck_no,,,,,,baseline,1,0
ca_electric,wtp_ctr,,,,,,baseline,1,0
ca_electric,gas_corp_fisc_e,,,,,,baseline,1,0
ca_electric,epsilon,,,,,,baseline,1,0
ca_electric,transfer,,,,,,baseline,1,0
ca_electric,enviro_wtp,,,,,,baseline,1,0
ca_electric,cost_curve,,,,,,baseline,1,0
ca_electric,profits,,,,,,baseline,1,0
ca_electric,subsidies,,,,,,baseline,1,0
ca_electric,taxes,,,,,,baseline,1,0
ca_electric,wtp_batt,,,,,,baseline,1,0
ca_electric,wtp_local_w_r,,,,,,baseline,1,0
ca_electric,wind_g_wf,,,,,,baseline,1,0
ca_electric,wind_l_wf,,,,,,baseline,1,0
