program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
cafe_as,MVPF,,,,,99999,,baseline,1,0
cafe_as,MVPF_no_cc,,,,,99999,,baseline,1,0
cafe_as,cost,.3885110182177561,,,,99999,,baseline,1,0
cafe_as,WTP,.6018514523035784,,,,99999,,baseline,1,0
cafe_as,program_cost,0,,,,99999,,baseline,1,0
cafe_as,total_cost,,,,,99999,,baseline,1,0
cafe_as,beh_fisc_ext,,,,,99999,,baseline,1,0
cafe_as,utility_fisc_ext,,,,,99999,,baseline,1,0
cafe_as,gas_fisc_ext,,,,,99999,,baseline,1,0
cafe_as,fed_fisc_ext,,,,,99999,,baseline,1,0
cafe_as,state_fisc_ext,,,,,99999,,baseline,1,0
cafe_as,WTP_USPres,,,,,99999,,baseline,1,0
cafe_as,WTP_USFut,,,,,99999,,baseline,1,0
cafe_as,WTP_RoW,,,,,99999,,baseline,1,0
cafe_as,WTP_USTotal,,,,,99999,,baseline,1,0
cafe_as,enviro_mvpf,,,,,99999,,baseline,1,0
cafe_as,cost_mvpf,,,,,99999,,baseline,1,0
cafe_as,firm_mvpf,,,,,99999,,baseline,1,0
cafe_as,cost_wtp,,,,,99999,,baseline,1,0
cafe_as,env_cost_wtp,,,,,99999,,baseline,1,0
cafe_as,marginal,,,,,99999,,baseline,1,0
cafe_as,infmarg,,,,,99999,,baseline,1,0
cafe_as,wtp_private,,,,,99999,,baseline,1,0
cafe_as,wtp_soc,1,,,,99999,,baseline,1,0
cafe_as,wtp_no_ice,,,,,99999,,baseline,1,0
cafe_as,wtp_yes_ev,,,,,99999,,baseline,1,0
cafe_as,wtp_yes_hev,,,,,99999,,baseline,1,0
cafe_as,wtp_soc_rbd,,,,,99999,,baseline,1,0
cafe_as,wtp_yes_ev_local,,,,,99999,,baseline,1,0
cafe_as,wtp_no_ice_local,,,,,99999,,baseline,1,0
cafe_as,env_cost_wtp_l,,,,,99999,,baseline,1,0
cafe_as,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
cafe_as,wtp_yes_ev_g,,,,,99999,,baseline,1,0
cafe_as,wtp_no_ice_g,,,,,99999,,baseline,1,0
cafe_as,env_cost_wtp_g,,,,,99999,,baseline,1,0
cafe_as,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
cafe_as,wtp_marg,,,,,99999,,baseline,1,0
cafe_as,wtp_inf,,,,,99999,,baseline,1,0
cafe_as,wtp_glob,,,,,99999,,baseline,1,0
cafe_as,wtp_loc,,,,,99999,,baseline,1,0
cafe_as,wtp_r_glob,,,,,99999,,baseline,1,0
cafe_as,wtp_r_loc,,,,,99999,,baseline,1,0
cafe_as,wtp_e_cost,,,,,99999,,baseline,1,0
cafe_as,WTP_cc,,,,,99999,,baseline,1,0
cafe_as,wtp_install,,,,,99999,,baseline,1,0
cafe_as,wtp_prod,-.3404638970804845,,,,99999,,baseline,1,0
cafe_as,wtp_prod_s,,,,,99999,,baseline,1,0
cafe_as,wtp_prod_u,,,,,99999,,baseline,1,0
cafe_as,wtp_cons,-.0576846506159371,,,,99999,,baseline,1,0
cafe_as,wtp_deal,,,,,99999,,baseline,1,0
cafe_as,admin_cost,,,,,99999,,baseline,1,0
cafe_as,wtp_permits,,,,,99999,,baseline,1,0
cafe_as,wtp_abatement,,,,,99999,,baseline,1,0
cafe_as,permitrev,,,,,99999,,baseline,1,0
cafe_as,wtp_no_leak,,,,,99999,,baseline,1,0
cafe_as,wtp_leak,,,,,99999,,baseline,1,0
cafe_as,wtp_soc_g,1.487376304110596,,,,99999,,baseline,1,0
cafe_as,wtp_soc_l,-.4873763041105955,,,,99999,,baseline,1,0
cafe_as,fisc_ext_t,.4175581083341746,,,,99999,,baseline,1,0
cafe_as,fisc_ext_s,0,,,,99999,,baseline,1,0
cafe_as,fisc_ext_lr,-.0290470901164185,,,,99999,,baseline,1,0
cafe_as,q_CO2,,,,,99999,,baseline,1,0
cafe_as,q_CO2_no,,,,,99999,,baseline,1,0
cafe_as,p_spend,,,,,99999,,baseline,1,0
cafe_as,ev_sub_c,,,,,99999,,baseline,1,0
cafe_as,ev_sub_c_row,,,,,99999,,baseline,1,0
cafe_as,ev_sub_c_us,,,,,99999,,baseline,1,0
cafe_as,ev_sub_env,,,,,99999,,baseline,1,0
cafe_as,ev_sub_cost,,,,,99999,,baseline,1,0
cafe_as,profits_fisc_e,,,,,99999,,baseline,1,0
cafe_as,wtp_soc_l_po,,,,,99999,,baseline,1,0
cafe_as,wtp_soc_l_dr,,,,,99999,,baseline,1,0
cafe_as,gov_carbon,,,,,99999,,baseline,1,0
cafe_as,resource_ce,,,,,99999,,baseline,1,0
cafe_as,q_carbon_mck,,,,,99999,,baseline,1,0
cafe_as,semie,,,,,99999,,baseline,1,0
cafe_as,pass_through,,,,,99999,,baseline,1,0
cafe_as,permitrev_new,,,,,99999,,baseline,1,0
cafe_as,permitrev_ex,,,,,99999,,baseline,1,0
cafe_as,fiscalext,,,,,99999,,baseline,1,0
cafe_as,firm_cost_wtp,,,,,99999,,baseline,1,0
cafe_as,c_savings,,,,,99999,,baseline,1,0
cafe_as,resource_cost,,,,,99999,,baseline,1,0
cafe_as,q_CO2_mck,,,,,99999,,baseline,1,0
cafe_as,q_CO2_mck_no,,,,,99999,,baseline,1,0
cafe_as,wtp_ctr,,,,,99999,,baseline,1,0
cafe_as,gas_corp_fisc_e,,,,,99999,,baseline,1,0
cafe_as,epsilon,,,,,99999,,baseline,1,0
cafe_as,transfer,,,,,99999,,baseline,1,0
cafe_as,enviro_wtp,,,,,99999,,baseline,1,0
cafe_as,cost_curve,,,,,99999,,baseline,1,0
cafe_as,profits,,,,,99999,,baseline,1,0
cafe_as,subsidies,,,,,99999,,baseline,1,0
cafe_as,taxes,,,,,99999,,baseline,1,0
cafe_as,wtp_batt,,,,,99999,,baseline,1,0
cafe_as,wtp_local_w_r,,,,,99999,,baseline,1,0
cafe_as,wind_g_wf,,,,,99999,,baseline,1,0
cafe_as,wind_l_wf,,,,,99999,,baseline,1,0
