program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
cafe_j,MVPF,,,,,,baseline,1,0
cafe_j,MVPF_no_cc,,,,,,baseline,1,0
cafe_j,cost,.140279880397642,,,,,baseline,1,0
cafe_j,WTP,.1531627042633077,,,,,baseline,1,0
cafe_j,program_cost,0,,,,,baseline,1,0
cafe_j,total_cost,,,,,,baseline,1,0
cafe_j,beh_fisc_ext,,,,,,baseline,1,0
cafe_j,utility_fisc_ext,,,,,,baseline,1,0
cafe_j,gas_fisc_ext,,,,,,baseline,1,0
cafe_j,fed_fisc_ext,,,,,,baseline,1,0
cafe_j,state_fisc_ext,,,,,,baseline,1,0
cafe_j,WTP_USPres,,,,,,baseline,1,0
cafe_j,WTP_USFut,,,,,,baseline,1,0
cafe_j,WTP_RoW,,,,,,baseline,1,0
cafe_j,WTP_USTotal,,,,,,baseline,1,0
cafe_j,enviro_mvpf,,,,,,baseline,1,0
cafe_j,cost_mvpf,,,,,,baseline,1,0
cafe_j,firm_mvpf,,,,,,baseline,1,0
cafe_j,cost_wtp,,,,,,baseline,1,0
cafe_j,env_cost_wtp,,,,,,baseline,1,0
cafe_j,marginal,,,,,,baseline,1,0
cafe_j,infmarg,,,,,,baseline,1,0
cafe_j,wtp_private,,,,,,baseline,1,0
cafe_j,wtp_soc,1,,,,,baseline,1,0
cafe_j,wtp_no_ice,,,,,,baseline,1,0
cafe_j,wtp_yes_ev,,,,,,baseline,1,0
cafe_j,wtp_yes_hev,,,,,,baseline,1,0
cafe_j,wtp_soc_rbd,,,,,,baseline,1,0
cafe_j,wtp_yes_ev_local,,,,,,baseline,1,0
cafe_j,wtp_no_ice_local,,,,,,baseline,1,0
cafe_j,env_cost_wtp_l,,,,,,baseline,1,0
cafe_j,wtp_soc_rbd_l,,,,,,baseline,1,0
cafe_j,wtp_yes_ev_g,,,,,,baseline,1,0
cafe_j,wtp_no_ice_g,,,,,,baseline,1,0
cafe_j,env_cost_wtp_g,,,,,,baseline,1,0
cafe_j,wtp_soc_rbd_g,,,,,,baseline,1,0
cafe_j,wtp_marg,,,,,,baseline,1,0
cafe_j,wtp_inf,,,,,,baseline,1,0
cafe_j,wtp_glob,,,,,,baseline,1,0
cafe_j,wtp_loc,,,,,,baseline,1,0
cafe_j,wtp_r_glob,,,,,,baseline,1,0
cafe_j,wtp_r_loc,,,,,,baseline,1,0
cafe_j,wtp_e_cost,,,,,,baseline,1,0
cafe_j,WTP_cc,,,,,,baseline,1,0
cafe_j,wtp_install,,,,,,baseline,1,0
cafe_j,wtp_prod,-.256805386766985,,,,,baseline,1,0
cafe_j,wtp_prod_s,,,,,,baseline,1,0
cafe_j,wtp_prod_u,,,,,,baseline,1,0
cafe_j,wtp_cons,-.5900319089697073,,,,,baseline,1,0
cafe_j,wtp_deal,,,,,,baseline,1,0
cafe_j,admin_cost,,,,,,baseline,1,0
cafe_j,wtp_permits,,,,,,baseline,1,0
cafe_j,wtp_abatement,,,,,,baseline,1,0
cafe_j,permitrev,,,,,,baseline,1,0
cafe_j,wtp_no_leak,,,,,,baseline,1,0
cafe_j,wtp_leak,,,,,,baseline,1,0
cafe_j,wtp_soc_g,.4662005482127727,,,,,baseline,1,0
cafe_j,wtp_soc_l,.5337994517872273,,,,,baseline,1,0
cafe_j,fisc_ext_t,.1492099518986577,,,,,baseline,1,0
cafe_j,fisc_ext_s,0,,,,,baseline,1,0
cafe_j,fisc_ext_lr,-.0089300715010157,,,,,baseline,1,0
cafe_j,q_CO2,,,,,,baseline,1,0
cafe_j,q_CO2_no,,,,,,baseline,1,0
cafe_j,p_spend,,,,,,baseline,1,0
cafe_j,ev_sub_c,,,,,,baseline,1,0
cafe_j,ev_sub_c_row,,,,,,baseline,1,0
cafe_j,ev_sub_c_us,,,,,,baseline,1,0
cafe_j,ev_sub_env,,,,,,baseline,1,0
cafe_j,ev_sub_cost,,,,,,baseline,1,0
cafe_j,profits_fisc_e,,,,,,baseline,1,0
cafe_j,wtp_soc_l_po,,,,,,baseline,1,0
cafe_j,wtp_soc_l_dr,,,,,,baseline,1,0
cafe_j,gov_carbon,,,,,,baseline,1,0
cafe_j,resource_ce,,,,,,baseline,1,0
cafe_j,q_carbon_mck,,,,,,baseline,1,0
cafe_j,semie,,,,,,baseline,1,0
cafe_j,pass_through,,,,,,baseline,1,0
cafe_j,permitrev_new,,,,,,baseline,1,0
cafe_j,permitrev_ex,,,,,,baseline,1,0
cafe_j,fiscalext,,,,,,baseline,1,0
cafe_j,firm_cost_wtp,,,,,,baseline,1,0
cafe_j,c_savings,,,,,,baseline,1,0
cafe_j,resource_cost,,,,,,baseline,1,0
cafe_j,q_CO2_mck,,,,,,baseline,1,0
cafe_j,q_CO2_mck_no,,,,,,baseline,1,0
cafe_j,wtp_ctr,,,,,,baseline,1,0
cafe_j,gas_corp_fisc_e,,,,,,baseline,1,0
cafe_j,epsilon,,,,,,baseline,1,0
cafe_j,transfer,,,,,,baseline,1,0
cafe_j,enviro_wtp,,,,,,baseline,1,0
cafe_j,cost_curve,,,,,,baseline,1,0
cafe_j,profits,,,,,,baseline,1,0
cafe_j,subsidies,,,,,,baseline,1,0
cafe_j,taxes,,,,,,baseline,1,0
cafe_j,wtp_batt,,,,,,baseline,1,0
cafe_j,wtp_local_w_r,,,,,,baseline,1,0
cafe_j,wind_g_wf,,,,,,baseline,1,0
cafe_j,wind_l_wf,,,,,,baseline,1,0
