program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
care,MVPF,.7633114195061246,,,,,baseline,1,0
care,MVPF_no_cc,,,,,,baseline,1,0
care,cost,.2352241131137737,,,,1.1005899,baseline,1,0
care,WTP,.1795492516829438,,,,.84009284,baseline,1,0
care,program_cost,.2137254901960784,,,,,baseline,1,0
care,total_cost,.2352241131137737,,,,,baseline,1,0
care,beh_fisc_ext,,,,,,baseline,1,0
care,utility_fisc_ext,,,,,,baseline,1,0
care,gas_fisc_ext,,,,,,baseline,1,0
care,fed_fisc_ext,,,,,,baseline,1,0
care,state_fisc_ext,,,,,,baseline,1,0
care,WTP_USPres,.2345550016638583,,,,,baseline,1,0
care,WTP_USFut,-.0073377825816034,,,,,baseline,1,0
care,WTP_RoW,-.0476679673993111,,,,,baseline,1,0
care,WTP_USTotal,,,,,,baseline,1,0
care,enviro_mvpf,,,,,,baseline,1,0
care,cost_mvpf,,,,,,baseline,1,0
care,firm_mvpf,,,,,,baseline,1,0
care,cost_wtp,,,,,,baseline,1,0
care,env_cost_wtp,,,,,,baseline,1,0
care,marginal,,,,,,baseline,1,0
care,infmarg,,,,,,baseline,1,0
care,wtp_private,.2345550016638583,,,,,baseline,1,0
care,wtp_soc,-.0560799616462484,,,,,baseline,1,0
care,wtp_no_ice,,,,,,baseline,1,0
care,wtp_yes_ev,,,,,,baseline,1,0
care,wtp_yes_hev,,,,,,baseline,1,0
care,wtp_soc_rbd,,,,,,baseline,1,0
care,wtp_yes_ev_local,,,,,,baseline,1,0
care,wtp_no_ice_local,,,,,,baseline,1,0
care,env_cost_wtp_l,,,,,,baseline,1,0
care,wtp_soc_rbd_l,,,,,,baseline,1,0
care,wtp_yes_ev_g,,,,,,baseline,1,0
care,wtp_no_ice_g,,,,,,baseline,1,0
care,env_cost_wtp_g,,,,,,baseline,1,0
care,wtp_soc_rbd_g,,,,,,baseline,1,0
care,wtp_marg,,,,,,baseline,1,0
care,wtp_inf,,,,,,baseline,1,0
care,wtp_glob,-.0623398499783698,,,,,baseline,1,0
care,wtp_loc,0,,,,,baseline,1,0
care,wtp_r_glob,.0073340999974553,,,,,baseline,1,0
care,wtp_r_loc,,,,,,baseline,1,0
care,wtp_e_cost,,,,,,baseline,1,0
care,WTP_cc,,,,,,baseline,1,0
care,wtp_install,,,,,,baseline,1,0
care,wtp_prod,.0345550016638583,,,,,baseline,1,0
care,wtp_prod_s,,,,,,baseline,1,0
care,wtp_prod_u,,,,,,baseline,1,0
care,wtp_cons,.2,,,,,baseline,1,0
care,wtp_deal,,,,,,baseline,1,0
care,admin_cost,.0137254901960784,,,,,baseline,1,0
care,wtp_permits,,,,,,baseline,1,0
care,wtp_abatement,,,,,,baseline,1,0
care,permitrev,,,,,,baseline,1,0
care,wtp_no_leak,,,,,,baseline,1,0
care,wtp_leak,,,,,,baseline,1,0
care,wtp_soc_g,,,,,,baseline,1,0
care,wtp_soc_l,,,,,,baseline,1,0
care,fisc_ext_t,.0066415656219424,,,,,baseline,1,0
care,fisc_ext_s,.0136396174083745,,,,,baseline,1,0
care,fisc_ext_lr,.0012174398873784,,,,,baseline,1,0
care,q_CO2,.0003311230533848,,,,,baseline,1,0
care,q_CO2_no,.0003311230533848,,,,,baseline,1,0
care,p_spend,.2273651076044529,,,,,baseline,1,0
care,ev_sub_c,,,,,,baseline,1,0
care,ev_sub_c_row,,,,,,baseline,1,0
care,ev_sub_c_us,,,,,,baseline,1,0
care,ev_sub_env,,,,,,baseline,1,0
care,ev_sub_cost,,,,,,baseline,1,0
care,profits_fisc_e,,,,,,baseline,1,0
care,wtp_soc_l_po,,,,,,baseline,1,0
care,wtp_soc_l_dr,,,,,,baseline,1,0
care,gov_carbon,-.0003311230533848,,,,,baseline,1,0
care,resource_ce,-67.05520605517178,,,,,baseline,1,0
care,q_carbon_mck,.0530956537076423,,,,,baseline,1,0
care,semie,-.0772911653141219,,,,,baseline,1,0
care,pass_through,,,,,,baseline,1,0
care,permitrev_new,,,,,,baseline,1,0
care,permitrev_ex,,,,,,baseline,1,0
care,fiscalext,,,,,,baseline,1,0
care,firm_cost_wtp,,,,,,baseline,1,0
care,c_savings,,,,,,baseline,1,0
care,resource_cost,1.194738,,,,,baseline,1,0
care,q_CO2_mck,.0042840996385434,,,,,baseline,1,0
care,q_CO2_mck_no,.004855312923682,,,,,baseline,1,0
care,wtp_ctr,,,,,,baseline,1,0
care,gas_corp_fisc_e,,,,,,baseline,1,0
care,epsilon,,,,,,baseline,1,0
care,transfer,,,,,,baseline,1,0
care,enviro_wtp,,,,,,baseline,1,0
care,cost_curve,,,,,,baseline,1,0
care,profits,,,,,,baseline,1,0
care,subsidies,,,,,,baseline,1,0
care,taxes,,,,,,baseline,1,0
care,wtp_batt,,,,,,baseline,1,0
care,wtp_local_w_r,,,,,,baseline,1,0
care,wind_g_wf,,,,,,baseline,1,0
care,wind_l_wf,,,,,,baseline,1,0
