program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
care,MVPF,.7633114195061246,,,,99999,,baseline,1,0
care,MVPF_no_cc,,,,,99999,,baseline,1,0
care,cost,.2352241131137737,,,,99999,1.1005899,baseline,1,0
care,WTP,.1795492516829438,,,,99999,.84009284,baseline,1,0
care,program_cost,.2137254901960784,,,,99999,,baseline,1,0
care,total_cost,.2352241131137737,,,,99999,,baseline,1,0
care,beh_fisc_ext,,,,,99999,,baseline,1,0
care,utility_fisc_ext,,,,,99999,,baseline,1,0
care,gas_fisc_ext,,,,,99999,,baseline,1,0
care,fed_fisc_ext,,,,,99999,,baseline,1,0
care,state_fisc_ext,,,,,99999,,baseline,1,0
care,WTP_USPres,.2345550016638583,,,,99999,,baseline,1,0
care,WTP_USFut,-.0073377825816034,,,,99999,,baseline,1,0
care,WTP_RoW,-.0476679673993111,,,,99999,,baseline,1,0
care,WTP_USTotal,,,,,99999,,baseline,1,0
care,enviro_mvpf,,,,,99999,,baseline,1,0
care,cost_mvpf,,,,,99999,,baseline,1,0
care,firm_mvpf,,,,,99999,,baseline,1,0
care,cost_wtp,,,,,99999,,baseline,1,0
care,env_cost_wtp,,,,,99999,,baseline,1,0
care,marginal,,,,,99999,,baseline,1,0
care,infmarg,,,,,99999,,baseline,1,0
care,wtp_private,.2345550016638583,,,,99999,,baseline,1,0
care,wtp_soc,-.0560799616462484,,,,99999,,baseline,1,0
care,wtp_no_ice,,,,,99999,,baseline,1,0
care,wtp_yes_ev,,,,,99999,,baseline,1,0
care,wtp_yes_hev,,,,,99999,,baseline,1,0
care,wtp_soc_rbd,,,,,99999,,baseline,1,0
care,wtp_yes_ev_local,,,,,99999,,baseline,1,0
care,wtp_no_ice_local,,,,,99999,,baseline,1,0
care,env_cost_wtp_l,,,,,99999,,baseline,1,0
care,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
care,wtp_yes_ev_g,,,,,99999,,baseline,1,0
care,wtp_no_ice_g,,,,,99999,,baseline,1,0
care,env_cost_wtp_g,,,,,99999,,baseline,1,0
care,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
care,wtp_marg,,,,,99999,,baseline,1,0
care,wtp_inf,,,,,99999,,baseline,1,0
care,wtp_glob,-.0623398499783698,,,,99999,,baseline,1,0
care,wtp_loc,0,,,,99999,,baseline,1,0
care,wtp_r_glob,.0073340999974553,,,,99999,,baseline,1,0
care,wtp_r_loc,,,,,99999,,baseline,1,0
care,wtp_e_cost,,,,,99999,,baseline,1,0
care,WTP_cc,,,,,99999,,baseline,1,0
care,wtp_install,,,,,99999,,baseline,1,0
care,wtp_prod,.0345550016638583,,,,99999,,baseline,1,0
care,wtp_prod_s,,,,,99999,,baseline,1,0
care,wtp_prod_u,,,,,99999,,baseline,1,0
care,wtp_cons,.2,,,,99999,,baseline,1,0
care,wtp_deal,,,,,99999,,baseline,1,0
care,admin_cost,.0137254901960784,,,,99999,,baseline,1,0
care,wtp_permits,,,,,99999,,baseline,1,0
care,wtp_abatement,,,,,99999,,baseline,1,0
care,permitrev,,,,,99999,,baseline,1,0
care,wtp_no_leak,,,,,99999,,baseline,1,0
care,wtp_leak,,,,,99999,,baseline,1,0
care,wtp_soc_g,,,,,99999,,baseline,1,0
care,wtp_soc_l,,,,,99999,,baseline,1,0
care,fisc_ext_t,.0066415656219424,,,,99999,,baseline,1,0
care,fisc_ext_s,.0136396174083745,,,,99999,,baseline,1,0
care,fisc_ext_lr,.0012174398873784,,,,99999,,baseline,1,0
care,q_CO2,.0003311230533848,,,,99999,,baseline,1,0
care,q_CO2_no,.0003311230533848,,,,99999,,baseline,1,0
care,p_spend,.2273651076044529,,,,99999,,baseline,1,0
care,ev_sub_c,,,,,99999,,baseline,1,0
care,ev_sub_c_row,,,,,99999,,baseline,1,0
care,ev_sub_c_us,,,,,99999,,baseline,1,0
care,ev_sub_env,,,,,99999,,baseline,1,0
care,ev_sub_cost,,,,,99999,,baseline,1,0
care,profits_fisc_e,,,,,99999,,baseline,1,0
care,wtp_soc_l_po,,,,,99999,,baseline,1,0
care,wtp_soc_l_dr,,,,,99999,,baseline,1,0
care,gov_carbon,-.0003311230533848,,,,99999,,baseline,1,0
care,resource_ce,-67.05520605517178,,,,99999,,baseline,1,0
care,q_carbon_mck,.0530956537076423,,,,99999,,baseline,1,0
care,semie,-.0772911653141219,,,,99999,,baseline,1,0
care,pass_through,,,,,99999,,baseline,1,0
care,permitrev_new,,,,,99999,,baseline,1,0
care,permitrev_ex,,,,,99999,,baseline,1,0
care,fiscalext,,,,,99999,,baseline,1,0
care,firm_cost_wtp,,,,,99999,,baseline,1,0
care,c_savings,,,,,99999,,baseline,1,0
care,resource_cost,1.194738,,,,99999,,baseline,1,0
care,q_CO2_mck,.0042840996385434,,,,99999,,baseline,1,0
care,q_CO2_mck_no,.004855312923682,,,,99999,,baseline,1,0
care,wtp_ctr,,,,,99999,,baseline,1,0
care,gas_corp_fisc_e,,,,,99999,,baseline,1,0
care,epsilon,,,,,99999,,baseline,1,0
care,transfer,,,,,99999,,baseline,1,0
care,enviro_wtp,,,,,99999,,baseline,1,0
care,cost_curve,,,,,99999,,baseline,1,0
care,profits,,,,,99999,,baseline,1,0
care,subsidies,,,,,99999,,baseline,1,0
care,taxes,,,,,99999,,baseline,1,0
care,wtp_batt,,,,,99999,,baseline,1,0
care,wtp_local_w_r,,,,,99999,,baseline,1,0
care,wind_g_wf,,,,,99999,,baseline,1,0
care,wind_l_wf,,,,,99999,,baseline,1,0
