program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
cog_gas,MVPF,.8436265537156248,,,,,baseline,1,0
cog_gas,MVPF_no_cc,.8436265537156248,,,,,baseline,1,0
cog_gas,cost,.9383264075715363,,,,.93832642,baseline,1,0
cog_gas,WTP,.7915970734799379,,,,.79159707,baseline,1,0
cog_gas,program_cost,1,,,,,baseline,1,0
cog_gas,total_cost,.9383264075715363,,,,,baseline,1,0
cog_gas,beh_fisc_ext,,,,,,baseline,1,0
cog_gas,utility_fisc_ext,,,,,,baseline,1,0
cog_gas,gas_fisc_ext,,,,,,baseline,1,0
cog_gas,fed_fisc_ext,,,,,,baseline,1,0
cog_gas,state_fisc_ext,,,,,,baseline,1,0
cog_gas,WTP_USPres,.9242789518466756,,,,,baseline,1,0
cog_gas,WTP_USFut,-.017699800044753,,,,,baseline,1,0
cog_gas,WTP_RoW,-.1149820783219847,,,,,baseline,1,0
cog_gas,WTP_USTotal,,,,,,baseline,1,0
cog_gas,enviro_mvpf,,,,,,baseline,1,0
cog_gas,cost_mvpf,,,,,,baseline,1,0
cog_gas,firm_mvpf,,,,,,baseline,1,0
cog_gas,cost_wtp,0,,,,,baseline,1,0
cog_gas,env_cost_wtp,0,,,,,baseline,1,0
cog_gas,marginal,,,,,,baseline,1,0
cog_gas,infmarg,,,,,,baseline,1,0
cog_gas,wtp_private,,,,,,baseline,1,0
cog_gas,wtp_soc,-.2875448819980867,,,,,baseline,1,0
cog_gas,wtp_no_ice,,,,,,baseline,1,0
cog_gas,wtp_yes_ev,,,,,,baseline,1,0
cog_gas,wtp_yes_hev,,,,,,baseline,1,0
cog_gas,wtp_soc_rbd,,,,,,baseline,1,0
cog_gas,wtp_yes_ev_local,,,,,,baseline,1,0
cog_gas,wtp_no_ice_local,,,,,,baseline,1,0
cog_gas,env_cost_wtp_l,,,,,,baseline,1,0
cog_gas,wtp_soc_rbd_l,,,,,,baseline,1,0
cog_gas,wtp_yes_ev_g,,,,,,baseline,1,0
cog_gas,wtp_no_ice_g,,,,,,baseline,1,0
cog_gas,env_cost_wtp_g,,,,,,baseline,1,0
cog_gas,wtp_soc_rbd_g,,,,,,baseline,1,0
cog_gas,wtp_marg,,,,,,baseline,1,0
cog_gas,wtp_inf,,,,,,baseline,1,0
cog_gas,wtp_glob,,,,,,baseline,1,0
cog_gas,wtp_loc,,,,,,baseline,1,0
cog_gas,wtp_r_glob,,,,,,baseline,1,0
cog_gas,wtp_r_loc,,,,,,baseline,1,0
cog_gas,wtp_e_cost,,,,,,baseline,1,0
cog_gas,WTP_cc,,,,,,baseline,1,0
cog_gas,wtp_install,,,,,,baseline,1,0
cog_gas,wtp_prod,.0791419554780247,,,,,baseline,1,0
cog_gas,wtp_prod_s,.0791419554780247,,,,,baseline,1,0
cog_gas,wtp_prod_u,0,,,,,baseline,1,0
cog_gas,wtp_cons,1,,,,,baseline,1,0
cog_gas,wtp_deal,,,,,,baseline,1,0
cog_gas,admin_cost,,,,,,baseline,1,0
cog_gas,wtp_permits,,,,,,baseline,1,0
cog_gas,wtp_abatement,,,,,,baseline,1,0
cog_gas,permitrev,,,,,,baseline,1,0
cog_gas,wtp_no_leak,,,,,,baseline,1,0
cog_gas,wtp_leak,,,,,,baseline,1,0
cog_gas,wtp_soc_g,-.1326818783667377,,,,,baseline,1,0
cog_gas,wtp_soc_l,-.154863003631349,,,,,baseline,1,0
cog_gas,fisc_ext_t,-.0642647473817079,,,,,baseline,1,0
cog_gas,fisc_ext_s,0,,,,,baseline,1,0
cog_gas,fisc_ext_lr,.0025911549532443,,,,,baseline,1,0
cog_gas,q_CO2,-.000922908177809,,,,,baseline,1,0
cog_gas,q_CO2_no,.000922908177809,,,,,baseline,1,0
cog_gas,p_spend,.9567729876187797,,,,,baseline,1,0
cog_gas,ev_sub_c,,,,,,baseline,1,0
cog_gas,ev_sub_c_row,,,,,,baseline,1,0
cog_gas,ev_sub_c_us,,,,,,baseline,1,0
cog_gas,ev_sub_env,,,,,,baseline,1,0
cog_gas,ev_sub_cost,,,,,,baseline,1,0
cog_gas,profits_fisc_e,,,,,,baseline,1,0
cog_gas,wtp_soc_l_po,-.0407935911653232,,,,,baseline,1,0
cog_gas,wtp_soc_l_dr,-.1140694124660258,,,,,baseline,1,0
cog_gas,gov_carbon,-.000922908177809,,,,,baseline,1,0
cog_gas,resource_ce,-122.2771708606059,,,,,baseline,1,0
cog_gas,q_carbon_mck,.0083009830039338,,,,,baseline,1,0
cog_gas,semie,-.111180588777449,,,,,baseline,1,0
cog_gas,pass_through,,,,,,baseline,1,0
cog_gas,permitrev_new,,,,,,baseline,1,0
cog_gas,permitrev_ex,,,,,,baseline,1,0
cog_gas,fiscalext,,,,,,baseline,1,0
cog_gas,firm_cost_wtp,,,,,,baseline,1,0
cog_gas,c_savings,,,,,,baseline,1,0
cog_gas,resource_cost,,,,,,baseline,1,0
cog_gas,q_CO2_mck,.0083009830039338,,,,,baseline,1,0
cog_gas,q_CO2_mck_no,.0083009830039338,,,,,baseline,1,0
cog_gas,wtp_ctr,,,,,,baseline,1,0
cog_gas,gas_corp_fisc_e,,,,,,baseline,1,0
cog_gas,epsilon,,,,,,baseline,1,0
cog_gas,transfer,,,,,,baseline,1,0
cog_gas,enviro_wtp,,,,,,baseline,1,0
cog_gas,cost_curve,,,,,,baseline,1,0
cog_gas,profits,,,,,,baseline,1,0
cog_gas,subsidies,,,,,,baseline,1,0
cog_gas,taxes,,,,,,baseline,1,0
cog_gas,wtp_batt,,,,,,baseline,1,0
cog_gas,wtp_local_w_r,,,,,,baseline,1,0
cog_gas,wind_g_wf,,,,,,baseline,1,0
cog_gas,wind_l_wf,,,,,,baseline,1,0
