program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
cog_gas,MVPF,.8436265537156248,,,,99999,,baseline,1,0
cog_gas,MVPF_no_cc,.8436265537156248,,,,99999,,baseline,1,0
cog_gas,cost,.9383264075715363,,,,99999,.93832642,baseline,1,0
cog_gas,WTP,.7915970734799379,,,,99999,.79159707,baseline,1,0
cog_gas,program_cost,1,,,,99999,,baseline,1,0
cog_gas,total_cost,.9383264075715363,,,,99999,,baseline,1,0
cog_gas,beh_fisc_ext,,,,,99999,,baseline,1,0
cog_gas,utility_fisc_ext,,,,,99999,,baseline,1,0
cog_gas,gas_fisc_ext,,,,,99999,,baseline,1,0
cog_gas,fed_fisc_ext,,,,,99999,,baseline,1,0
cog_gas,state_fisc_ext,,,,,99999,,baseline,1,0
cog_gas,WTP_USPres,.9242789518466756,,,,99999,,baseline,1,0
cog_gas,WTP_USFut,-.017699800044753,,,,99999,,baseline,1,0
cog_gas,WTP_RoW,-.1149820783219847,,,,99999,,baseline,1,0
cog_gas,WTP_USTotal,,,,,99999,,baseline,1,0
cog_gas,enviro_mvpf,,,,,99999,,baseline,1,0
cog_gas,cost_mvpf,,,,,99999,,baseline,1,0
cog_gas,firm_mvpf,,,,,99999,,baseline,1,0
cog_gas,cost_wtp,0,,,,99999,,baseline,1,0
cog_gas,env_cost_wtp,0,,,,99999,,baseline,1,0
cog_gas,marginal,,,,,99999,,baseline,1,0
cog_gas,infmarg,,,,,99999,,baseline,1,0
cog_gas,wtp_private,,,,,99999,,baseline,1,0
cog_gas,wtp_soc,-.2875448819980867,,,,99999,,baseline,1,0
cog_gas,wtp_no_ice,,,,,99999,,baseline,1,0
cog_gas,wtp_yes_ev,,,,,99999,,baseline,1,0
cog_gas,wtp_yes_hev,,,,,99999,,baseline,1,0
cog_gas,wtp_soc_rbd,,,,,99999,,baseline,1,0
cog_gas,wtp_yes_ev_local,,,,,99999,,baseline,1,0
cog_gas,wtp_no_ice_local,,,,,99999,,baseline,1,0
cog_gas,env_cost_wtp_l,,,,,99999,,baseline,1,0
cog_gas,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
cog_gas,wtp_yes_ev_g,,,,,99999,,baseline,1,0
cog_gas,wtp_no_ice_g,,,,,99999,,baseline,1,0
cog_gas,env_cost_wtp_g,,,,,99999,,baseline,1,0
cog_gas,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
cog_gas,wtp_marg,,,,,99999,,baseline,1,0
cog_gas,wtp_inf,,,,,99999,,baseline,1,0
cog_gas,wtp_glob,,,,,99999,,baseline,1,0
cog_gas,wtp_loc,,,,,99999,,baseline,1,0
cog_gas,wtp_r_glob,,,,,99999,,baseline,1,0
cog_gas,wtp_r_loc,,,,,99999,,baseline,1,0
cog_gas,wtp_e_cost,,,,,99999,,baseline,1,0
cog_gas,WTP_cc,,,,,99999,,baseline,1,0
cog_gas,wtp_install,,,,,99999,,baseline,1,0
cog_gas,wtp_prod,.0791419554780247,,,,99999,,baseline,1,0
cog_gas,wtp_prod_s,.0791419554780247,,,,99999,,baseline,1,0
cog_gas,wtp_prod_u,0,,,,99999,,baseline,1,0
cog_gas,wtp_cons,1,,,,99999,,baseline,1,0
cog_gas,wtp_deal,,,,,99999,,baseline,1,0
cog_gas,admin_cost,,,,,99999,,baseline,1,0
cog_gas,wtp_permits,,,,,99999,,baseline,1,0
cog_gas,wtp_abatement,,,,,99999,,baseline,1,0
cog_gas,permitrev,,,,,99999,,baseline,1,0
cog_gas,wtp_no_leak,,,,,99999,,baseline,1,0
cog_gas,wtp_leak,,,,,99999,,baseline,1,0
cog_gas,wtp_soc_g,-.1326818783667377,,,,99999,,baseline,1,0
cog_gas,wtp_soc_l,-.154863003631349,,,,99999,,baseline,1,0
cog_gas,fisc_ext_t,-.0642647473817079,,,,99999,,baseline,1,0
cog_gas,fisc_ext_s,0,,,,99999,,baseline,1,0
cog_gas,fisc_ext_lr,.0025911549532443,,,,99999,,baseline,1,0
cog_gas,q_CO2,-.000922908177809,,,,99999,,baseline,1,0
cog_gas,q_CO2_no,.000922908177809,,,,99999,,baseline,1,0
cog_gas,p_spend,.9567729876187797,,,,99999,,baseline,1,0
cog_gas,ev_sub_c,,,,,99999,,baseline,1,0
cog_gas,ev_sub_c_row,,,,,99999,,baseline,1,0
cog_gas,ev_sub_c_us,,,,,99999,,baseline,1,0
cog_gas,ev_sub_env,,,,,99999,,baseline,1,0
cog_gas,ev_sub_cost,,,,,99999,,baseline,1,0
cog_gas,profits_fisc_e,,,,,99999,,baseline,1,0
cog_gas,wtp_soc_l_po,-.0407935911653232,,,,99999,,baseline,1,0
cog_gas,wtp_soc_l_dr,-.1140694124660258,,,,99999,,baseline,1,0
cog_gas,gov_carbon,-.000922908177809,,,,99999,,baseline,1,0
cog_gas,resource_ce,-122.2771708606059,,,,99999,,baseline,1,0
cog_gas,q_carbon_mck,.0083009830039338,,,,99999,,baseline,1,0
cog_gas,semie,-.111180588777449,,,,99999,,baseline,1,0
cog_gas,pass_through,,,,,99999,,baseline,1,0
cog_gas,permitrev_new,,,,,99999,,baseline,1,0
cog_gas,permitrev_ex,,,,,99999,,baseline,1,0
cog_gas,fiscalext,,,,,99999,,baseline,1,0
cog_gas,firm_cost_wtp,,,,,99999,,baseline,1,0
cog_gas,c_savings,,,,,99999,,baseline,1,0
cog_gas,resource_cost,,,,,99999,,baseline,1,0
cog_gas,q_CO2_mck,.0083009830039338,,,,99999,,baseline,1,0
cog_gas,q_CO2_mck_no,.0083009830039338,,,,99999,,baseline,1,0
cog_gas,wtp_ctr,,,,,99999,,baseline,1,0
cog_gas,gas_corp_fisc_e,,,,,99999,,baseline,1,0
cog_gas,epsilon,,,,,99999,,baseline,1,0
cog_gas,transfer,,,,,99999,,baseline,1,0
cog_gas,enviro_wtp,,,,,99999,,baseline,1,0
cog_gas,cost_curve,,,,,99999,,baseline,1,0
cog_gas,profits,,,,,99999,,baseline,1,0
cog_gas,subsidies,,,,,99999,,baseline,1,0
cog_gas,taxes,,,,,99999,,baseline,1,0
cog_gas,wtp_batt,,,,,99999,,baseline,1,0
cog_gas,wtp_local_w_r,,,,,99999,,baseline,1,0
cog_gas,wind_g_wf,,,,,99999,,baseline,1,0
cog_gas,wind_l_wf,,,,,99999,,baseline,1,0
