program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
ct_solar,MVPF,.6457377662680139,,,,,baseline,1,0
ct_solar,MVPF_no_cc,,,,,,baseline,1,0
ct_solar,cost,17102.16096174542,,,,2.3919106,baseline,1,0
ct_solar,WTP,7180.190149169609,,,,1.0042224,baseline,1,0
ct_solar,program_cost,7150,,,,,baseline,1,0
ct_solar,total_cost,,,,,,baseline,1,0
ct_solar,beh_fisc_ext,,,,,,baseline,1,0
ct_solar,utility_fisc_ext,,,,,,baseline,1,0
ct_solar,gas_fisc_ext,,,,,,baseline,1,0
ct_solar,fed_fisc_ext,,,,,,baseline,1,0
ct_solar,state_fisc_ext,,,,,,baseline,1,0
ct_solar,WTP_USPres,5223.617517065416,,,,,baseline,1,0
ct_solar,WTP_USFut,821.5647058286154,,,,,baseline,1,0
ct_solar,WTP_RoW,4998.328994899485,,,,,baseline,1,0
ct_solar,WTP_USTotal,,,,,,baseline,1,0
ct_solar,enviro_mvpf,.1595847870974615,,,,,baseline,1,0
ct_solar,cost_mvpf,.380739837884903,,,,,baseline,1,0
ct_solar,firm_mvpf,0,,,,,baseline,1,0
ct_solar,cost_wtp,2722.289840877057,,,,,baseline,1,0
ct_solar,env_cost_wtp,1141.03122774685,,,,,baseline,1,0
ct_solar,marginal,,,,,,baseline,1,0
ct_solar,infmarg,,,,,,baseline,1,0
ct_solar,wtp_private,4855.675789065321,,,,,baseline,1,0
ct_solar,wtp_soc,2365.09027003553,,,,,baseline,1,0
ct_solar,wtp_no_ice,,,,,,baseline,1,0
ct_solar,wtp_yes_ev,,,,,,baseline,1,0
ct_solar,wtp_yes_hev,,,,,,baseline,1,0
ct_solar,wtp_soc_rbd,,,,,,baseline,1,0
ct_solar,wtp_yes_ev_local,,,,,,baseline,1,0
ct_solar,wtp_no_ice_local,,,,,,baseline,1,0
ct_solar,env_cost_wtp_l,121.1448503551699,,,,,baseline,1,0
ct_solar,wtp_soc_rbd_l,,,,,,baseline,1,0
ct_solar,wtp_yes_ev_g,,,,,,baseline,1,0
ct_solar,wtp_no_ice_g,,,,,,baseline,1,0
ct_solar,env_cost_wtp_g,1019.88637739168,,,,,baseline,1,0
ct_solar,wtp_soc_rbd_g,,,,,,baseline,1,0
ct_solar,wtp_marg,,,,,,baseline,1,0
ct_solar,wtp_inf,,,,,,baseline,1,0
ct_solar,wtp_glob,2988.039987771182,,,,,baseline,1,0
ct_solar,wtp_loc,306.9101492522526,,,,,baseline,1,0
ct_solar,wtp_r_glob,-585.255521187778,,,,,baseline,1,0
ct_solar,wtp_r_loc,-60.11327160732787,,,,,baseline,1,0
ct_solar,wtp_e_cost,-325.0669841240411,,,,,baseline,1,0
ct_solar,WTP_cc,11043.51121779352,,,,,baseline,1,0
ct_solar,wtp_install,1351.350000000001,,,,,baseline,1,0
ct_solar,wtp_prod,-2294.324210934681,,,,,baseline,1,0
ct_solar,wtp_prod_s,,,,,,baseline,1,0
ct_solar,wtp_prod_u,,,,,,baseline,1,0
ct_solar,wtp_cons,5798.650000000001,,,,,baseline,1,0
ct_solar,wtp_deal,,,,,,baseline,1,0
ct_solar,admin_cost,,,,,,baseline,1,0
ct_solar,wtp_permits,,,,,,baseline,1,0
ct_solar,wtp_abatement,,,,,,baseline,1,0
ct_solar,permitrev,,,,,,baseline,1,0
ct_solar,wtp_no_leak,,,,,,baseline,1,0
ct_solar,wtp_leak,,,,,,baseline,1,0
ct_solar,wtp_soc_g,,,,,,baseline,1,0
ct_solar,wtp_soc_l,,,,,,baseline,1,0
ct_solar,fisc_ext_t,1246.299571371927,,,,,baseline,1,0
ct_solar,fisc_ext_s,8766.354742468317,,,,,baseline,1,0
ct_solar,fisc_ext_lr,-60.49335209482307,,,,,baseline,1,0
ct_solar,q_CO2,14.04919304675569,,,,,baseline,1,0
ct_solar,q_CO2_no,,,,,,baseline,1,0
ct_solar,p_spend,15916.35474246832,,,,,baseline,1,0
ct_solar,ev_sub_c,,,,,,baseline,1,0
ct_solar,ev_sub_c_row,,,,,,baseline,1,0
ct_solar,ev_sub_c_us,,,,,,baseline,1,0
ct_solar,ev_sub_env,,,,,,baseline,1,0
ct_solar,ev_sub_cost,,,,,,baseline,1,0
ct_solar,profits_fisc_e,,,,,,baseline,1,0
ct_solar,wtp_soc_l_po,,,,,,baseline,1,0
ct_solar,wtp_soc_l_dr,,,,,,baseline,1,0
ct_solar,gov_carbon,.0001347305228745,,,,,baseline,1,0
ct_solar,resource_ce,79.84043928967171,,,,,baseline,1,0
ct_solar,q_carbon_mck,.0005852027459077,,,,,baseline,1,0
ct_solar,semie,-.3590060330660549,,,,,baseline,1,0
ct_solar,pass_through,.8109999999999999,,,,,baseline,1,0
ct_solar,permitrev_new,,,,,,baseline,1,0
ct_solar,permitrev_ex,,,,,,baseline,1,0
ct_solar,fiscalext,,,,,,baseline,1,0
ct_solar,firm_cost_wtp,0,,,,,baseline,1,0
ct_solar,c_savings,0,,,,,baseline,1,0
ct_solar,resource_cost,18103.8385573831,,,,,baseline,1,0
ct_solar,q_CO2_mck,.0005852027459077,,,,,baseline,1,0
ct_solar,q_CO2_mck_no,,,,,,baseline,1,0
ct_solar,wtp_ctr,,,,,,baseline,1,0
ct_solar,gas_corp_fisc_e,,,,,,baseline,1,0
ct_solar,epsilon,,,,,,baseline,1,0
ct_solar,transfer,,,,,,baseline,1,0
ct_solar,enviro_wtp,,,,,,baseline,1,0
ct_solar,cost_curve,,,,,,baseline,1,0
ct_solar,profits,,,,,,baseline,1,0
ct_solar,subsidies,,,,,,baseline,1,0
ct_solar,taxes,,,,,,baseline,1,0
ct_solar,wtp_batt,,,,,,baseline,1,0
ct_solar,wtp_local_w_r,,,,,,baseline,1,0
ct_solar,wind_g_wf,,,,,,baseline,1,0
ct_solar,wind_l_wf,,,,,,baseline,1,0
