program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
cw_datta,MVPF,2.125501417633399,,,,,baseline,1,0
cw_datta,MVPF_no_cc,,,,,,baseline,1,0
cw_datta,cost,1.325013632019407,,,,1.3250136,baseline,1,0
cw_datta,WTP,2.816318353240829,,,,2.8163183,baseline,1,0
cw_datta,program_cost,1,,,,,baseline,1,0
cw_datta,total_cost,1.325013632019407,,,,,baseline,1,0
cw_datta,beh_fisc_ext,,,,,,baseline,1,0
cw_datta,utility_fisc_ext,,,,,,baseline,1,0
cw_datta,gas_fisc_ext,,,,,,baseline,1,0
cw_datta,fed_fisc_ext,,,,,,baseline,1,0
cw_datta,state_fisc_ext,,,,,,baseline,1,0
cw_datta,WTP_USPres,1.643847934519818,,,,,baseline,1,0
cw_datta,WTP_USFut,.156407884974232,,,,,baseline,1,0
cw_datta,WTP_RoW,1.016062533746778,,,,,baseline,1,0
cw_datta,WTP_USTotal,,,,,,baseline,1,0
cw_datta,enviro_mvpf,,,,,,baseline,1,0
cw_datta,cost_mvpf,,,,,,baseline,1,0
cw_datta,firm_mvpf,,,,,,baseline,1,0
cw_datta,cost_wtp,,,,,,baseline,1,0
cw_datta,env_cost_wtp,,,,,,baseline,1,0
cw_datta,marginal,,,,,,baseline,1,0
cw_datta,infmarg,,,,,,baseline,1,0
cw_datta,wtp_private,,,,,,baseline,1,0
cw_datta,wtp_soc,1.947065262474015,,,,,baseline,1,0
cw_datta,wtp_no_ice,,,,,,baseline,1,0
cw_datta,wtp_yes_ev,,,,,,baseline,1,0
cw_datta,wtp_yes_hev,,,,,,baseline,1,0
cw_datta,wtp_soc_rbd,,,,,,baseline,1,0
cw_datta,wtp_yes_ev_local,,,,,,baseline,1,0
cw_datta,wtp_no_ice_local,,,,,,baseline,1,0
cw_datta,env_cost_wtp_l,,,,,,baseline,1,0
cw_datta,wtp_soc_rbd_l,,,,,,baseline,1,0
cw_datta,wtp_yes_ev_g,,,,,,baseline,1,0
cw_datta,wtp_no_ice_g,,,,,,baseline,1,0
cw_datta,env_cost_wtp_g,,,,,,baseline,1,0
cw_datta,wtp_soc_rbd_g,,,,,,baseline,1,0
cw_datta,wtp_marg,,,,,,baseline,1,0
cw_datta,wtp_inf,,,,,,baseline,1,0
cw_datta,wtp_glob,1.458053580893496,,,,,baseline,1,0
cw_datta,wtp_loc,.9347914663919896,,,,,baseline,1,0
cw_datta,wtp_r_glob,-.2855831621724854,,,,,baseline,1,0
cw_datta,wtp_r_loc,-.1830938906788908,,,,,baseline,1,0
cw_datta,wtp_e_cost,,,,,,baseline,1,0
cw_datta,WTP_cc,,,,,,baseline,1,0
cw_datta,wtp_install,,,,,,baseline,1,0
cw_datta,wtp_prod,-.1078496411932806,,,,,baseline,1,0
cw_datta,wtp_prod_s,,,,,,baseline,1,0
cw_datta,wtp_prod_u,,,,,,baseline,1,0
cw_datta,wtp_cons,1,,,,,baseline,1,0
cw_datta,wtp_deal,,,,,,baseline,1,0
cw_datta,admin_cost,,,,,,baseline,1,0
cw_datta,wtp_permits,,,,,,baseline,1,0
cw_datta,wtp_abatement,,,,,,baseline,1,0
cw_datta,permitrev,,,,,,baseline,1,0
cw_datta,wtp_no_leak,,,,,,baseline,1,0
cw_datta,wtp_leak,,,,,,baseline,1,0
cw_datta,wtp_soc_g,,,,,,baseline,1,0
cw_datta,wtp_soc_l,,,,,,baseline,1,0
cw_datta,fisc_ext_t,.0585849902778313,,,,,baseline,1,0
cw_datta,fisc_ext_s,.289325909781481,,,,,baseline,1,0
cw_datta,fisc_ext_lr,-.0228972680399053,,,,,baseline,1,0
cw_datta,q_CO2,.0095447866919314,,,,,baseline,1,0
cw_datta,q_CO2_no,,,,,,baseline,1,0
cw_datta,p_spend,1.289325909781481,,,,,baseline,1,0
cw_datta,ev_sub_c,,,,,,baseline,1,0
cw_datta,ev_sub_c_row,,,,,,baseline,1,0
cw_datta,ev_sub_c_us,,,,,,baseline,1,0
cw_datta,ev_sub_env,,,,,,baseline,1,0
cw_datta,ev_sub_cost,,,,,,baseline,1,0
cw_datta,profits_fisc_e,,,,,,baseline,1,0
cw_datta,wtp_soc_l_po,,,,,,baseline,1,0
cw_datta,wtp_soc_l_dr,,,,,,baseline,1,0
cw_datta,gov_carbon,.0118696473640813,,,,,baseline,1,0
cw_datta,resource_ce,53.50234347524216,,,,,baseline,1,0
cw_datta,q_carbon_mck,3.004974016223113,,,,,baseline,1,0
cw_datta,semie,.00395,,,,,baseline,1,0
cw_datta,pass_through,,,,,,baseline,1,0
cw_datta,permitrev_new,,,,,,baseline,1,0
cw_datta,permitrev_ex,,,,,,baseline,1,0
cw_datta,fiscalext,,,,,,baseline,1,0
cw_datta,firm_cost_wtp,,,,,,baseline,1,0
cw_datta,c_savings,0,,,,,baseline,1,0
cw_datta,resource_cost,,,,,,baseline,1,0
cw_datta,q_CO2_mck,,,,,,baseline,1,0
cw_datta,q_CO2_mck_no,,,,,,baseline,1,0
cw_datta,wtp_ctr,,,,,,baseline,1,0
cw_datta,gas_corp_fisc_e,,,,,,baseline,1,0
cw_datta,epsilon,,,,,,baseline,1,0
cw_datta,transfer,,,,,,baseline,1,0
cw_datta,enviro_wtp,,,,,,baseline,1,0
cw_datta,cost_curve,,,,,,baseline,1,0
cw_datta,profits,,,,,,baseline,1,0
cw_datta,subsidies,,,,,,baseline,1,0
