program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
dahl_diesel,MVPF,.8723090094202887,,,,,baseline,1,0
dahl_diesel,MVPF_no_cc,,,,,,baseline,1,0
dahl_diesel,cost,.9844817300213163,,,,.98448175,baseline,1,0
dahl_diesel,WTP,.8587722827072665,,,,.85877228,baseline,1,0
dahl_diesel,program_cost,1,,,,,baseline,1,0
dahl_diesel,total_cost,,,,,,baseline,1,0
dahl_diesel,beh_fisc_ext,,,,,,baseline,1,0
dahl_diesel,utility_fisc_ext,,,,,,baseline,1,0
dahl_diesel,gas_fisc_ext,,,,,,baseline,1,0
dahl_diesel,fed_fisc_ext,,,,,,baseline,1,0
dahl_diesel,state_fisc_ext,,,,,,baseline,1,0
dahl_diesel,WTP_USPres,.8907194310520459,,,,,baseline,1,0
dahl_diesel,WTP_USFut,-.0042617586113735,,,,,baseline,1,0
dahl_diesel,WTP_RoW,-.0276853897334059,,,,,baseline,1,0
dahl_diesel,WTP_USTotal,,,,,,baseline,1,0
dahl_diesel,enviro_mvpf,,,,,,baseline,1,0
dahl_diesel,cost_mvpf,,,,,,baseline,1,0
dahl_diesel,firm_mvpf,,,,,,baseline,1,0
dahl_diesel,cost_wtp,,,,,,baseline,1,0
dahl_diesel,env_cost_wtp,,,,,,baseline,1,0
dahl_diesel,marginal,,,,,,baseline,1,0
dahl_diesel,infmarg,,,,,,baseline,1,0
dahl_diesel,wtp_private,,,,,,baseline,1,0
dahl_diesel,wtp_soc,-.1566818807278351,,,,,baseline,1,0
dahl_diesel,wtp_no_ice,,,,,,baseline,1,0
dahl_diesel,wtp_yes_ev,,,,,,baseline,1,0
dahl_diesel,wtp_yes_hev,,,,,,baseline,1,0
dahl_diesel,wtp_soc_rbd,0,,,,,baseline,1,0
dahl_diesel,wtp_yes_ev_local,,,,,,baseline,1,0
dahl_diesel,wtp_no_ice_local,,,,,,baseline,1,0
dahl_diesel,env_cost_wtp_l,,,,,,baseline,1,0
dahl_diesel,wtp_soc_rbd_l,,,,,,baseline,1,0
dahl_diesel,wtp_yes_ev_g,,,,,,baseline,1,0
dahl_diesel,wtp_no_ice_g,,,,,,baseline,1,0
dahl_diesel,env_cost_wtp_g,,,,,,baseline,1,0
dahl_diesel,wtp_soc_rbd_g,,,,,,baseline,1,0
dahl_diesel,wtp_marg,,,,,,baseline,1,0
dahl_diesel,wtp_inf,,,,,,baseline,1,0
dahl_diesel,wtp_glob,-.0319471483447794,,,,,baseline,1,0
dahl_diesel,wtp_loc,-.1247347323830557,,,,,baseline,1,0
dahl_diesel,wtp_r_glob,0,,,,,baseline,1,0
dahl_diesel,wtp_r_loc,0,,,,,baseline,1,0
dahl_diesel,wtp_e_cost,,,,,,baseline,1,0
dahl_diesel,WTP_cc,,,,,,baseline,1,0
dahl_diesel,wtp_install,,,,,,baseline,1,0
dahl_diesel,wtp_prod,,,,,,baseline,1,0
dahl_diesel,wtp_prod_s,.0154541634351015,,,,,baseline,1,0
dahl_diesel,wtp_prod_u,0,,,,,baseline,1,0
dahl_diesel,wtp_cons,1,,,,,baseline,1,0
dahl_diesel,wtp_deal,,,,,,baseline,1,0
dahl_diesel,admin_cost,,,,,,baseline,1,0
dahl_diesel,wtp_permits,,,,,,baseline,1,0
dahl_diesel,wtp_abatement,,,,,,baseline,1,0
dahl_diesel,permitrev,,,,,,baseline,1,0
dahl_diesel,wtp_no_leak,,,,,,baseline,1,0
dahl_diesel,wtp_leak,,,,,,baseline,1,0
dahl_diesel,wtp_soc_g,,,,,,baseline,1,0
dahl_diesel,wtp_soc_l,,,,,,baseline,1,0
dahl_diesel,fisc_ext_t,-.0161421683780877,,,,,baseline,1,0
dahl_diesel,fisc_ext_s,-1.00000000000e-12,,,,,baseline,1,0
dahl_diesel,fisc_ext_lr,.000623898400404,,,,,baseline,1,0
dahl_diesel,q_CO2,.0002343648695179,,,,,baseline,1,0
dahl_diesel,q_CO2_no,.0002343648695179,,,,,baseline,1,0
dahl_diesel,p_spend,.9879659003831418,,,,,baseline,1,0
dahl_diesel,ev_sub_c,,,,,,baseline,1,0
dahl_diesel,ev_sub_c_row,,,,,,baseline,1,0
dahl_diesel,ev_sub_c_us,,,,,,baseline,1,0
dahl_diesel,ev_sub_env,,,,,,baseline,1,0
dahl_diesel,ev_sub_cost,,,,,,baseline,1,0
dahl_diesel,profits_fisc_e,,,,,,baseline,1,0
dahl_diesel,wtp_soc_l_po,,,,,,baseline,1,0
dahl_diesel,wtp_soc_l_dr,,,,,,baseline,1,0
dahl_diesel,gov_carbon,-.0002343648695179,,,,,baseline,1,0
dahl_diesel,resource_ce,-139.9683675044097,,,,,baseline,1,0
dahl_diesel,q_carbon_mck,.0087384615634548,,,,,baseline,1,0
dahl_diesel,semie,-.0268199233716475,,,,,baseline,1,0
dahl_diesel,pass_through,,,,,,baseline,1,0
dahl_diesel,permitrev_new,,,,,,baseline,1,0
dahl_diesel,permitrev_ex,,,,,,baseline,1,0
dahl_diesel,fiscalext,,,,,,baseline,1,0
dahl_diesel,firm_cost_wtp,,,,,,baseline,1,0
dahl_diesel,c_savings,,,,,,baseline,1,0
dahl_diesel,resource_cost,2.61,,,,,baseline,1,0
dahl_diesel,q_CO2_mck,.0087384615634548,,,,,baseline,1,0
