program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
dahl_diesel,MVPF,.8723090094202887,,,,99999,,baseline,1,0
dahl_diesel,MVPF_no_cc,,,,,99999,,baseline,1,0
dahl_diesel,cost,.9844817300213163,,,,99999,.98448175,baseline,1,0
dahl_diesel,WTP,.8587722827072665,,,,99999,.85877228,baseline,1,0
dahl_diesel,program_cost,1,,,,99999,,baseline,1,0
dahl_diesel,total_cost,,,,,99999,,baseline,1,0
dahl_diesel,beh_fisc_ext,,,,,99999,,baseline,1,0
dahl_diesel,utility_fisc_ext,,,,,99999,,baseline,1,0
dahl_diesel,gas_fisc_ext,,,,,99999,,baseline,1,0
dahl_diesel,fed_fisc_ext,,,,,99999,,baseline,1,0
dahl_diesel,state_fisc_ext,,,,,99999,,baseline,1,0
dahl_diesel,WTP_USPres,.8907194310520459,,,,99999,,baseline,1,0
dahl_diesel,WTP_USFut,-.0042617586113735,,,,99999,,baseline,1,0
dahl_diesel,WTP_RoW,-.0276853897334059,,,,99999,,baseline,1,0
dahl_diesel,WTP_USTotal,,,,,99999,,baseline,1,0
dahl_diesel,enviro_mvpf,,,,,99999,,baseline,1,0
dahl_diesel,cost_mvpf,,,,,99999,,baseline,1,0
dahl_diesel,firm_mvpf,,,,,99999,,baseline,1,0
dahl_diesel,cost_wtp,,,,,99999,,baseline,1,0
dahl_diesel,env_cost_wtp,,,,,99999,,baseline,1,0
dahl_diesel,marginal,,,,,99999,,baseline,1,0
dahl_diesel,infmarg,,,,,99999,,baseline,1,0
dahl_diesel,wtp_private,,,,,99999,,baseline,1,0
dahl_diesel,wtp_soc,-.1566818807278351,,,,99999,,baseline,1,0
dahl_diesel,wtp_no_ice,,,,,99999,,baseline,1,0
dahl_diesel,wtp_yes_ev,,,,,99999,,baseline,1,0
dahl_diesel,wtp_yes_hev,,,,,99999,,baseline,1,0
dahl_diesel,wtp_soc_rbd,0,,,,99999,,baseline,1,0
dahl_diesel,wtp_yes_ev_local,,,,,99999,,baseline,1,0
dahl_diesel,wtp_no_ice_local,,,,,99999,,baseline,1,0
dahl_diesel,env_cost_wtp_l,,,,,99999,,baseline,1,0
dahl_diesel,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
dahl_diesel,wtp_yes_ev_g,,,,,99999,,baseline,1,0
dahl_diesel,wtp_no_ice_g,,,,,99999,,baseline,1,0
dahl_diesel,env_cost_wtp_g,,,,,99999,,baseline,1,0
dahl_diesel,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
dahl_diesel,wtp_marg,,,,,99999,,baseline,1,0
