program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
dk_gas,MVPF,.8012676607705087,,,,99999,,baseline,1,0
dk_gas,MVPF_no_cc,.8012676607705087,,,,99999,,baseline,1,0
dk_gas,cost,.9229080094644204,,,,99999,.92290801,baseline,1,0
dk_gas,WTP,.7394963418499226,,,,99999,.73949635,baseline,1,0
dk_gas,program_cost,1,,,,99999,,baseline,1,0
dk_gas,total_cost,.9229080094644204,,,,99999,,baseline,1,0
dk_gas,beh_fisc_ext,,,,,99999,,baseline,1,0
dk_gas,utility_fisc_ext,,,,,99999,,baseline,1,0
dk_gas,gas_fisc_ext,,,,,99999,,baseline,1,0
dk_gas,fed_fisc_ext,,,,,99999,,baseline,1,0
dk_gas,state_fisc_ext,,,,,99999,,baseline,1,0
dk_gas,WTP_USPres,.9053486898083448,,,,99999,,baseline,1,0
dk_gas,WTP_USFut,-.0221247500559413,,,,99999,,baseline,1,0
dk_gas,WTP_RoW,-.1437275979024809,,,,99999,,baseline,1,0
dk_gas,WTP_USTotal,,,,,99999,,baseline,1,0
dk_gas,enviro_mvpf,,,,,99999,,baseline,1,0
dk_gas,cost_mvpf,,,,,99999,,baseline,1,0
dk_gas,firm_mvpf,,,,,99999,,baseline,1,0
dk_gas,cost_wtp,0,,,,99999,,baseline,1,0
dk_gas,env_cost_wtp,0,,,,99999,,baseline,1,0
dk_gas,marginal,,,,,99999,,baseline,1,0
dk_gas,infmarg,,,,,99999,,baseline,1,0
dk_gas,wtp_private,,,,,99999,,baseline,1,0
dk_gas,wtp_soc,-.3594311024976083,,,,99999,,baseline,1,0
dk_gas,wtp_no_ice,,,,,99999,,baseline,1,0
dk_gas,wtp_yes_ev,,,,,99999,,baseline,1,0
dk_gas,wtp_yes_hev,,,,,99999,,baseline,1,0
dk_gas,wtp_soc_rbd,,,,,99999,,baseline,1,0
dk_gas,wtp_yes_ev_local,,,,,99999,,baseline,1,0
dk_gas,wtp_no_ice_local,,,,,99999,,baseline,1,0
dk_gas,env_cost_wtp_l,,,,,99999,,baseline,1,0
dk_gas,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
dk_gas,wtp_yes_ev_g,,,,,99999,,baseline,1,0
dk_gas,wtp_no_ice_g,,,,,99999,,baseline,1,0
dk_gas,env_cost_wtp_g,,,,,99999,,baseline,1,0
dk_gas,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
dk_gas,wtp_marg,,,,,99999,,baseline,1,0
dk_gas,wtp_inf,,,,,99999,,baseline,1,0
dk_gas,wtp_glob,,,,,99999,,baseline,1,0
dk_gas,wtp_loc,,,,,99999,,baseline,1,0
dk_gas,wtp_r_glob,,,,,99999,,baseline,1,0
dk_gas,wtp_r_loc,,,,,99999,,baseline,1,0
dk_gas,wtp_e_cost,,,,,99999,,baseline,1,0
dk_gas,WTP_cc,,,,,99999,,baseline,1,0
dk_gas,wtp_install,,,,,99999,,baseline,1,0
dk_gas,wtp_prod,.0989274443475309,,,,99999,,baseline,1,0
dk_gas,wtp_prod_s,.0989274443475309,,,,99999,,baseline,1,0
dk_gas,wtp_prod_u,0,,,,99999,,baseline,1,0
dk_gas,wtp_cons,1,,,,99999,,baseline,1,0
dk_gas,wtp_deal,,,,,99999,,baseline,1,0
dk_gas,admin_cost,,,,,99999,,baseline,1,0
dk_gas,wtp_permits,,,,,99999,,baseline,1,0
dk_gas,wtp_abatement,,,,,99999,,baseline,1,0
dk_gas,permitrev,,,,,99999,,baseline,1,0
dk_gas,wtp_no_leak,,,,,99999,,baseline,1,0
dk_gas,wtp_leak,,,,,99999,,baseline,1,0
dk_gas,wtp_soc_g,-.1658523479584222,,,,99999,,baseline,1,0
dk_gas,wtp_soc_l,-.1935787545391862,,,,99999,,baseline,1,0
dk_gas,fisc_ext_t,-.0803309342271349,,,,99999,,baseline,1,0
dk_gas,fisc_ext_s,0,,,,99999,,baseline,1,0
dk_gas,fisc_ext_lr,.0032389436915553,,,,99999,,baseline,1,0
dk_gas,q_CO2,-.0011536352222612,,,,99999,,baseline,1,0
dk_gas,q_CO2_no,.0011536352222612,,,,99999,,baseline,1,0
dk_gas,p_spend,.9459662345234746,,,,99999,,baseline,1,0
dk_gas,ev_sub_c,,,,,99999,,baseline,1,0
dk_gas,ev_sub_c_row,,,,,99999,,baseline,1,0
dk_gas,ev_sub_c_us,,,,,99999,,baseline,1,0
dk_gas,ev_sub_env,,,,,99999,,baseline,1,0
dk_gas,ev_sub_cost,,,,,99999,,baseline,1,0
dk_gas,profits_fisc_e,,,,,99999,,baseline,1,0
dk_gas,wtp_soc_l_po,-.050991988956654,,,,99999,,baseline,1,0
dk_gas,wtp_soc_l_dr,-.1425867655825323,,,,99999,,baseline,1,0
dk_gas,gov_carbon,-.0011536352222612,,,,99999,,baseline,1,0
dk_gas,resource_ce,-122.2771708606059,,,,99999,,baseline,1,0
dk_gas,q_carbon_mck,.0083009830039338,,,,99999,,baseline,1,0
dk_gas,semie,-.1389757359718113,,,,99999,,baseline,1,0
dk_gas,pass_through,,,,,99999,,baseline,1,0
dk_gas,permitrev_new,,,,,99999,,baseline,1,0
dk_gas,permitrev_ex,,,,,99999,,baseline,1,0
dk_gas,fiscalext,,,,,99999,,baseline,1,0
dk_gas,firm_cost_wtp,,,,,99999,,baseline,1,0
dk_gas,c_savings,,,,,99999,,baseline,1,0
dk_gas,resource_cost,,,,,99999,,baseline,1,0
dk_gas,q_CO2_mck,.0083009830039338,,,,99999,,baseline,1,0
dk_gas,q_CO2_mck_no,.0083009830039338,,,,99999,,baseline,1,0
dk_gas,wtp_ctr,,,,,99999,,baseline,1,0
dk_gas,gas_corp_fisc_e,,,,,99999,,baseline,1,0
dk_gas,epsilon,,,,,99999,,baseline,1,0
dk_gas,transfer,,,,,99999,,baseline,1,0
dk_gas,enviro_wtp,,,,,99999,,baseline,1,0
dk_gas,cost_curve,,,,,99999,,baseline,1,0
dk_gas,profits,,,,,99999,,baseline,1,0
dk_gas,subsidies,,,,,99999,,baseline,1,0
dk_gas,taxes,,,,,99999,,baseline,1,0
dk_gas,wtp_batt,,,,,99999,,baseline,1,0
dk_gas,wtp_local_w_r,,,,,99999,,baseline,1,0
dk_gas,wind_g_wf,,,,,99999,,baseline,1,0
dk_gas,wind_l_wf,,,,,99999,,baseline,1,0
