program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
dorsey_itc,MVPF,10.96824225551198,,,,,baseline,1,0
dorsey_itc,MVPF_no_cc,,,,,,baseline,1,0
dorsey_itc,cost,10193.80811039517,,,,1.4257075,baseline,1,0
dorsey_itc,WTP,13984.72642278755,,,,1.9559058,baseline,1,0
dorsey_itc,program_cost,7150,,,,,baseline,1,0
dorsey_itc,total_cost,,,,,,baseline,1,0
dorsey_itc,beh_fisc_ext,,,,,,baseline,1,0
dorsey_itc,utility_fisc_ext,,,,,,baseline,1,0
dorsey_itc,gas_fisc_ext,,,,,,baseline,1,0
dorsey_itc,fed_fisc_ext,,,,,,baseline,1,0
dorsey_itc,state_fisc_ext,,,,,,baseline,1,0
dorsey_itc,WTP_USPres,22571.25603091011,,,,,baseline,1,0
dorsey_itc,WTP_USFut,12239.80817437302,,,,,baseline,1,0
dorsey_itc,WTP_RoW,76997.09265573384,,,,,baseline,1,0
dorsey_itc,WTP_USTotal,,,,,,baseline,1,0
dorsey_itc,enviro_mvpf,10.85418176586936,,,,,baseline,1,0
dorsey_itc,cost_mvpf,2.827416896820068,,,,,baseline,1,0
dorsey_itc,firm_mvpf,0,,,,,baseline,1,0
dorsey_itc,cost_wtp,20216.03081226349,,,,,baseline,1,0
dorsey_itc,env_cost_wtp,77607.39962596595,,,,,baseline,1,0
dorsey_itc,marginal,,,,,,baseline,1,0
dorsey_itc,infmarg,,,,,,baseline,1,0
dorsey_itc,wtp_private,6339.343930057162,,,,,baseline,1,0
dorsey_itc,wtp_soc,7766.262049880471,,,,,baseline,1,0
dorsey_itc,wtp_no_ice,,,,,,baseline,1,0
dorsey_itc,wtp_yes_ev,,,,,,baseline,1,0
dorsey_itc,wtp_yes_hev,,,,,,baseline,1,0
dorsey_itc,wtp_soc_rbd,,,,,,baseline,1,0
dorsey_itc,wtp_yes_ev_local,,,,,,baseline,1,0
dorsey_itc,wtp_no_ice_local,,,,,,baseline,1,0
dorsey_itc,env_cost_wtp_l,14776.25078968755,,,,,baseline,1,0
dorsey_itc,wtp_soc_rbd_l,,,,,,baseline,1,0
dorsey_itc,wtp_yes_ev_g,,,,,,baseline,1,0
dorsey_itc,wtp_no_ice_g,,,,,,baseline,1,0
dorsey_itc,env_cost_wtp_g,62831.1488362784,,,,,baseline,1,0
dorsey_itc,wtp_soc_rbd_g,,,,,,baseline,1,0
dorsey_itc,wtp_marg,,,,,,baseline,1,0
dorsey_itc,wtp_inf,,,,,,baseline,1,0
dorsey_itc,wtp_glob,8414.069425841733,,,,,baseline,1,0
dorsey_itc,wtp_loc,1810.222376124497,,,,,baseline,1,0
dorsey_itc,wtp_r_glob,-1648.030350090565,,,,,baseline,1,0
dorsey_itc,wtp_r_loc,-354.5610649590978,,,,,baseline,1,0
dorsey_itc,wtp_e_cost,-576.3178941861818,,,,,baseline,1,0
dorsey_itc,WTP_cc,111808.156861017,,,,,baseline,1,0
dorsey_itc,wtp_install,1351.350000000001,,,,,baseline,1,0
dorsey_itc,wtp_prod,-810.6560699428398,,,,,baseline,1,0
dorsey_itc,wtp_prod_s,,,,,,baseline,1,0
dorsey_itc,wtp_prod_u,,,,,,baseline,1,0
dorsey_itc,wtp_cons,5798.650000000001,,,,,baseline,1,0
dorsey_itc,wtp_deal,,,,,,baseline,1,0
dorsey_itc,admin_cost,,,,,,baseline,1,0
dorsey_itc,wtp_permits,,,,,,baseline,1,0
dorsey_itc,wtp_abatement,,,,,,baseline,1,0
dorsey_itc,permitrev,,,,,,baseline,1,0
dorsey_itc,wtp_no_leak,,,,,,baseline,1,0
dorsey_itc,wtp_leak,,,,,,baseline,1,0
dorsey_itc,wtp_soc_g,,,,,,baseline,1,0
dorsey_itc,wtp_soc_l,,,,,,baseline,1,0
dorsey_itc,fisc_ext_t,440.3563836726572,,,,,baseline,1,0
dorsey_itc,fisc_ext_s,3951.365785714287,,,,,baseline,1,0
dorsey_itc,fisc_ext_lr,-1347.914058991778,,,,,baseline,1,0
dorsey_itc,q_CO2,38.84650181485312,,,,,baseline,1,0
dorsey_itc,q_CO2_no,,,,,,baseline,1,0
dorsey_itc,p_spend,11101.36578571429,,,,,baseline,1,0
dorsey_itc,ev_sub_c,,,,,,baseline,1,0
dorsey_itc,ev_sub_c_row,,,,,,baseline,1,0
dorsey_itc,ev_sub_c_us,,,,,,baseline,1,0
dorsey_itc,ev_sub_env,,,,,,baseline,1,0
dorsey_itc,ev_sub_cost,,,,,,baseline,1,0
dorsey_itc,profits_fisc_e,,,,,,baseline,1,0
dorsey_itc,wtp_soc_l_po,,,,,,baseline,1,0
dorsey_itc,wtp_soc_l_dr,,,,,,baseline,1,0
dorsey_itc,gov_carbon,.0002158073525472,,,,,baseline,1,0
dorsey_itc,resource_ce,62.58199385079084,,,,,baseline,1,0
dorsey_itc,q_carbon_mck,.0005852027459077,,,,,baseline,1,0
dorsey_itc,semie,-.5750452079566004,,,,,baseline,1,0
dorsey_itc,pass_through,.8109999999999999,,,,,baseline,1,0
dorsey_itc,permitrev_new,,,,,,baseline,1,0
dorsey_itc,permitrev_ex,,,,,,baseline,1,0
dorsey_itc,fiscalext,,,,,,baseline,1,0
dorsey_itc,firm_cost_wtp,0,,,,,baseline,1,0
dorsey_itc,c_savings,0,,,,,baseline,1,0
dorsey_itc,resource_cost,18103.8385573831,,,,,baseline,1,0
dorsey_itc,q_CO2_mck,.0005852027459077,,,,,baseline,1,0
dorsey_itc,q_CO2_mck_no,,,,,,baseline,1,0
dorsey_itc,wtp_ctr,,,,,,baseline,1,0
dorsey_itc,gas_corp_fisc_e,,,,,,baseline,1,0
dorsey_itc,epsilon,,,,,,baseline,1,0
dorsey_itc,transfer,,,,,,baseline,1,0
dorsey_itc,enviro_wtp,,,,,,baseline,1,0
dorsey_itc,cost_curve,,,,,,baseline,1,0
dorsey_itc,profits,,,,,,baseline,1,0
dorsey_itc,subsidies,,,,,,baseline,1,0
