program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
dw_datta,MVPF,.8830329537098037,,,,,baseline,1,0
dw_datta,MVPF_no_cc,,,,,,baseline,1,0
dw_datta,cost,.7723985001777101,,,,.77239847,baseline,1,0
dw_datta,WTP,.6820533290529457,,,,.68205333,baseline,1,0
dw_datta,program_cost,1,,,,,baseline,1,0
dw_datta,total_cost,.7723985001777101,,,,,baseline,1,0
dw_datta,beh_fisc_ext,,,,,,baseline,1,0
dw_datta,utility_fisc_ext,,,,,,baseline,1,0
dw_datta,gas_fisc_ext,,,,,,baseline,1,0
dw_datta,fed_fisc_ext,,,,,,baseline,1,0
dw_datta,state_fisc_ext,,,,,,baseline,1,0
dw_datta,WTP_USPres,.8872943682964752,,,,,baseline,1,0
dw_datta,WTP_USFut,-.0273792125971174,,,,,baseline,1,0
dw_datta,WTP_RoW,-.1778618266464121,,,,,baseline,1,0
dw_datta,WTP_USTotal,,,,,,baseline,1,0
dw_datta,enviro_mvpf,,,,,,baseline,1,0
dw_datta,cost_mvpf,,,,,,baseline,1,0
dw_datta,firm_mvpf,,,,,,baseline,1,0
dw_datta,cost_wtp,,,,,,baseline,1,0
dw_datta,env_cost_wtp,,,,,,baseline,1,0
dw_datta,marginal,,,,,,baseline,1,0
dw_datta,infmarg,,,,,,baseline,1,0
dw_datta,wtp_private,,,,,,baseline,1,0
dw_datta,wtp_soc,-.3408339277173965,,,,,baseline,1,0
dw_datta,wtp_no_ice,,,,,,baseline,1,0
dw_datta,wtp_yes_ev,,,,,,baseline,1,0
dw_datta,wtp_yes_hev,,,,,,baseline,1,0
dw_datta,wtp_soc_rbd,,,,,,baseline,1,0
dw_datta,wtp_yes_ev_local,,,,,,baseline,1,0
dw_datta,wtp_no_ice_local,,,,,,baseline,1,0
dw_datta,env_cost_wtp_l,,,,,,baseline,1,0
dw_datta,wtp_soc_rbd_l,,,,,,baseline,1,0
dw_datta,wtp_yes_ev_g,,,,,,baseline,1,0
dw_datta,wtp_no_ice_g,,,,,,baseline,1,0
dw_datta,env_cost_wtp_g,,,,,,baseline,1,0
dw_datta,wtp_soc_rbd_g,,,,,,baseline,1,0
dw_datta,wtp_marg,,,,,,baseline,1,0
dw_datta,wtp_inf,,,,,,baseline,1,0
dw_datta,wtp_glob,-.2552323942993549,,,,,baseline,1,0
dw_datta,wtp_loc,-.1636353198979321,,,,,baseline,1,0
dw_datta,wtp_r_glob,.0499913550558254,,,,,baseline,1,0
dw_datta,wtp_r_loc,.032050599999844,,,,,baseline,1,0
dw_datta,wtp_e_cost,,,,,,baseline,1,0
dw_datta,WTP_cc,,,,,,baseline,1,0
dw_datta,wtp_install,,,,,,baseline,1,0
dw_datta,wtp_prod,.0188790881945633,,,,,baseline,1,0
dw_datta,wtp_prod_s,,,,,,baseline,1,0
dw_datta,wtp_prod_u,,,,,,baseline,1,0
dw_datta,wtp_cons,1,,,,,baseline,1,0
dw_datta,wtp_deal,,,,,,baseline,1,0
dw_datta,admin_cost,,,,,,baseline,1,0
dw_datta,wtp_permits,,,,,,baseline,1,0
dw_datta,wtp_abatement,,,,,,baseline,1,0
dw_datta,permitrev,,,,,,baseline,1,0
dw_datta,wtp_no_leak,,,,,,baseline,1,0
dw_datta,wtp_leak,,,,,,baseline,1,0
dw_datta,wtp_soc_g,,,,,,baseline,1,0
dw_datta,wtp_soc_l,,,,,,baseline,1,0
dw_datta,fisc_ext_t,-.0102553071674168,,,,,baseline,1,0
dw_datta,fisc_ext_s,-.221354361230652,,,,,baseline,1,0
dw_datta,fisc_ext_lr,.0040081685757789,,,,,baseline,1,0
dw_datta,q_CO2,-.0016708156630056,,,,,baseline,1,0
dw_datta,q_CO2_no,,,,,,baseline,1,0
dw_datta,p_spend,.778645638769348,,,,,baseline,1,0
dw_datta,ev_sub_c,,,,,,baseline,1,0
dw_datta,ev_sub_c_row,,,,,,baseline,1,0
dw_datta,ev_sub_c_us,,,,,,baseline,1,0
dw_datta,ev_sub_env,,,,,,baseline,1,0
dw_datta,ev_sub_cost,,,,,,baseline,1,0
dw_datta,profits_fisc_e,,,,,,baseline,1,0
dw_datta,wtp_soc_l_po,,,,,,baseline,1,0
dw_datta,wtp_soc_l_dr,,,,,,baseline,1,0
dw_datta,gov_carbon,-.002077782706975,,,,,baseline,1,0
dw_datta,resource_ce,372.5036614864832,,,,,baseline,1,0
dw_datta,q_carbon_mck,.3440037594329492,,,,,baseline,1,0
dw_datta,semie,-.00604,,,,,baseline,1,0
dw_datta,pass_through,,,,,,baseline,1,0
dw_datta,permitrev_new,,,,,,baseline,1,0
dw_datta,permitrev_ex,,,,,,baseline,1,0
dw_datta,fiscalext,,,,,,baseline,1,0
dw_datta,firm_cost_wtp,,,,,,baseline,1,0
dw_datta,c_savings,0,,,,,baseline,1,0
dw_datta,resource_cost,,,,,,baseline,1,0
dw_datta,q_CO2_mck,,,,,,baseline,1,0
dw_datta,q_CO2_mck_no,,,,,,baseline,1,0
dw_datta,wtp_ctr,,,,,,baseline,1,0
dw_datta,gas_corp_fisc_e,,,,,,baseline,1,0
dw_datta,epsilon,,,,,,baseline,1,0
dw_datta,transfer,,,,,,baseline,1,0
dw_datta,enviro_wtp,,,,,,baseline,1,0
dw_datta,cost_curve,,,,,,baseline,1,0
dw_datta,profits,,,,,,baseline,1,0
dw_datta,subsidies,,,,,,baseline,1,0
dw_datta,taxes,,,,,,baseline,1,0
dw_datta,wtp_batt,,,,,,baseline,1,0
dw_datta,wtp_local_w_r,,,,,,baseline,1,0
dw_datta,wind_g_wf,,,,,,baseline,1,0
dw_datta,wind_l_wf,,,,,,baseline,1,0
