program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
dw_datta,MVPF,.8830329537098037,,,,99999,,baseline,1,0
dw_datta,MVPF_no_cc,,,,,99999,,baseline,1,0
dw_datta,cost,.7723985001777101,,,,99999,.77239847,baseline,1,0
dw_datta,WTP,.6820533290529457,,,,99999,.68205333,baseline,1,0
dw_datta,program_cost,1,,,,99999,,baseline,1,0
dw_datta,total_cost,.7723985001777101,,,,99999,,baseline,1,0
dw_datta,beh_fisc_ext,,,,,99999,,baseline,1,0
dw_datta,utility_fisc_ext,,,,,99999,,baseline,1,0
dw_datta,gas_fisc_ext,,,,,99999,,baseline,1,0
dw_datta,fed_fisc_ext,,,,,99999,,baseline,1,0
dw_datta,state_fisc_ext,,,,,99999,,baseline,1,0
dw_datta,WTP_USPres,.8872943682964752,,,,99999,,baseline,1,0
dw_datta,WTP_USFut,-.0273792125971174,,,,99999,,baseline,1,0
dw_datta,WTP_RoW,-.1778618266464121,,,,99999,,baseline,1,0
dw_datta,WTP_USTotal,,,,,99999,,baseline,1,0
dw_datta,enviro_mvpf,,,,,99999,,baseline,1,0
dw_datta,cost_mvpf,,,,,99999,,baseline,1,0
dw_datta,firm_mvpf,,,,,99999,,baseline,1,0
dw_datta,cost_wtp,,,,,99999,,baseline,1,0
dw_datta,env_cost_wtp,,,,,99999,,baseline,1,0
dw_datta,marginal,,,,,99999,,baseline,1,0
dw_datta,infmarg,,,,,99999,,baseline,1,0
dw_datta,wtp_private,,,,,99999,,baseline,1,0
dw_datta,wtp_soc,-.3408339277173965,,,,99999,,baseline,1,0
dw_datta,wtp_no_ice,,,,,99999,,baseline,1,0
dw_datta,wtp_yes_ev,,,,,99999,,baseline,1,0
dw_datta,wtp_yes_hev,,,,,99999,,baseline,1,0
dw_datta,wtp_soc_rbd,,,,,99999,,baseline,1,0
dw_datta,wtp_yes_ev_local,,,,,99999,,baseline,1,0
dw_datta,wtp_no_ice_local,,,,,99999,,baseline,1,0
dw_datta,env_cost_wtp_l,,,,,99999,,baseline,1,0
dw_datta,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
dw_datta,wtp_yes_ev_g,,,,,99999,,baseline,1,0
dw_datta,wtp_no_ice_g,,,,,99999,,baseline,1,0
dw_datta,env_cost_wtp_g,,,,,99999,,baseline,1,0
dw_datta,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
dw_datta,wtp_marg,,,,,99999,,baseline,1,0
dw_datta,wtp_inf,,,,,99999,,baseline,1,0
dw_datta,wtp_glob,-.2552323942993549,,,,99999,,baseline,1,0
dw_datta,wtp_loc,-.1636353198979321,,,,99999,,baseline,1,0
dw_datta,wtp_r_glob,.0499913550558254,,,,99999,,baseline,1,0
dw_datta,wtp_r_loc,.032050599999844,,,,99999,,baseline,1,0
dw_datta,wtp_e_cost,,,,,99999,,baseline,1,0
dw_datta,WTP_cc,,,,,99999,,baseline,1,0
dw_datta,wtp_install,,,,,99999,,baseline,1,0
dw_datta,wtp_prod,.0188790881945633,,,,99999,,baseline,1,0
dw_datta,wtp_prod_s,,,,,99999,,baseline,1,0
dw_datta,wtp_prod_u,,,,,99999,,baseline,1,0
dw_datta,wtp_cons,1,,,,99999,,baseline,1,0
dw_datta,wtp_deal,,,,,99999,,baseline,1,0
dw_datta,admin_cost,,,,,99999,,baseline,1,0
dw_datta,wtp_permits,,,,,99999,,baseline,1,0
dw_datta,wtp_abatement,,,,,99999,,baseline,1,0
dw_datta,permitrev,,,,,99999,,baseline,1,0
dw_datta,wtp_no_leak,,,,,99999,,baseline,1,0
dw_datta,wtp_leak,,,,,99999,,baseline,1,0
dw_datta,wtp_soc_g,,,,,99999,,baseline,1,0
dw_datta,wtp_soc_l,,,,,99999,,baseline,1,0
dw_datta,fisc_ext_t,-.0102553071674168,,,,99999,,baseline,1,0
dw_datta,fisc_ext_s,-.221354361230652,,,,99999,,baseline,1,0
dw_datta,fisc_ext_lr,.0040081685757789,,,,99999,,baseline,1,0
dw_datta,q_CO2,-.0016708156630056,,,,99999,,baseline,1,0
dw_datta,q_CO2_no,,,,,99999,,baseline,1,0
dw_datta,p_spend,.778645638769348,,,,99999,,baseline,1,0
dw_datta,ev_sub_c,,,,,99999,,baseline,1,0
dw_datta,ev_sub_c_row,,,,,99999,,baseline,1,0
dw_datta,ev_sub_c_us,,,,,99999,,baseline,1,0
dw_datta,ev_sub_env,,,,,99999,,baseline,1,0
dw_datta,ev_sub_cost,,,,,99999,,baseline,1,0
dw_datta,profits_fisc_e,,,,,99999,,baseline,1,0
dw_datta,wtp_soc_l_po,,,,,99999,,baseline,1,0
dw_datta,wtp_soc_l_dr,,,,,99999,,baseline,1,0
dw_datta,gov_carbon,-.002077782706975,,,,99999,,baseline,1,0
dw_datta,resource_ce,372.5036614864832,,,,99999,,baseline,1,0
dw_datta,q_carbon_mck,.3440037594329492,,,,99999,,baseline,1,0
dw_datta,semie,-.00604,,,,99999,,baseline,1,0
dw_datta,pass_through,,,,,99999,,baseline,1,0
dw_datta,permitrev_new,,,,,99999,,baseline,1,0
dw_datta,permitrev_ex,,,,,99999,,baseline,1,0
