program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
es_incent,MVPF,.8160902027200317,,,,99999,,baseline,1,0
es_incent,MVPF_no_cc,,,,,99999,,baseline,1,0
es_incent,cost,137.0534866781441,,,,99999,1.0964279,baseline,1,0
es_incent,WTP,111.8480077266538,,,,99999,.89478403,baseline,1,0
es_incent,program_cost,125,,,,99999,,baseline,1,0
es_incent,total_cost,137.0534866781441,,,,99999,,baseline,1,0
es_incent,beh_fisc_ext,,,,,99999,,baseline,1,0
es_incent,utility_fisc_ext,,,,,99999,,baseline,1,0
es_incent,gas_fisc_ext,,,,,99999,,baseline,1,0
es_incent,fed_fisc_ext,,,,,99999,,baseline,1,0
es_incent,state_fisc_ext,,,,,99999,,baseline,1,0
es_incent,WTP_USPres,-38.75527547865632,,,,99999,,baseline,1,0
es_incent,WTP_USFut,20.09052051139456,,,,99999,,baseline,1,0
es_incent,WTP_RoW,130.5127626939155,,,,99999,,baseline,1,0
es_incent,WTP_USTotal,,,,,99999,,baseline,1,0
es_incent,enviro_mvpf,,,,,99999,,baseline,1,0
es_incent,cost_mvpf,,,,,99999,,baseline,1,0
es_incent,firm_mvpf,,,,,99999,,baseline,1,0
es_incent,cost_wtp,,,,,99999,,baseline,1,0
es_incent,env_cost_wtp,,,,,99999,,baseline,1,0
es_incent,marginal,,,,,99999,,baseline,1,0
es_incent,infmarg,,,,,99999,,baseline,1,0
es_incent,wtp_private,,,,,99999,,baseline,1,0
es_incent,wtp_soc,153.5444266987242,,,,99999,,baseline,1,0
es_incent,wtp_no_ice,,,,,99999,,baseline,1,0
es_incent,wtp_yes_ev,,,,,99999,,baseline,1,0
es_incent,wtp_yes_hev,,,,,99999,,baseline,1,0
es_incent,wtp_soc_rbd,,,,,99999,,baseline,1,0
es_incent,wtp_yes_ev_local,,,,,99999,,baseline,1,0
es_incent,wtp_no_ice_local,,,,,99999,,baseline,1,0
es_incent,env_cost_wtp_l,,,,,99999,,baseline,1,0
es_incent,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
es_incent,wtp_yes_ev_g,,,,,99999,,baseline,1,0
es_incent,wtp_no_ice_g,,,,,99999,,baseline,1,0
es_incent,env_cost_wtp_g,,,,,99999,,baseline,1,0
es_incent,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
es_incent,wtp_marg,48.02631578947368,,,,99999,,baseline,1,0
es_incent,wtp_inf,3.94736842105263,,,,99999,,baseline,1,0
es_incent,wtp_glob,170.6837209660181,,,,99999,,baseline,1,0
es_incent,wtp_loc,0,,,,99999,,baseline,1,0
es_incent,wtp_r_glob,-20.08043776070802,,,,99999,,baseline,1,0
es_incent,wtp_r_loc,0,,,,99999,,baseline,1,0
es_incent,wtp_e_cost,,,,,99999,,baseline,1,0
es_incent,WTP_cc,,,,,99999,,baseline,1,0
es_incent,wtp_install,,,,,99999,,baseline,1,0
es_incent,wtp_prod,-90.72895968918263,,,,99999,,baseline,1,0
es_incent,wtp_prod_s,,,,,99999,,baseline,1,0
es_incent,wtp_prod_u,,,,,99999,,baseline,1,0
es_incent,wtp_cons,,,,,99999,,baseline,1,0
es_incent,wtp_deal,,,,,99999,,baseline,1,0
es_incent,admin_cost,,,,,99999,,baseline,1,0
es_incent,wtp_permits,,,,,99999,,baseline,1,0
es_incent,wtp_abatement,,,,,99999,,baseline,1,0
es_incent,permitrev,,,,,99999,,baseline,1,0
es_incent,wtp_no_leak,,,,,99999,,baseline,1,0
es_incent,wtp_leak,,,,,99999,,baseline,1,0
es_incent,wtp_soc_g,,,,,99999,,baseline,1,0
es_incent,wtp_soc_l,,,,,99999,,baseline,1,0
es_incent,fisc_ext_t,15.38678263734677,,,,99999,,baseline,1,0
es_incent,fisc_ext_s,0,,,,99999,,baseline,1,0
es_incent,fisc_ext_lr,-3.333295959202603,,,,99999,,baseline,1,0
es_incent,q_CO2,1.086323853736941,,,,99999,,baseline,1,0
es_incent,q_CO2_no,,,,,99999,,baseline,1,0
es_incent,p_spend,125,,,,99999,,baseline,1,0
es_incent,ev_sub_c,,,,,99999,,baseline,1,0
es_incent,ev_sub_c_row,,,,,99999,,baseline,1,0
es_incent,ev_sub_c_us,,,,,99999,,baseline,1,0
es_incent,ev_sub_env,,,,,99999,,baseline,1,0
es_incent,ev_sub_cost,,,,,99999,,baseline,1,0
es_incent,profits_fisc_e,,,,,99999,,baseline,1,0
es_incent,wtp_soc_l_po,,,,,99999,,baseline,1,0
es_incent,wtp_soc_l_dr,,,,,99999,,baseline,1,0
es_incent,gov_carbon,1.225794535341186,,,,99999,,baseline,1,0
es_incent,resource_ce,225.8031193295038,,,,99999,,baseline,1,0
es_incent,q_carbon_mck,1.446325606996176,,,,99999,,baseline,1,0
es_incent,semie,,,,,99999,,baseline,1,0
es_incent,pass_through,,,,,99999,,baseline,1,0
es_incent,permitrev_new,,,,,99999,,baseline,1,0
es_incent,permitrev_ex,,,,,99999,,baseline,1,0
es_incent,fiscalext,,,,,99999,,baseline,1,0
es_incent,firm_cost_wtp,,,,,99999,,baseline,1,0
es_incent,c_savings,0,,,,99999,,baseline,1,0
es_incent,resource_cost,,,,,99999,,baseline,1,0
es_incent,q_CO2_mck,,,,,99999,,baseline,1,0
es_incent,q_CO2_mck_no,,,,,99999,,baseline,1,0
es_incent,wtp_ctr,,,,,99999,,baseline,1,0
es_incent,gas_corp_fisc_e,,,,,99999,,baseline,1,0
es_incent,epsilon,,,,,99999,,baseline,1,0
es_incent,transfer,,,,,99999,,baseline,1,0
es_incent,enviro_wtp,,,,,99999,,baseline,1,0
es_incent,cost_curve,,,,,99999,,baseline,1,0
es_incent,profits,,,,,99999,,baseline,1,0
es_incent,subsidies,,,,,99999,,baseline,1,0
es_incent,taxes,,,,,99999,,baseline,1,0
es_incent,wtp_batt,,,,,99999,,baseline,1,0
es_incent,wtp_local_w_r,,,,,99999,,baseline,1,0
es_incent,wind_g_wf,,,,,99999,,baseline,1,0
es_incent,wind_l_wf,,,,,99999,,baseline,1,0
