program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
ethanol,MVPF,2.276054346244632,,,,,baseline,1,0
ethanol,MVPF_no_cc,,,,,,baseline,1,0
ethanol,cost,.7091936308445179,,,,.70919365,baseline,1,0
ethanol,WTP,1.614163245812676,,,,1.6141633,baseline,1,0
ethanol,program_cost,1,,,,,baseline,1,0
ethanol,total_cost,,,,,,baseline,1,0
ethanol,beh_fisc_ext,,,,,,baseline,1,0
ethanol,utility_fisc_ext,,,,,,baseline,1,0
ethanol,gas_fisc_ext,,,,,,baseline,1,0
ethanol,fed_fisc_ext,,,,,,baseline,1,0
ethanol,state_fisc_ext,,,,,,baseline,1,0
ethanol,WTP_USPres,1.461549532130167,,,,,baseline,1,0
ethanol,WTP_USFut,.0203587125048178,,,,,baseline,1,0
ethanol,WTP_RoW,.132255001177692,,,,,baseline,1,0
ethanol,WTP_USTotal,,,,,,baseline,1,0
ethanol,enviro_mvpf,,,,,,baseline,1,0
ethanol,cost_mvpf,,,,,,baseline,1,0
ethanol,firm_mvpf,,,,,,baseline,1,0
ethanol,cost_wtp,,,,,,baseline,1,0
ethanol,env_cost_wtp,,,,,,baseline,1,0
ethanol,marginal,,,,,,baseline,1,0
ethanol,infmarg,,,,,,baseline,1,0
ethanol,wtp_private,,,,,,baseline,1,0
ethanol,wtp_soc,.221375944502741,,,,,baseline,1,0
ethanol,wtp_no_ice,,,,,,baseline,1,0
ethanol,wtp_yes_ev,,,,,,baseline,1,0
ethanol,wtp_yes_hev,,,,,,baseline,1,0
ethanol,wtp_soc_rbd,,,,,,baseline,1,0
ethanol,wtp_yes_ev_local,,,,,,baseline,1,0
ethanol,wtp_no_ice_local,,,,,,baseline,1,0
ethanol,env_cost_wtp_l,,,,,,baseline,1,0
ethanol,wtp_soc_rbd_l,,,,,,baseline,1,0
ethanol,wtp_yes_ev_g,,,,,,baseline,1,0
ethanol,wtp_no_ice_g,,,,,,baseline,1,0
ethanol,env_cost_wtp_g,,,,,,baseline,1,0
ethanol,wtp_soc_rbd_g,,,,,,baseline,1,0
ethanol,wtp_marg,,,,,,baseline,1,0
ethanol,wtp_inf,,,,,,baseline,1,0
ethanol,wtp_glob,,,,,,baseline,1,0
ethanol,wtp_loc,,,,,,baseline,1,0
ethanol,wtp_r_glob,,,,,,baseline,1,0
ethanol,wtp_r_loc,,,,,,baseline,1,0
ethanol,wtp_e_cost,,,,,,baseline,1,0
ethanol,WTP_cc,,,,,,baseline,1,0
ethanol,wtp_install,,,,,,baseline,1,0
ethanol,wtp_prod,.3927873013099354,,,,,baseline,1,0
ethanol,wtp_prod_s,.3927873013099354,,,,,baseline,1,0
ethanol,wtp_prod_u,0,,,,,baseline,1,0
ethanol,wtp_cons,1,,,,,baseline,1,0
ethanol,wtp_deal,,,,,,baseline,1,0
ethanol,admin_cost,,,,,,baseline,1,0
ethanol,wtp_permits,,,,,,baseline,1,0
ethanol,wtp_abatement,,,,,,baseline,1,0
ethanol,permitrev,,,,,,baseline,1,0
ethanol,wtp_no_leak,,,,,,baseline,1,0
ethanol,wtp_leak,,,,,,baseline,1,0
ethanol,wtp_soc_g,.1526137136825098,,,,,baseline,1,0
ethanol,wtp_soc_l,.0687622308202312,,,,,baseline,1,0
ethanol,fisc_ext_t,-.2937867745055511,,,,,baseline,1,0
ethanol,fisc_ext_s,,,,,,baseline,1,0
ethanol,fisc_ext_lr,.002980405350069,,,,,baseline,1,0
ethanol,q_CO2,,,,,,baseline,1,0
ethanol,q_CO2_no,,,,,,baseline,1,0
ethanol,p_spend,,,,,,baseline,1,0
ethanol,ev_sub_c,,,,,,baseline,1,0
ethanol,ev_sub_c_row,,,,,,baseline,1,0
ethanol,ev_sub_c_us,,,,,,baseline,1,0
ethanol,ev_sub_env,,,,,,baseline,1,0
ethanol,ev_sub_cost,,,,,,baseline,1,0
ethanol,profits_fisc_e,,,,,,baseline,1,0
ethanol,wtp_soc_l_po,,,,,,baseline,1,0
ethanol,wtp_soc_l_dr,,,,,,baseline,1,0
ethanol,gov_carbon,,,,,,baseline,1,0
ethanol,resource_ce,,,,,,baseline,1,0
ethanol,q_carbon_mck,,,,,,baseline,1,0
ethanol,semie,,,,,,baseline,1,0
ethanol,pass_through,,,,,,baseline,1,0
ethanol,permitrev_new,,,,,,baseline,1,0
ethanol,permitrev_ex,,,,,,baseline,1,0
ethanol,fiscalext,,,,,,baseline,1,0
ethanol,firm_cost_wtp,,,,,,baseline,1,0
ethanol,c_savings,,,,,,baseline,1,0
ethanol,resource_cost,,,,,,baseline,1,0
ethanol,q_CO2_mck,,,,,,baseline,1,0
ethanol,q_CO2_mck_no,,,,,,baseline,1,0
ethanol,wtp_ctr,,,,,,baseline,1,0
ethanol,gas_corp_fisc_e,,,,,,baseline,1,0
ethanol,epsilon,,,,,,baseline,1,0
ethanol,transfer,,,,,,baseline,1,0
ethanol,enviro_wtp,,,,,,baseline,1,0
ethanol,cost_curve,,,,,,baseline,1,0
ethanol,profits,,,,,,baseline,1,0
ethanol,subsidies,,,,,,baseline,1,0
ethanol,taxes,,,,,,baseline,1,0
ethanol,wtp_batt,,,,,,baseline,1,0
ethanol,wtp_local_w_r,,,,,,baseline,1,0
ethanol,wind_g_wf,,,,,,baseline,1,0
ethanol,wind_l_wf,,,,,,baseline,1,0
