program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
ets,MVPF,-9.344887811630043,,,,,baseline,1,0
ets,MVPF_no_cc,,,,,,baseline,1,0
ets,cost,14.41245012144487,,,,.75478953,baseline,1,0
ets,WTP,-134.6827294756161,,,,-7.0534234,baseline,1,0
ets,program_cost,19.09466091832047,,,,,baseline,1,0
ets,total_cost,,,,,,baseline,1,0
ets,beh_fisc_ext,,,,,,baseline,1,0
ets,utility_fisc_ext,,,,,,baseline,1,0
ets,gas_fisc_ext,,,,,,baseline,1,0
ets,fed_fisc_ext,,,,,,baseline,1,0
ets,state_fisc_ext,,,,,,baseline,1,0
ets,WTP_USPres,0,,,,,baseline,1,0
ets,WTP_USFut,-20.51394730675553,,,,,baseline,1,0
ets,WTP_RoW,-114.1687821688605,,,,,baseline,1,0
ets,WTP_USTotal,,,,,,baseline,1,0
ets,enviro_mvpf,,,,,,baseline,1,0
ets,cost_mvpf,,,,,,baseline,1,0
ets,firm_mvpf,,,,,,baseline,1,0
ets,cost_wtp,,,,,,baseline,1,0
ets,env_cost_wtp,,,,,,baseline,1,0
ets,marginal,,,,,,baseline,1,0
ets,infmarg,,,,,,baseline,1,0
ets,wtp_private,,,,,,baseline,1,0
ets,wtp_soc,-153.7773903939365,,,,,baseline,1,0
ets,wtp_no_ice,,,,,,baseline,1,0
ets,wtp_yes_ev,,,,,,baseline,1,0
ets,wtp_yes_hev,,,,,,baseline,1,0
ets,wtp_soc_rbd,,,,,,baseline,1,0
ets,wtp_yes_ev_local,,,,,,baseline,1,0
ets,wtp_no_ice_local,,,,,,baseline,1,0
ets,env_cost_wtp_l,,,,,,baseline,1,0
ets,wtp_soc_rbd_l,,,,,,baseline,1,0
ets,wtp_yes_ev_g,,,,,,baseline,1,0
ets,wtp_no_ice_g,,,,,,baseline,1,0
ets,env_cost_wtp_g,,,,,,baseline,1,0
ets,wtp_soc_rbd_g,,,,,,baseline,1,0
ets,wtp_marg,,,,,,baseline,1,0
ets,wtp_inf,,,,,,baseline,1,0
ets,wtp_glob,,,,,,baseline,1,0
ets,wtp_loc,,,,,,baseline,1,0
ets,wtp_r_glob,,,,,,baseline,1,0
ets,wtp_r_loc,,,,,,baseline,1,0
ets,wtp_e_cost,,,,,,baseline,1,0
ets,WTP_cc,,,,,,baseline,1,0
ets,wtp_install,,,,,,baseline,1,0
ets,wtp_prod,,,,,,baseline,1,0
ets,wtp_prod_s,,,,,,baseline,1,0
ets,wtp_prod_u,,,,,,baseline,1,0
ets,wtp_cons,,,,,,baseline,1,0
ets,wtp_deal,,,,,,baseline,1,0
ets,admin_cost,,,,,,baseline,1,0
ets,wtp_permits,19.09466091832047,,,,,baseline,1,0
ets,wtp_abatement,0,,,,,baseline,1,0
ets,permitrev,,,,,,baseline,1,0
ets,wtp_no_leak,,,,,,baseline,1,0
ets,wtp_leak,,,,,,baseline,1,0
ets,wtp_soc_g,-153.7773903939365,,,,,baseline,1,0
ets,wtp_soc_l,,,,,,baseline,1,0
ets,fisc_ext_t,-7.685341681975547,,,,,baseline,1,0
ets,fisc_ext_s,,,,,,baseline,1,0
ets,fisc_ext_lr,3.003130885099944,,,,,baseline,1,0
ets,q_CO2,,,,,,baseline,1,0
ets,q_CO2_no,,,,,,baseline,1,0
ets,p_spend,,,,,,baseline,1,0
ets,ev_sub_c,,,,,,baseline,1,0
ets,ev_sub_c_row,,,,,,baseline,1,0
ets,ev_sub_c_us,,,,,,baseline,1,0
ets,ev_sub_env,,,,,,baseline,1,0
ets,ev_sub_cost,,,,,,baseline,1,0
ets,profits_fisc_e,,,,,,baseline,1,0
ets,wtp_soc_l_po,,,,,,baseline,1,0
ets,wtp_soc_l_dr,,,,,,baseline,1,0
ets,gov_carbon,-1219500000,,,,,baseline,1,0
ets,resource_ce,,,,,,baseline,1,0
ets,q_carbon_mck,,,,,,baseline,1,0
ets,semie,,,,,,baseline,1,0
ets,pass_through,,,,,,baseline,1,0
ets,permitrev_new,,,,,,baseline,1,0
ets,permitrev_ex,,,,,,baseline,1,0
ets,fiscalext,,,,,,baseline,1,0
ets,firm_cost_wtp,,,,,,baseline,1,0
ets,c_savings,,,,,,baseline,1,0
ets,resource_cost,,,,,,baseline,1,0
ets,q_CO2_mck,,,,,,baseline,1,0
ets,q_CO2_mck_no,,,,,,baseline,1,0
ets,wtp_ctr,,,,,,baseline,1,0
ets,gas_corp_fisc_e,,,,,,baseline,1,0
ets,epsilon,,,,,,baseline,1,0
ets,transfer,,,,,,baseline,1,0
ets,enviro_wtp,,,,,,baseline,1,0
ets,cost_curve,,,,,,baseline,1,0
ets,profits,,,,,,baseline,1,0
ets,subsidies,,,,,,baseline,1,0
ets,taxes,,,,,,baseline,1,0
ets,wtp_batt,,,,,,baseline,1,0
ets,wtp_local_w_r,,,,,,baseline,1,0
ets,wind_g_wf,,,,,,baseline,1,0
ets,wind_l_wf,,,,,,baseline,1,0
