program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
federal_ev,MVPF,.8419024322844092,,,,,baseline,1,0
federal_ev,MVPF_no_cc,.5943215185665877,,,,,baseline,1,0
federal_ev,cost,1.638171217346778,,,,1.6381712,baseline,1,0
federal_ev,WTP,.9736004055656126,,,,.97360039,baseline,1,0
federal_ev,program_cost,1,,,,,baseline,1,0
federal_ev,total_cost,1.638171217346778,,,,,baseline,1,0
federal_ev,beh_fisc_ext,.4383444080259579,,,,,baseline,1,0
federal_ev,utility_fisc_ext,-.0096826821340371,,,,,baseline,1,0
federal_ev,gas_fisc_ext,.0740320541519407,,,,,baseline,1,0
federal_ev,fed_fisc_ext,0,,,,,baseline,1,0
federal_ev,state_fisc_ext,.104727946868685,,,,,baseline,1,0
federal_ev,WTP_USPres,.862612736259543,,,,,baseline,1,0
federal_ev,WTP_USFut,.0604176473726737,,,,,baseline,1,0
federal_ev,WTP_RoW,.481572868889558,,,,,baseline,1,0
federal_ev,WTP_USTotal,,,,,,baseline,1,0
federal_ev,enviro_mvpf,.0527811013162136,,,,,baseline,1,0
federal_ev,cost_mvpf,.3558065891265869,,,,,baseline,1,0
federal_ev,firm_mvpf,,,,,,baseline,1,0
federal_ev,cost_wtp,.3558065891265869,,,,,baseline,1,0
federal_ev,env_cost_wtp,.0497733376903645,,,,,baseline,1,0
federal_ev,marginal,,,,,,baseline,1,0
federal_ev,infmarg,,,,,,baseline,1,0
federal_ev,wtp_private,,,,,,baseline,1,0
federal_ev,wtp_soc,.0342149786223664,,,,,baseline,1,0
federal_ev,wtp_no_ice,.3291239703278356,,,,,baseline,1,0
federal_ev,wtp_yes_ev,-.2694860715662584,,,,,baseline,1,0
federal_ev,wtp_yes_hev,,,,,,baseline,1,0
federal_ev,wtp_soc_rbd,.0527831661935025,,,,,baseline,1,0
federal_ev,wtp_yes_ev_local,-.0600363524037081,,,,,baseline,1,0
federal_ev,wtp_no_ice_local,.0262844877174157,,,,,baseline,1,0
federal_ev,env_cost_wtp_l,-.001996741630137,,,,,baseline,1,0
federal_ev,wtp_soc_rbd_l,.0117590818262289,,,,,baseline,1,0
federal_ev,wtp_yes_ev_g,-.2094497191625503,,,,,baseline,1,0
federal_ev,wtp_no_ice_g,.3028394826104199,,,,,baseline,1,0
federal_ev,env_cost_wtp_g,.0517700793205015,,,,,baseline,1,0
federal_ev,wtp_soc_rbd_g,.0410240843672736,,,,,baseline,1,0
federal_ev,wtp_marg,.219172204012979,,,,,baseline,1,0
federal_ev,wtp_inf,6592.246513784372,,,,,baseline,1,0
federal_ev,wtp_glob,.0679668433086588,,,,,baseline,1,0
federal_ev,wtp_loc,-.0337518646862924,,,,,baseline,1,0
federal_ev,wtp_r_glob,,,,,,baseline,1,0
federal_ev,wtp_r_loc,,,,,,baseline,1,0
federal_ev,wtp_e_cost,,,,,,baseline,1,0
federal_ev,WTP_cc,1.379180332382564,,,,,baseline,1,0
federal_ev,wtp_install,,,,,,baseline,1,0
federal_ev,wtp_prod,,,,,,baseline,1,0
federal_ev,wtp_prod_s,-.1312226768151885,,,,,baseline,1,0
federal_ev,wtp_prod_u,.017824937564932,,,,,baseline,1,0
federal_ev,wtp_cons,1,,,,,baseline,1,0
federal_ev,wtp_deal,0,,,,,baseline,1,0
federal_ev,admin_cost,,,,,,baseline,1,0
federal_ev,wtp_permits,,,,,,baseline,1,0
federal_ev,wtp_abatement,,,,,,baseline,1,0
federal_ev,permitrev,,,,,,baseline,1,0
federal_ev,wtp_no_leak,,,,,,baseline,1,0
