program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
federal_ev,MVPF,.8419024322844092,,,,99999,,baseline,1,0
federal_ev,MVPF_no_cc,.5943215185665877,,,,99999,,baseline,1,0
federal_ev,cost,1.638171217346778,,,,99999,1.6381712,baseline,1,0
federal_ev,WTP,.9736004055656126,,,,99999,.97360039,baseline,1,0
federal_ev,program_cost,1,,,,99999,,baseline,1,0
federal_ev,total_cost,1.638171217346778,,,,99999,,baseline,1,0
federal_ev,beh_fisc_ext,.4383444080259579,,,,99999,,baseline,1,0
federal_ev,utility_fisc_ext,-.0096826821340371,,,,99999,,baseline,1,0
federal_ev,gas_fisc_ext,.0740320541519407,,,,99999,,baseline,1,0
federal_ev,fed_fisc_ext,0,,,,99999,,baseline,1,0
federal_ev,state_fisc_ext,.104727946868685,,,,99999,,baseline,1,0
federal_ev,WTP_USPres,.862612736259543,,,,99999,,baseline,1,0
federal_ev,WTP_USFut,.0604176473726737,,,,99999,,baseline,1,0
federal_ev,WTP_RoW,.481572868889558,,,,99999,,baseline,1,0
federal_ev,WTP_USTotal,,,,,99999,,baseline,1,0
federal_ev,enviro_mvpf,.0527811013162136,,,,99999,,baseline,1,0
federal_ev,cost_mvpf,.3558065891265869,,,,99999,,baseline,1,0
federal_ev,firm_mvpf,,,,,99999,,baseline,1,0
federal_ev,cost_wtp,.3558065891265869,,,,99999,,baseline,1,0
federal_ev,env_cost_wtp,.0497733376903645,,,,99999,,baseline,1,0
federal_ev,marginal,,,,,99999,,baseline,1,0
federal_ev,infmarg,,,,,99999,,baseline,1,0
federal_ev,wtp_private,,,,,99999,,baseline,1,0
federal_ev,wtp_soc,.0342149786223664,,,,99999,,baseline,1,0
federal_ev,wtp_no_ice,.3291239703278356,,,,99999,,baseline,1,0
federal_ev,wtp_yes_ev,-.2694860715662584,,,,99999,,baseline,1,0
federal_ev,wtp_yes_hev,,,,,99999,,baseline,1,0
federal_ev,wtp_soc_rbd,.0527831661935025,,,,99999,,baseline,1,0
federal_ev,wtp_yes_ev_local,-.0600363524037081,,,,99999,,baseline,1,0
federal_ev,wtp_no_ice_local,.0262844877174157,,,,99999,,baseline,1,0
federal_ev,env_cost_wtp_l,-.001996741630137,,,,99999,,baseline,1,0
federal_ev,wtp_soc_rbd_l,.0117590818262289,,,,99999,,baseline,1,0
federal_ev,wtp_yes_ev_g,-.2094497191625503,,,,99999,,baseline,1,0
federal_ev,wtp_no_ice_g,.3028394826104199,,,,99999,,baseline,1,0
federal_ev,env_cost_wtp_g,.0517700793205015,,,,99999,,baseline,1,0
federal_ev,wtp_soc_rbd_g,.0410240843672736,,,,99999,,baseline,1,0
federal_ev,wtp_marg,.219172204012979,,,,99999,,baseline,1,0
federal_ev,wtp_inf,6592.246513784372,,,,99999,,baseline,1,0
federal_ev,wtp_glob,.0679668433086588,,,,99999,,baseline,1,0
federal_ev,wtp_loc,-.0337518646862924,,,,99999,,baseline,1,0
federal_ev,wtp_r_glob,,,,,99999,,baseline,1,0
federal_ev,wtp_r_loc,,,,,99999,,baseline,1,0
federal_ev,wtp_e_cost,,,,,99999,,baseline,1,0
federal_ev,WTP_cc,1.379180332382564,,,,99999,,baseline,1,0
federal_ev,wtp_install,,,,,99999,,baseline,1,0
federal_ev,wtp_prod,,,,,99999,,baseline,1,0
federal_ev,wtp_prod_s,-.1312226768151885,,,,99999,,baseline,1,0
federal_ev,wtp_prod_u,.017824937564932,,,,99999,,baseline,1,0
federal_ev,wtp_cons,1,,,,99999,,baseline,1,0
federal_ev,wtp_deal,0,,,,99999,,baseline,1,0
federal_ev,admin_cost,,,,,99999,,baseline,1,0
federal_ev,wtp_permits,,,,,99999,,baseline,1,0
federal_ev,wtp_abatement,,,,,99999,,baseline,1,0
federal_ev,permitrev,,,,,99999,,baseline,1,0
federal_ev,wtp_no_leak,,,,,99999,,baseline,1,0
federal_ev,wtp_leak,,,,,99999,,baseline,1,0
federal_ev,wtp_soc_g,,,,,99999,,baseline,1,0
federal_ev,wtp_soc_l,,,,,99999,,baseline,1,0
federal_ev,fisc_ext_t,,,,,99999,,baseline,1,0
federal_ev,fisc_ext_s,,,,,99999,,baseline,1,0
federal_ev,fisc_ext_lr,-.00413248694702,,,,99999,,baseline,1,0
federal_ev,q_CO2,.0007040951376265,,,,99999,,baseline,1,0
federal_ev,q_CO2_no,,,,,99999,,baseline,1,0
federal_ev,p_spend,,,,,99999,,baseline,1,0
federal_ev,ev_sub_c,,,,,99999,,baseline,1,0
federal_ev,ev_sub_c_row,,,,,99999,,baseline,1,0
federal_ev,ev_sub_c_us,,,,,99999,,baseline,1,0
federal_ev,ev_sub_env,,,,,99999,,baseline,1,0
federal_ev,ev_sub_cost,,,,,99999,,baseline,1,0
federal_ev,profits_fisc_e,.0251992952472155,,,,99999,,baseline,1,0
federal_ev,wtp_soc_l_po,,,,,99999,,baseline,1,0
federal_ev,wtp_soc_l_dr,,,,,99999,,baseline,1,0
federal_ev,gov_carbon,.0007040951376265,,,,99999,,baseline,1,0
federal_ev,resource_ce,782.4282683684328,,,,99999,,baseline,1,0
federal_ev,q_carbon_mck,8.85455592778181,,,,99999,,baseline,1,0
federal_ev,semie,.0000664939345198,,,,99999,,baseline,1,0
federal_ev,pass_through,,,,,99999,,baseline,1,0
federal_ev,permitrev_new,,,,,99999,,baseline,1,0
federal_ev,permitrev_ex,,,,,99999,,baseline,1,0
federal_ev,fiscalext,,,,,99999,,baseline,1,0
federal_ev,firm_cost_wtp,,,,,99999,,baseline,1,0
federal_ev,c_savings,0,,,,99999,,baseline,1,0
federal_ev,resource_cost,,,,,99999,,baseline,1,0
federal_ev,q_CO2_mck,,,,,99999,,baseline,1,0
federal_ev,q_CO2_mck_no,,,,,99999,,baseline,1,0
federal_ev,wtp_ctr,,,,,99999,,baseline,1,0
federal_ev,gas_corp_fisc_e,.0348819773812526,,,,99999,,baseline,1,0
federal_ev,epsilon,,,,,99999,,baseline,1,0
federal_ev,transfer,,,,,99999,,baseline,1,0
federal_ev,enviro_wtp,,,,,99999,,baseline,1,0
federal_ev,cost_curve,,,,,99999,,baseline,1,0
federal_ev,profits,,,,,99999,,baseline,1,0
federal_ev,subsidies,,,,,99999,,baseline,1,0
federal_ev,taxes,,,,,99999,,baseline,1,0
federal_ev,wtp_batt,,,,,99999,,baseline,1,0
federal_ev,wtp_local_w_r,,,,,99999,,baseline,1,0
federal_ev,wind_g_wf,,,,,99999,,baseline,1,0
federal_ev,wind_l_wf,,,,,99999,,baseline,1,0
