program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
food_labels,MVPF,7.015450772444961,,,,99999,,baseline,1,0
food_labels,MVPF_no_cc,,,,,99999,,baseline,1,0
food_labels,cost,76.69269466683185,,,,99999,.87950337,baseline,1,0
food_labels,WTP,538.033824041311,,,,99999,6.1701126,baseline,1,0
food_labels,program_cost,87.2,,,,99999,,baseline,1,0
food_labels,total_cost,76.69269466683185,,,,99999,,baseline,1,0
food_labels,beh_fisc_ext,,,,,99999,,baseline,1,0
food_labels,utility_fisc_ext,,,,,99999,,baseline,1,0
food_labels,gas_fisc_ext,,,,,99999,,baseline,1,0
food_labels,fed_fisc_ext,,,,,99999,,baseline,1,0
food_labels,state_fisc_ext,,,,,99999,,baseline,1,0
food_labels,WTP_USPres,0,,,,99999,,baseline,1,0
food_labels,WTP_USFut,71.77386407300372,,,,99999,,baseline,1,0
food_labels,WTP_RoW,466.2599599683073,,,,99999,,baseline,1,0
food_labels,WTP_USTotal,,,,,99999,,baseline,1,0
food_labels,enviro_mvpf,,,,,99999,,baseline,1,0
food_labels,cost_mvpf,,,,,99999,,baseline,1,0
food_labels,firm_mvpf,,,,,99999,,baseline,1,0
food_labels,cost_wtp,,,,,99999,,baseline,1,0
food_labels,env_cost_wtp,,,,,99999,,baseline,1,0
food_labels,marginal,,,,,99999,,baseline,1,0
food_labels,infmarg,,,,,99999,,baseline,1,0
food_labels,wtp_private,,,,,99999,,baseline,1,0
food_labels,wtp_soc,,,,,99999,,baseline,1,0
food_labels,wtp_no_ice,,,,,99999,,baseline,1,0
food_labels,wtp_yes_ev,,,,,99999,,baseline,1,0
food_labels,wtp_yes_hev,,,,,99999,,baseline,1,0
food_labels,wtp_soc_rbd,,,,,99999,,baseline,1,0
food_labels,wtp_yes_ev_local,,,,,99999,,baseline,1,0
food_labels,wtp_no_ice_local,,,,,99999,,baseline,1,0
food_labels,env_cost_wtp_l,,,,,99999,,baseline,1,0
food_labels,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
food_labels,wtp_yes_ev_g,,,,,99999,,baseline,1,0
food_labels,wtp_no_ice_g,,,,,99999,,baseline,1,0
food_labels,env_cost_wtp_g,,,,,99999,,baseline,1,0
food_labels,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
food_labels,wtp_marg,,,,,99999,,baseline,1,0
food_labels,wtp_inf,,,,,99999,,baseline,1,0
food_labels,wtp_glob,538.033824041311,,,,99999,,baseline,1,0
food_labels,wtp_loc,0,,,,99999,,baseline,1,0
food_labels,wtp_r_glob,,,,,99999,,baseline,1,0
food_labels,wtp_r_loc,,,,,99999,,baseline,1,0
food_labels,wtp_e_cost,,,,,99999,,baseline,1,0
food_labels,WTP_cc,,,,,99999,,baseline,1,0
food_labels,wtp_install,,,,,99999,,baseline,1,0
food_labels,wtp_prod,,,,,99999,,baseline,1,0
food_labels,wtp_prod_s,,,,,99999,,baseline,1,0
food_labels,wtp_prod_u,,,,,99999,,baseline,1,0
food_labels,wtp_cons,0,,,,99999,,baseline,1,0
food_labels,wtp_deal,,,,,99999,,baseline,1,0
food_labels,admin_cost,,,,,99999,,baseline,1,0
food_labels,wtp_permits,,,,,99999,,baseline,1,0
food_labels,wtp_abatement,,,,,99999,,baseline,1,0
food_labels,permitrev,,,,,99999,,baseline,1,0
food_labels,wtp_no_leak,,,,,99999,,baseline,1,0
food_labels,wtp_leak,,,,,99999,,baseline,1,0
food_labels,wtp_soc_g,,,,,99999,,baseline,1,0
food_labels,wtp_soc_l,,,,,99999,,baseline,1,0
food_labels,fisc_ext_t,0,,,,99999,,baseline,1,0
food_labels,fisc_ext_s,0,,,,99999,,baseline,1,0
food_labels,fisc_ext_lr,-10.50730533316815,,,,99999,,baseline,1,0
food_labels,q_CO2,2.842182017484348,,,,99999,,baseline,1,0
food_labels,q_CO2_no,,,,,99999,,baseline,1,0
food_labels,p_spend,87.2,,,,99999,,baseline,1,0
food_labels,ev_sub_c,,,,,99999,,baseline,1,0
food_labels,ev_sub_c_row,,,,,99999,,baseline,1,0
food_labels,ev_sub_c_us,,,,,99999,,baseline,1,0
food_labels,ev_sub_env,,,,,99999,,baseline,1,0
food_labels,ev_sub_cost,,,,,99999,,baseline,1,0
food_labels,profits_fisc_e,,,,,99999,,baseline,1,0
food_labels,wtp_soc_l_po,,,,,99999,,baseline,1,0
food_labels,wtp_soc_l_dr,,,,,99999,,baseline,1,0
food_labels,gov_carbon,,,,,99999,,baseline,1,0
food_labels,resource_ce,,,,,99999,,baseline,1,0
food_labels,q_carbon_mck,,,,,99999,,baseline,1,0
food_labels,semie,,,,,99999,,baseline,1,0
food_labels,pass_through,,,,,99999,,baseline,1,0
food_labels,permitrev_new,,,,,99999,,baseline,1,0
food_labels,permitrev_ex,,,,,99999,,baseline,1,0
food_labels,fiscalext,,,,,99999,,baseline,1,0
food_labels,firm_cost_wtp,,,,,99999,,baseline,1,0
food_labels,c_savings,,,,,99999,,baseline,1,0
food_labels,resource_cost,,,,,99999,,baseline,1,0
food_labels,q_CO2_mck,,,,,99999,,baseline,1,0
food_labels,q_CO2_mck_no,,,,,99999,,baseline,1,0
food_labels,wtp_ctr,,,,,99999,,baseline,1,0
food_labels,gas_corp_fisc_e,,,,,99999,,baseline,1,0
food_labels,epsilon,,,,,99999,,baseline,1,0
food_labels,transfer,,,,,99999,,baseline,1,0
food_labels,enviro_wtp,,,,,99999,,baseline,1,0
food_labels,cost_curve,,,,,99999,,baseline,1,0
food_labels,profits,,,,,99999,,baseline,1,0
food_labels,subsidies,,,,,99999,,baseline,1,0
food_labels,taxes,,,,,99999,,baseline,1,0
food_labels,wtp_batt,,,,,99999,,baseline,1,0
food_labels,wtp_local_w_r,,,,,99999,,baseline,1,0
