program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
fridge_datta,MVPF,1.113247748738497,,,,99999,,baseline,1,0
fridge_datta,MVPF_no_cc,,,,,99999,,baseline,1,0
fridge_datta,cost,1.153195671647441,,,,99999,1.1531956,baseline,1,0
fridge_datta,WTP,1.283792485316493,,,,99999,1.2837925,baseline,1,0
fridge_datta,program_cost,1,,,,99999,,baseline,1,0
fridge_datta,total_cost,1.153195671647441,,,,99999,,baseline,1,0
fridge_datta,beh_fisc_ext,,,,,99999,,baseline,1,0
fridge_datta,utility_fisc_ext,,,,,99999,,baseline,1,0
fridge_datta,gas_fisc_ext,,,,,99999,,baseline,1,0
fridge_datta,fed_fisc_ext,,,,,99999,,baseline,1,0
fridge_datta,state_fisc_ext,,,,,99999,,baseline,1,0
fridge_datta,WTP_USPres,1.100598667175964,,,,99999,,baseline,1,0
fridge_datta,WTP_USFut,.0244381070756312,,,,99999,,baseline,1,0
fridge_datta,WTP_RoW,.1587557110648976,,,,99999,,baseline,1,0
fridge_datta,WTP_USTotal,,,,,99999,,baseline,1,0
fridge_datta,enviro_mvpf,,,,,99999,,baseline,1,0
fridge_datta,cost_mvpf,,,,,99999,,baseline,1,0
fridge_datta,firm_mvpf,,,,,99999,,baseline,1,0
fridge_datta,cost_wtp,,,,,99999,,baseline,1,0
fridge_datta,env_cost_wtp,,,,,99999,,baseline,1,0
fridge_datta,marginal,,,,,99999,,baseline,1,0
fridge_datta,infmarg,,,,,99999,,baseline,1,0
fridge_datta,wtp_private,,,,,99999,,baseline,1,0
fridge_datta,wtp_soc,.3042211674649337,,,,99999,,baseline,1,0
fridge_datta,wtp_no_ice,,,,,99999,,baseline,1,0
fridge_datta,wtp_yes_ev,,,,,99999,,baseline,1,0
fridge_datta,wtp_yes_hev,,,,,99999,,baseline,1,0
fridge_datta,wtp_soc_rbd,,,,,99999,,baseline,1,0
fridge_datta,wtp_yes_ev_local,,,,,99999,,baseline,1,0
fridge_datta,wtp_no_ice_local,,,,,99999,,baseline,1,0
fridge_datta,env_cost_wtp_l,,,,,99999,,baseline,1,0
fridge_datta,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
fridge_datta,wtp_yes_ev_g,,,,,99999,,baseline,1,0
fridge_datta,wtp_no_ice_g,,,,,99999,,baseline,1,0
fridge_datta,env_cost_wtp_g,,,,,99999,,baseline,1,0
fridge_datta,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
fridge_datta,wtp_marg,,,,,99999,,baseline,1,0
fridge_datta,wtp_inf,,,,,99999,,baseline,1,0
fridge_datta,wtp_glob,.227815046138838,,,,99999,,baseline,1,0
fridge_datta,wtp_loc,.1460574315216738,,,,99999,,baseline,1,0
fridge_datta,wtp_r_glob,-.0446212279983093,,,,99999,,baseline,1,0
fridge_datta,wtp_r_loc,-.0286076888389726,,,,99999,,baseline,1,0
fridge_datta,wtp_e_cost,,,,,99999,,baseline,1,0
fridge_datta,WTP_cc,,,,,99999,,baseline,1,0
fridge_datta,wtp_install,,,,,99999,,baseline,1,0
fridge_datta,wtp_prod,-.0168510755067369,,,,99999,,baseline,1,0
fridge_datta,wtp_prod_s,,,,,99999,,baseline,1,0
fridge_datta,wtp_prod_u,,,,,99999,,baseline,1,0
fridge_datta,wtp_cons,1,,,,99999,,baseline,1,0
fridge_datta,wtp_deal,,,,,99999,,baseline,1,0
fridge_datta,admin_cost,,,,,99999,,baseline,1,0
fridge_datta,wtp_permits,,,,,99999,,baseline,1,0
fridge_datta,wtp_abatement,,,,,99999,,baseline,1,0
fridge_datta,permitrev,,,,,99999,,baseline,1,0
fridge_datta,wtp_no_leak,,,,,99999,,baseline,1,0
fridge_datta,wtp_leak,,,,,99999,,baseline,1,0
fridge_datta,wtp_soc_g,,,,,99999,,baseline,1,0
fridge_datta,wtp_soc_l,,,,,99999,,baseline,1,0
fridge_datta,fisc_ext_t,.0091536706456353,,,,99999,,baseline,1,0
fridge_datta,fisc_ext_s,.147619607643509,,,,99999,,baseline,1,0
fridge_datta,fisc_ext_lr,-.0035776066417037,,,,99999,,baseline,1,0
fridge_datta,q_CO2,.0014913347829613,,,,99999,,baseline,1,0
fridge_datta,q_CO2_no,,,,,99999,,baseline,1,0
fridge_datta,p_spend,1.147619607643509,,,,99999,,baseline,1,0
fridge_datta,ev_sub_c,,,,,99999,,baseline,1,0
fridge_datta,ev_sub_c_row,,,,,99999,,baseline,1,0
fridge_datta,ev_sub_c_us,,,,,99999,,baseline,1,0
fridge_datta,ev_sub_env,,,,,99999,,baseline,1,0
fridge_datta,ev_sub_cost,,,,,99999,,baseline,1,0
fridge_datta,profits_fisc_e,,,,,99999,,baseline,1,0
fridge_datta,wtp_soc_l_po,,,,,99999,,baseline,1,0
fridge_datta,wtp_soc_l_dr,,,,,99999,,baseline,1,0
fridge_datta,gov_carbon,.0018545849736488,,,,99999,,baseline,1,0
fridge_datta,resource_ce,-375.8435340201461,,,,99999,,baseline,1,0
fridge_datta,q_carbon_mck,.6576542459747553,,,,99999,,baseline,1,0
fridge_datta,semie,.00282,,,,99999,,baseline,1,0
fridge_datta,pass_through,,,,,99999,,baseline,1,0
fridge_datta,permitrev_new,,,,,99999,,baseline,1,0
fridge_datta,permitrev_ex,,,,,99999,,baseline,1,0
fridge_datta,fiscalext,,,,,99999,,baseline,1,0
fridge_datta,firm_cost_wtp,,,,,99999,,baseline,1,0
fridge_datta,c_savings,0,,,,99999,,baseline,1,0
fridge_datta,resource_cost,,,,,99999,,baseline,1,0
fridge_datta,q_CO2_mck,,,,,99999,,baseline,1,0
fridge_datta,q_CO2_mck_no,,,,,99999,,baseline,1,0
fridge_datta,wtp_ctr,,,,,99999,,baseline,1,0
fridge_datta,gas_corp_fisc_e,,,,,99999,,baseline,1,0
fridge_datta,epsilon,,,,,99999,,baseline,1,0
fridge_datta,transfer,,,,,99999,,baseline,1,0
fridge_datta,enviro_wtp,,,,,99999,,baseline,1,0
fridge_datta,cost_curve,,,,,99999,,baseline,1,0
fridge_datta,profits,,,,,99999,,baseline,1,0
fridge_datta,subsidies,,,,,99999,,baseline,1,0
fridge_datta,taxes,,,,,99999,,baseline,1,0
fridge_datta,wtp_batt,,,,,99999,,baseline,1,0
fridge_datta,wtp_local_w_r,,,,,99999,,baseline,1,0
fridge_datta,wind_g_wf,,,,,99999,,baseline,1,0
fridge_datta,wind_l_wf,,,,,99999,,baseline,1,0
