program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
fridge_mex,MVPF,.8294565806833669,,,,,baseline,1,0
fridge_mex,MVPF_no_cc,,,,,,baseline,1,0
fridge_mex,cost,140.5756625377013,,,,.99847305,baseline,1,0
fridge_mex,WTP,116.6014083758206,,,,.82819003,baseline,1,0
fridge_mex,program_cost,140.7906469096189,,,,,baseline,1,0
fridge_mex,total_cost,140.5756625377013,,,,,baseline,1,0
fridge_mex,beh_fisc_ext,,,,,,baseline,1,0
fridge_mex,utility_fisc_ext,,,,,,baseline,1,0
fridge_mex,gas_fisc_ext,,,,,,baseline,1,0
fridge_mex,fed_fisc_ext,,,,,,baseline,1,0
fridge_mex,state_fisc_ext,,,,,,baseline,1,0
fridge_mex,WTP_USPres,0,,,,,baseline,1,0
fridge_mex,WTP_USFut,1.468526762910986,,,,,baseline,1,0
fridge_mex,WTP_RoW,115.1328816129096,,,,,baseline,1,0
fridge_mex,WTP_USTotal,,,,,,baseline,1,0
fridge_mex,enviro_mvpf,,,,,,baseline,1,0
fridge_mex,cost_mvpf,,,,,,baseline,1,0
fridge_mex,firm_mvpf,,,,,,baseline,1,0
fridge_mex,cost_wtp,,,,,,baseline,1,0
fridge_mex,env_cost_wtp,,,,,,baseline,1,0
fridge_mex,marginal,,,,,,baseline,1,0
fridge_mex,infmarg,,,,,,baseline,1,0
fridge_mex,wtp_private,,,,,,baseline,1,0
fridge_mex,wtp_soc,,,,,,baseline,1,0
fridge_mex,wtp_no_ice,,,,,,baseline,1,0
fridge_mex,wtp_yes_ev,,,,,,baseline,1,0
fridge_mex,wtp_yes_hev,,,,,,baseline,1,0
fridge_mex,wtp_soc_rbd,,,,,,baseline,1,0
fridge_mex,wtp_yes_ev_local,,,,,,baseline,1,0
fridge_mex,wtp_no_ice_local,,,,,,baseline,1,0
fridge_mex,env_cost_wtp_l,,,,,,baseline,1,0
fridge_mex,wtp_soc_rbd_l,,,,,,baseline,1,0
fridge_mex,wtp_yes_ev_g,,,,,,baseline,1,0
fridge_mex,wtp_no_ice_g,,,,,,baseline,1,0
fridge_mex,env_cost_wtp_g,,,,,,baseline,1,0
fridge_mex,wtp_soc_rbd_g,,,,,,baseline,1,0
fridge_mex,wtp_marg,35.19766172740473,,,,,baseline,1,0
fridge_mex,wtp_inf,70.39532345480946,,,,,baseline,1,0
fridge_mex,wtp_glob,13.68978747876461,,,,,baseline,1,0
fridge_mex,wtp_loc,0,,,,,baseline,1,0
fridge_mex,wtp_r_glob,-2.681364285158235,,,,,baseline,1,0
fridge_mex,wtp_r_loc,0,,,,,baseline,1,0
fridge_mex,wtp_e_cost,,,,,,baseline,1,0
fridge_mex,WTP_cc,,,,,,baseline,1,0
fridge_mex,wtp_install,,,,,,baseline,1,0
fridge_mex,wtp_prod,,,,,,baseline,1,0
fridge_mex,wtp_prod_s,,,,,,baseline,1,0
fridge_mex,wtp_prod_u,,,,,,baseline,1,0
fridge_mex,wtp_cons,105.5929851822142,,,,,baseline,1,0
fridge_mex,wtp_deal,,,,,,baseline,1,0
fridge_mex,admin_cost,,,,,,baseline,1,0
fridge_mex,wtp_permits,,,,,,baseline,1,0
fridge_mex,wtp_abatement,,,,,,baseline,1,0
fridge_mex,permitrev,,,,,,baseline,1,0
fridge_mex,wtp_no_leak,,,,,,baseline,1,0
fridge_mex,wtp_leak,,,,,,baseline,1,0
fridge_mex,wtp_soc_g,,,,,,baseline,1,0
fridge_mex,wtp_soc_l,,,,,,baseline,1,0
fridge_mex,fisc_ext_t,0,,,,,baseline,1,0
fridge_mex,fisc_ext_s,0,,,,,baseline,1,0
fridge_mex,fisc_ext_lr,-.214984371917612,,,,,baseline,1,0
fridge_mex,q_CO2,-.000014515312013,,,,,baseline,1,0
fridge_mex,q_CO2_no,,,,,,baseline,1,0
fridge_mex,p_spend,140.7906469096189,,,,,baseline,1,0
fridge_mex,ev_sub_c,,,,,,baseline,1,0
fridge_mex,ev_sub_c_row,,,,,,baseline,1,0
fridge_mex,ev_sub_c_us,,,,,,baseline,1,0
fridge_mex,ev_sub_env,,,,,,baseline,1,0
fridge_mex,ev_sub_cost,,,,,,baseline,1,0
fridge_mex,profits_fisc_e,,,,,,baseline,1,0
fridge_mex,wtp_soc_l_po,,,,,,baseline,1,0
fridge_mex,wtp_soc_l_dr,,,,,,baseline,1,0
fridge_mex,gov_carbon,,,,,,baseline,1,0
fridge_mex,resource_ce,,,,,,baseline,1,0
