program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
gelman_gas,MVPF,.8499147543868036,,,,,baseline,1,0
gelman_gas,MVPF_no_cc,.8510519246024181,,,,,baseline,1,0
gelman_gas,cost,.9595097103351194,,,,.95950973,baseline,1,0
gelman_gas,WTP,.8155014597912261,,,,.81550145,baseline,1,0
gelman_gas,program_cost,1,,,,,baseline,1,0
gelman_gas,total_cost,.9595097103351194,,,,,baseline,1,0
gelman_gas,beh_fisc_ext,,,,,,baseline,1,0
gelman_gas,utility_fisc_ext,,,,,,baseline,1,0
gelman_gas,gas_fisc_ext,,,,,,baseline,1,0
gelman_gas,fed_fisc_ext,,,,,,baseline,1,0
gelman_gas,state_fisc_ext,,,,,,baseline,1,0
gelman_gas,WTP_USPres,.9309744819924345,,,,,baseline,1,0
gelman_gas,WTP_USFut,-.0153722579100155,,,,,baseline,1,0
gelman_gas,WTP_RoW,-.100100764291193,,,,,baseline,1,0
gelman_gas,WTP_USTotal,,,,,,baseline,1,0
gelman_gas,enviro_mvpf,,,,,,baseline,1,0
gelman_gas,cost_mvpf,,,,,,baseline,1,0
gelman_gas,firm_mvpf,,,,,,baseline,1,0
gelman_gas,cost_wtp,-.0009543590655817,,,,,baseline,1,0
gelman_gas,env_cost_wtp,-.0001347313000716,,,,,baseline,1,0
gelman_gas,marginal,,,,,,baseline,1,0
gelman_gas,infmarg,,,,,,baseline,1,0
gelman_gas,wtp_private,,,,,,baseline,1,0
gelman_gas,wtp_soc,-.2232478071747608,,,,,baseline,1,0
gelman_gas,wtp_no_ice,,,,,,baseline,1,0
gelman_gas,wtp_yes_ev,,,,,,baseline,1,0
gelman_gas,wtp_yes_hev,,,,,,baseline,1,0
gelman_gas,wtp_soc_rbd,,,,,,baseline,1,0
gelman_gas,wtp_yes_ev_local,,,,,,baseline,1,0
gelman_gas,wtp_no_ice_local,,,,,,baseline,1,0
gelman_gas,env_cost_wtp_l,,,,,,baseline,1,0
gelman_gas,wtp_soc_rbd_l,,,,,,baseline,1,0
gelman_gas,wtp_yes_ev_g,,,,,,baseline,1,0
gelman_gas,wtp_no_ice_g,,,,,,baseline,1,0
gelman_gas,env_cost_wtp_g,,,,,,baseline,1,0
gelman_gas,wtp_soc_rbd_g,,,,,,baseline,1,0
