program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
gelman_gas,MVPF,.8499147543868036,,,,99999,,baseline,1,0
gelman_gas,MVPF_no_cc,.8510519246024181,,,,99999,,baseline,1,0
gelman_gas,cost,.9595097103351194,,,,99999,.95950973,baseline,1,0
gelman_gas,WTP,.8155014597912261,,,,99999,.81550145,baseline,1,0
gelman_gas,program_cost,1,,,,99999,,baseline,1,0
gelman_gas,total_cost,.9595097103351194,,,,99999,,baseline,1,0
gelman_gas,beh_fisc_ext,,,,,99999,,baseline,1,0
gelman_gas,utility_fisc_ext,,,,,99999,,baseline,1,0
gelman_gas,gas_fisc_ext,,,,,99999,,baseline,1,0
gelman_gas,fed_fisc_ext,,,,,99999,,baseline,1,0
gelman_gas,state_fisc_ext,,,,,99999,,baseline,1,0
gelman_gas,WTP_USPres,.9309744819924345,,,,99999,,baseline,1,0
gelman_gas,WTP_USFut,-.0153722579100155,,,,99999,,baseline,1,0
gelman_gas,WTP_RoW,-.100100764291193,,,,99999,,baseline,1,0
gelman_gas,WTP_USTotal,,,,,99999,,baseline,1,0
gelman_gas,enviro_mvpf,,,,,99999,,baseline,1,0
gelman_gas,cost_mvpf,,,,,99999,,baseline,1,0
gelman_gas,firm_mvpf,,,,,99999,,baseline,1,0
gelman_gas,cost_wtp,-.0009543590655817,,,,99999,,baseline,1,0
gelman_gas,env_cost_wtp,-.0001347313000716,,,,99999,,baseline,1,0
gelman_gas,marginal,,,,,99999,,baseline,1,0
gelman_gas,infmarg,,,,,99999,,baseline,1,0
gelman_gas,wtp_private,,,,,99999,,baseline,1,0
gelman_gas,wtp_soc,-.2232478071747608,,,,99999,,baseline,1,0
gelman_gas,wtp_no_ice,,,,,99999,,baseline,1,0
gelman_gas,wtp_yes_ev,,,,,99999,,baseline,1,0
gelman_gas,wtp_yes_hev,,,,,99999,,baseline,1,0
gelman_gas,wtp_soc_rbd,,,,,99999,,baseline,1,0
gelman_gas,wtp_yes_ev_local,,,,,99999,,baseline,1,0
gelman_gas,wtp_no_ice_local,,,,,99999,,baseline,1,0
gelman_gas,env_cost_wtp_l,,,,,99999,,baseline,1,0
gelman_gas,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
gelman_gas,wtp_yes_ev_g,,,,,99999,,baseline,1,0
gelman_gas,wtp_no_ice_g,,,,,99999,,baseline,1,0
gelman_gas,env_cost_wtp_g,,,,,99999,,baseline,1,0
gelman_gas,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
gelman_gas,wtp_marg,,,,,99999,,baseline,1,0
gelman_gas,wtp_inf,,,,,99999,,baseline,1,0
gelman_gas,wtp_glob,,,,,99999,,baseline,1,0
gelman_gas,wtp_loc,,,,,99999,,baseline,1,0
gelman_gas,wtp_r_glob,,,,,99999,,baseline,1,0
gelman_gas,wtp_r_loc,,,,,99999,,baseline,1,0
gelman_gas,wtp_e_cost,,,,,99999,,baseline,1,0
gelman_gas,WTP_cc,,,,,99999,,baseline,1,0
gelman_gas,wtp_install,,,,,99999,,baseline,1,0
gelman_gas,wtp_prod,.0398383573316402,,,,99999,,baseline,1,0
gelman_gas,wtp_prod_s,.0398596601712917,,,,99999,,baseline,1,0
gelman_gas,wtp_prod_u,-.0000213028396515,,,,99999,,baseline,1,0
gelman_gas,wtp_cons,1,,,,99999,,baseline,1,0
gelman_gas,wtp_deal,,,,,99999,,baseline,1,0
gelman_gas,admin_cost,,,,,99999,,baseline,1,0
gelman_gas,wtp_permits,,,,,99999,,baseline,1,0
gelman_gas,wtp_abatement,,,,,99999,,baseline,1,0
gelman_gas,permitrev,,,,,99999,,baseline,1,0
gelman_gas,wtp_no_leak,,,,,99999,,baseline,1,0
gelman_gas,wtp_leak,,,,,99999,,baseline,1,0
gelman_gas,wtp_soc_g,-.1143961922208617,,,,99999,,baseline,1,0
gelman_gas,wtp_soc_l,-.1088516149538991,,,,99999,,baseline,1,0
gelman_gas,fisc_ext_t,-.0421784198482559,,,,99999,,baseline,1,0
gelman_gas,fisc_ext_s,-.0005483138953149,,,,99999,,baseline,1,0
gelman_gas,fisc_ext_lr,.0022364440786902,,,,99999,,baseline,1,0
gelman_gas,q_CO2,-.0006597836801976,,,,99999,,baseline,1,0
gelman_gas,q_CO2_no,.0006590780807027,,,,99999,,baseline,1,0
gelman_gas,p_spend,.968405614107095,,,,99999,,baseline,1,0
gelman_gas,ev_sub_c,,,,,99999,,baseline,1,0
gelman_gas,ev_sub_c_row,,,,,99999,,baseline,1,0
gelman_gas,ev_sub_c_us,,,,,99999,,baseline,1,0
gelman_gas,ev_sub_env,,,,,99999,,baseline,1,0
gelman_gas,ev_sub_cost,,,,,99999,,baseline,1,0
gelman_gas,profits_fisc_e,,,,,99999,,baseline,1,0
gelman_gas,wtp_soc_l_po,-.0177335861916812,,,,99999,,baseline,1,0
gelman_gas,wtp_soc_l_dr,-.0911180287622179,,,,99999,,baseline,1,0
gelman_gas,gov_carbon,-.0006607188202642,,,,99999,,baseline,1,0
gelman_gas,resource_ce,-111.6756391438735,,,,99999,,baseline,1,0
gelman_gas,q_carbon_mck,.0090890074582455,,,,99999,,baseline,1,0
gelman_gas,semie,-.0726942763882068,,,,99999,,baseline,1,0
gelman_gas,pass_through,,,,,99999,,baseline,1,0
gelman_gas,permitrev_new,,,,,99999,,baseline,1,0
gelman_gas,permitrev_ex,,,,,99999,,baseline,1,0
gelman_gas,fiscalext,,,,,99999,,baseline,1,0
gelman_gas,firm_cost_wtp,,,,,99999,,baseline,1,0
gelman_gas,c_savings,,,,,99999,,baseline,1,0
gelman_gas,resource_cost,,,,,99999,,baseline,1,0
gelman_gas,q_CO2_mck,.0090890074582455,,,,99999,,baseline,1,0
gelman_gas,q_CO2_mck_no,.0090664370490884,,,,99999,,baseline,1,0
gelman_gas,wtp_ctr,,,,,99999,,baseline,1,0
gelman_gas,gas_corp_fisc_e,,,,,99999,,baseline,1,0
gelman_gas,epsilon,,,,,99999,,baseline,1,0
gelman_gas,transfer,,,,,99999,,baseline,1,0
gelman_gas,enviro_wtp,,,,,99999,,baseline,1,0
gelman_gas,cost_curve,,,,,99999,,baseline,1,0
gelman_gas,profits,,,,,99999,,baseline,1,0
gelman_gas,subsidies,,,,,99999,,baseline,1,0
gelman_gas,taxes,,,,,99999,,baseline,1,0
gelman_gas,wtp_batt,,,,,99999,,baseline,1,0
gelman_gas,wtp_local_w_r,,,,,99999,,baseline,1,0
gelman_gas,wind_g_wf,,,,,99999,,baseline,1,0
gelman_gas,wind_l_wf,,,,,99999,,baseline,1,0
