program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
h_gas_01_06,MVPF,.9783787225083995,,,,,baseline,1,0
h_gas_01_06,MVPF_no_cc,.9783787225083995,,,,,baseline,1,0
h_gas_01_06,cost,.9916952036524397,,,,.99169523,baseline,1,0
h_gas_01_06,WTP,.970253486467181,,,,.97025347,baseline,1,0
h_gas_01_06,program_cost,1,,,,,baseline,1,0
h_gas_01_06,total_cost,.9916952036524397,,,,,baseline,1,0
h_gas_01_06,beh_fisc_ext,,,,,,baseline,1,0
h_gas_01_06,utility_fisc_ext,,,,,,baseline,1,0
h_gas_01_06,gas_fisc_ext,,,,,,baseline,1,0
h_gas_01_06,fed_fisc_ext,,,,,,baseline,1,0
h_gas_01_06,state_fisc_ext,,,,,,baseline,1,0
h_gas_01_06,WTP_USPres,.9873918605041905,,,,,baseline,1,0
h_gas_01_06,WTP_USFut,-.0022862639365777,,,,,baseline,1,0
h_gas_01_06,WTP_RoW,-.0148521101004318,,,,,baseline,1,0
h_gas_01_06,WTP_USTotal,,,,,,baseline,1,0
h_gas_01_06,enviro_mvpf,,,,,,baseline,1,0
h_gas_01_06,cost_mvpf,,,,,,baseline,1,0
h_gas_01_06,firm_mvpf,,,,,,baseline,1,0
h_gas_01_06,cost_wtp,0,,,,,baseline,1,0
h_gas_01_06,env_cost_wtp,0,,,,,baseline,1,0
h_gas_01_06,marginal,,,,,,baseline,1,0
h_gas_01_06,infmarg,,,,,,baseline,1,0
h_gas_01_06,wtp_private,,,,,,baseline,1,0
h_gas_01_06,wtp_soc,-.0389271086861705,,,,,baseline,1,0
h_gas_01_06,wtp_no_ice,,,,,,baseline,1,0
h_gas_01_06,wtp_yes_ev,,,,,,baseline,1,0
h_gas_01_06,wtp_yes_hev,,,,,,baseline,1,0
h_gas_01_06,wtp_soc_rbd,,,,,,baseline,1,0
h_gas_01_06,wtp_yes_ev_local,,,,,,baseline,1,0
h_gas_01_06,wtp_no_ice_local,,,,,,baseline,1,0
h_gas_01_06,env_cost_wtp_l,,,,,,baseline,1,0
h_gas_01_06,wtp_soc_rbd_l,,,,,,baseline,1,0
h_gas_01_06,wtp_yes_ev_g,,,,,,baseline,1,0
h_gas_01_06,wtp_no_ice_g,,,,,,baseline,1,0
h_gas_01_06,env_cost_wtp_g,,,,,,baseline,1,0
h_gas_01_06,wtp_soc_rbd_g,,,,,,baseline,1,0
h_gas_01_06,wtp_marg,,,,,,baseline,1,0
h_gas_01_06,wtp_inf,,,,,,baseline,1,0
h_gas_01_06,wtp_glob,,,,,,baseline,1,0
h_gas_01_06,wtp_loc,,,,,,baseline,1,0
h_gas_01_06,wtp_r_glob,,,,,,baseline,1,0
h_gas_01_06,wtp_r_loc,,,,,,baseline,1,0
h_gas_01_06,wtp_e_cost,,,,,,baseline,1,0
h_gas_01_06,WTP_cc,,,,,,baseline,1,0
h_gas_01_06,wtp_install,,,,,,baseline,1,0
h_gas_01_06,wtp_prod,.0091805951533515,,,,,baseline,1,0
h_gas_01_06,wtp_prod_s,.0091805951533515,,,,,baseline,1,0
h_gas_01_06,wtp_prod_u,0,,,,,baseline,1,0
h_gas_01_06,wtp_cons,1,,,,,baseline,1,0
h_gas_01_06,wtp_deal,,,,,,baseline,1,0
h_gas_01_06,admin_cost,,,,,,baseline,1,0
h_gas_01_06,wtp_permits,,,,,,baseline,1,0
h_gas_01_06,wtp_abatement,,,,,,baseline,1,0
h_gas_01_06,permitrev,,,,,,baseline,1,0
h_gas_01_06,wtp_no_leak,,,,,,baseline,1,0
h_gas_01_06,wtp_leak,,,,,,baseline,1,0
h_gas_01_06,wtp_soc_g,-.0171383740370095,,,,,baseline,1,0
h_gas_01_06,wtp_soc_l,-.021788734649161,,,,,baseline,1,0
h_gas_01_06,fisc_ext_t,-.0086394930169412,,,,,baseline,1,0
h_gas_01_06,fisc_ext_s,0,,,,,baseline,1,0
