program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
h_gas_01_06,MVPF,.9783787225083995,,,,99999,,baseline,1,0
h_gas_01_06,MVPF_no_cc,.9783787225083995,,,,99999,,baseline,1,0
h_gas_01_06,cost,.9916952036524397,,,,99999,.99169523,baseline,1,0
h_gas_01_06,WTP,.970253486467181,,,,99999,.97025347,baseline,1,0
h_gas_01_06,program_cost,1,,,,99999,,baseline,1,0
h_gas_01_06,total_cost,.9916952036524397,,,,99999,,baseline,1,0
h_gas_01_06,beh_fisc_ext,,,,,99999,,baseline,1,0
h_gas_01_06,utility_fisc_ext,,,,,99999,,baseline,1,0
h_gas_01_06,gas_fisc_ext,,,,,99999,,baseline,1,0
h_gas_01_06,fed_fisc_ext,,,,,99999,,baseline,1,0
h_gas_01_06,state_fisc_ext,,,,,99999,,baseline,1,0
h_gas_01_06,WTP_USPres,.9873918605041905,,,,99999,,baseline,1,0
h_gas_01_06,WTP_USFut,-.0022862639365777,,,,99999,,baseline,1,0
h_gas_01_06,WTP_RoW,-.0148521101004318,,,,99999,,baseline,1,0
h_gas_01_06,WTP_USTotal,,,,,99999,,baseline,1,0
h_gas_01_06,enviro_mvpf,,,,,99999,,baseline,1,0
h_gas_01_06,cost_mvpf,,,,,99999,,baseline,1,0
h_gas_01_06,firm_mvpf,,,,,99999,,baseline,1,0
h_gas_01_06,cost_wtp,0,,,,99999,,baseline,1,0
h_gas_01_06,env_cost_wtp,0,,,,99999,,baseline,1,0
h_gas_01_06,marginal,,,,,99999,,baseline,1,0
h_gas_01_06,infmarg,,,,,99999,,baseline,1,0
h_gas_01_06,wtp_private,,,,,99999,,baseline,1,0
h_gas_01_06,wtp_soc,-.0389271086861705,,,,99999,,baseline,1,0
h_gas_01_06,wtp_no_ice,,,,,99999,,baseline,1,0
h_gas_01_06,wtp_yes_ev,,,,,99999,,baseline,1,0
h_gas_01_06,wtp_yes_hev,,,,,99999,,baseline,1,0
h_gas_01_06,wtp_soc_rbd,,,,,99999,,baseline,1,0
h_gas_01_06,wtp_yes_ev_local,,,,,99999,,baseline,1,0
h_gas_01_06,wtp_no_ice_local,,,,,99999,,baseline,1,0
h_gas_01_06,env_cost_wtp_l,,,,,99999,,baseline,1,0
h_gas_01_06,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
h_gas_01_06,wtp_yes_ev_g,,,,,99999,,baseline,1,0
h_gas_01_06,wtp_no_ice_g,,,,,99999,,baseline,1,0
h_gas_01_06,env_cost_wtp_g,,,,,99999,,baseline,1,0
h_gas_01_06,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
