program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
hancevic_rf,MVPF,.8736044530111496,,,,,baseline,1,0
hancevic_rf,MVPF_no_cc,,,,,,baseline,1,0
hancevic_rf,cost,3478.696355083233,,,,1.0055708,baseline,1,0
hancevic_rf,WTP,3039.004626474368,,,,.87847108,baseline,1,0
hancevic_rf,program_cost,3459.424888888889,,,,,baseline,1,0
hancevic_rf,total_cost,3478.696355083233,,,,,baseline,1,0
hancevic_rf,beh_fisc_ext,,,,,,baseline,1,0
hancevic_rf,utility_fisc_ext,,,,,,baseline,1,0
hancevic_rf,gas_fisc_ext,,,,,,baseline,1,0
hancevic_rf,fed_fisc_ext,,,,,,baseline,1,0
hancevic_rf,state_fisc_ext,,,,,,baseline,1,0
hancevic_rf,WTP_USPres,2652.809583372328,,,,,baseline,1,0
hancevic_rf,WTP_USFut,51.51852781498243,,,,,baseline,1,0
hancevic_rf,WTP_RoW,334.6765152870577,,,,,baseline,1,0
hancevic_rf,WTP_USTotal,,,,,,baseline,1,0
hancevic_rf,enviro_mvpf,,,,,,baseline,1,0
hancevic_rf,cost_mvpf,,,,,,baseline,1,0
hancevic_rf,firm_mvpf,,,,,,baseline,1,0
hancevic_rf,cost_wtp,,,,,,baseline,1,0
hancevic_rf,env_cost_wtp,,,,,,baseline,1,0
hancevic_rf,marginal,,,,,,baseline,1,0
hancevic_rf,infmarg,,,,,,baseline,1,0
hancevic_rf,wtp_private,,,,,,baseline,1,0
hancevic_rf,wtp_soc,501.339209240081,,,,,baseline,1,0
hancevic_rf,wtp_no_ice,,,,,,baseline,1,0
hancevic_rf,wtp_yes_ev,,,,,,baseline,1,0
hancevic_rf,wtp_yes_hev,,,,,,baseline,1,0
hancevic_rf,wtp_soc_rbd,,,,,,baseline,1,0
hancevic_rf,wtp_yes_ev_local,,,,,,baseline,1,0
hancevic_rf,wtp_no_ice_local,,,,,,baseline,1,0
hancevic_rf,env_cost_wtp_l,,,,,,baseline,1,0
hancevic_rf,wtp_soc_rbd_l,,,,,,baseline,1,0
hancevic_rf,wtp_yes_ev_g,,,,,,baseline,1,0
hancevic_rf,wtp_no_ice_g,,,,,,baseline,1,0
hancevic_rf,env_cost_wtp_g,,,,,,baseline,1,0
hancevic_rf,wtp_soc_rbd_g,,,,,,baseline,1,0
hancevic_rf,wtp_marg,864.8562222222223,,,,,baseline,1,0
hancevic_rf,wtp_inf,1729.712444444445,,,,,baseline,1,0
hancevic_rf,wtp_glob,480.2620659142067,,,,,baseline,1,0
hancevic_rf,wtp_loc,133.8112006911637,,,,,baseline,1,0
hancevic_rf,wtp_r_glob,-94.06702281216666,,,,,baseline,1,0
hancevic_rf,wtp_r_loc,-26.20906825938584,,,,,baseline,1,0
hancevic_rf,wtp_e_cost,,,,,,baseline,1,0
hancevic_rf,WTP_cc,,,,,,baseline,1,0
hancevic_rf,wtp_install,,,,,,baseline,1,0
hancevic_rf,wtp_prod,-49.36121572611733,,,,,baseline,1,0
hancevic_rf,wtp_prod_s,,,,,,baseline,1,0
hancevic_rf,wtp_prod_u,,,,,,baseline,1,0
hancevic_rf,wtp_cons,,,,,,baseline,1,0
hancevic_rf,wtp_deal,,,,,,baseline,1,0
hancevic_rf,admin_cost,,,,,,baseline,1,0
hancevic_rf,wtp_permits,,,,,,baseline,1,0
hancevic_rf,wtp_abatement,,,,,,baseline,1,0
hancevic_rf,permitrev,,,,,,baseline,1,0
hancevic_rf,wtp_no_leak,,,,,,baseline,1,0
hancevic_rf,wtp_leak,,,,,,baseline,1,0
hancevic_rf,wtp_soc_g,,,,,,baseline,1,0
hancevic_rf,wtp_soc_l,,,,,,baseline,1,0
hancevic_rf,fisc_ext_t,26.81349990060685,,,,,baseline,1,0
hancevic_rf,fisc_ext_s,0,,,,,baseline,1,0
hancevic_rf,fisc_ext_lr,-7.542033706263048,,,,,baseline,1,0
hancevic_rf,q_CO2,2.843588364871854,,,,,baseline,1,0
hancevic_rf,q_CO2_no,,,,,,baseline,1,0
hancevic_rf,p_spend,3459.424888888889,,,,,baseline,1,0
hancevic_rf,ev_sub_c,,,,,,baseline,1,0
hancevic_rf,ev_sub_c_row,,,,,,baseline,1,0
hancevic_rf,ev_sub_c_us,,,,,,baseline,1,0
hancevic_rf,ev_sub_env,,,,,,baseline,1,0
hancevic_rf,ev_sub_cost,,,,,,baseline,1,0
hancevic_rf,profits_fisc_e,,,,,,baseline,1,0
hancevic_rf,wtp_soc_l_po,,,,,,baseline,1,0
hancevic_rf,wtp_soc_l_dr,,,,,,baseline,1,0
hancevic_rf,gov_carbon,3.536212199290508,,,,,baseline,1,0
hancevic_rf,resource_ce,365.7808303409418,,,,,baseline,1,0
hancevic_rf,q_carbon_mck,7.072424398581016,,,,,baseline,1,0
hancevic_rf,semie,,,,,,baseline,1,0
hancevic_rf,pass_through,,,,,,baseline,1,0
hancevic_rf,permitrev_new,,,,,,baseline,1,0
hancevic_rf,permitrev_ex,,,,,,baseline,1,0
