program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
her_compiled,MVPF,4.395407529220123,,,,99999,,baseline,1,0
her_compiled,MVPF_no_cc,,,,,99999,,baseline,1,0
her_compiled,cost,7.983209361840998,,,,99999,1.0904089,baseline,1,0
her_compiled,WTP,35.0894585363765,,,,99999,4.7927914,baseline,1,0
her_compiled,program_cost,7.321298811584711,,,,99999,,baseline,1,0
her_compiled,total_cost,,,,,99999,,baseline,1,0
her_compiled,beh_fisc_ext,,,,,99999,,baseline,1,0
her_compiled,utility_fisc_ext,,,,,99999,,baseline,1,0
her_compiled,gas_fisc_ext,,,,,99999,,baseline,1,0
her_compiled,fed_fisc_ext,,,,,99999,,baseline,1,0
her_compiled,state_fisc_ext,,,,,99999,,baseline,1,0
her_compiled,WTP_USPres,16.45522666888375,,,,99999,,baseline,1,0
her_compiled,WTP_USFut,2.485811793608665,,,,99999,,baseline,1,0
her_compiled,WTP_RoW,16.1484200738841,,,,99999,,baseline,1,0
her_compiled,WTP_USTotal,,,,,99999,,baseline,1,0
her_compiled,enviro_mvpf,,,,,99999,,baseline,1,0
her_compiled,cost_mvpf,,,,,99999,,baseline,1,0
her_compiled,firm_mvpf,,,,,99999,,baseline,1,0
her_compiled,cost_wtp,,,,,99999,,baseline,1,0
her_compiled,env_cost_wtp,,,,,99999,,baseline,1,0
her_compiled,marginal,,,,,99999,,baseline,1,0
her_compiled,infmarg,,,,,99999,,baseline,1,0
her_compiled,wtp_private,,,,,99999,,baseline,1,0
her_compiled,wtp_soc,37.3418091967923,,,,99999,,baseline,1,0
her_compiled,wtp_no_ice,,,,,99999,,baseline,1,0
her_compiled,wtp_yes_ev,,,,,99999,,baseline,1,0
her_compiled,wtp_yes_hev,,,,,99999,,baseline,1,0
her_compiled,wtp_soc_rbd,-9.006850311119766,,,,99999,,baseline,1,0
her_compiled,wtp_yes_ev_local,,,,,99999,,baseline,1,0
her_compiled,wtp_no_ice_local,,,,,99999,,baseline,1,0
her_compiled,env_cost_wtp_l,,,,,99999,,baseline,1,0
her_compiled,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
her_compiled,wtp_yes_ev_g,,,,,99999,,baseline,1,0
her_compiled,wtp_no_ice_g,,,,,99999,,baseline,1,0
her_compiled,env_cost_wtp_g,,,,,99999,,baseline,1,0
her_compiled,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
her_compiled,wtp_marg,,,,,99999,,baseline,1,0
her_compiled,wtp_inf,,,,,99999,,baseline,1,0
her_compiled,wtp_glob,23.17304391460519,,,,99999,,baseline,1,0
her_compiled,wtp_loc,22.81170619740658,,,,99999,,baseline,1,0
her_compiled,wtp_r_glob,-4.538812047112432,,,,99999,,baseline,1,0
her_compiled,wtp_r_loc,-4.468038264007334,,,,99999,,baseline,1,0
her_compiled,wtp_e_cost,,,,,99999,,baseline,1,0
her_compiled,WTP_cc,,,,,99999,,baseline,1,0
her_compiled,wtp_install,,,,,99999,,baseline,1,0
her_compiled,wtp_prod,-1.888441264515497,,,,99999,,baseline,1,0
her_compiled,wtp_prod_s,,,,,99999,,baseline,1,0
her_compiled,wtp_prod_u,,,,,99999,,baseline,1,0
her_compiled,wtp_cons,0,,,,99999,,baseline,1,0
her_compiled,wtp_deal,,,,,99999,,baseline,1,0
her_compiled,admin_cost,,,,,99999,,baseline,1,0
her_compiled,wtp_permits,,,,,99999,,baseline,1,0
her_compiled,wtp_abatement,,,,,99999,,baseline,1,0
her_compiled,permitrev,,,,,99999,,baseline,1,0
her_compiled,wtp_no_leak,,,,,99999,,baseline,1,0
her_compiled,wtp_leak,,,,,99999,,baseline,1,0
her_compiled,wtp_soc_g,,,,,99999,,baseline,1,0
her_compiled,wtp_soc_l,,,,,99999,,baseline,1,0
her_compiled,fisc_ext_t,1.02581994615658,,,,99999,,baseline,1,0
her_compiled,fisc_ext_s,0,,,,99999,,baseline,1,0
her_compiled,fisc_ext_lr,-.3639093959002941,,,,99999,,baseline,1,0
her_compiled,q_CO2,.1263418168326042,,,,99999,,baseline,1,0
her_compiled,q_CO2_no,,,,,99999,,baseline,1,0
her_compiled,p_spend,7.321298811584711,,,,99999,,baseline,1,0
her_compiled,ev_sub_c,,,,,99999,,baseline,1,0
