program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
hev_usa_i,MVPF,.9401792181558568,,,,,baseline,1,0
hev_usa_i,MVPF_no_cc,.9314162109436344,,,,,baseline,1,0
hev_usa_i,cost,1.074982456590376,,,,1.0749824,baseline,1,0
hev_usa_i,WTP,1.001256086548288,,,,1.0012561,baseline,1,0
hev_usa_i,program_cost,1,,,,,baseline,1,0
hev_usa_i,total_cost,1.074982456590376,,,,,baseline,1,0
hev_usa_i,beh_fisc_ext,.0480629,,,,,baseline,1,0
hev_usa_i,utility_fisc_ext,,,,,,baseline,1,0
hev_usa_i,gas_fisc_ext,.0008933780309225,,,,,baseline,1,0
hev_usa_i,fed_fisc_ext,.0256447,,,,,baseline,1,0
hev_usa_i,state_fisc_ext,,,,,,baseline,1,0
hev_usa_i,WTP_USPres,.9990183866670329,,,,,baseline,1,0
hev_usa_i,WTP_USFut,.0014843863558544,,,,,baseline,1,0
hev_usa_i,WTP_RoW,.0120000809502072,,,,,baseline,1,0
hev_usa_i,WTP_USTotal,,,,,,baseline,1,0
hev_usa_i,enviro_mvpf,.0000339415928465,,,,,baseline,1,0
hev_usa_i,cost_mvpf,.0094144530594349,,,,,baseline,1,0
hev_usa_i,firm_mvpf,,,,,,baseline,1,0
hev_usa_i,cost_wtp,.0094144530594349,,,,,baseline,1,0
hev_usa_i,env_cost_wtp,5.62596067870e-06,,,,,baseline,1,0
hev_usa_i,marginal,,,,,,baseline,1,0
hev_usa_i,infmarg,,,,,,baseline,1,0
hev_usa_i,wtp_private,,,,,,baseline,1,0
hev_usa_i,wtp_soc,.0040922793584324,,,,,baseline,1,0
hev_usa_i,wtp_no_ice,.1383009030073685,,,,,baseline,1,0
hev_usa_i,wtp_yes_ev,,,,,,baseline,1,0
hev_usa_i,wtp_yes_hev,-.1334717229113817,,,,,baseline,1,0
hev_usa_i,wtp_soc_rbd,-.0046244262181891,,,,,baseline,1,0
hev_usa_i,wtp_yes_ev_local,,,,,,baseline,1,0
hev_usa_i,wtp_no_ice_local,.0183886302717037,,,,,baseline,1,0
hev_usa_i,env_cost_wtp_l,-.0000276654809568,,,,,baseline,1,0
hev_usa_i,wtp_soc_rbd_l,,,,,,baseline,1,0
hev_usa_i,wtp_yes_ev_g,,,,,,baseline,1,0
hev_usa_i,wtp_no_ice_g,.1199122727356648,,,,,baseline,1,0
hev_usa_i,env_cost_wtp_g,.0000332914416355,,,,,baseline,1,0
hev_usa_i,wtp_soc_rbd_g,,,,,,baseline,1,0
hev_usa_i,wtp_marg,.02403145,,,,,baseline,1,0
hev_usa_i,wtp_inf,2011,,,,,baseline,1,0
hev_usa_i,wtp_glob,.0032998220674369,,,,,baseline,1,0
hev_usa_i,wtp_loc,.0007924572909955,,,,,baseline,1,0
hev_usa_i,wtp_r_glob,,,,,,baseline,1,0
hev_usa_i,wtp_r_loc,,,,,,baseline,1,0
hev_usa_i,wtp_e_cost,,,,,,baseline,1,0
hev_usa_i,WTP_cc,1.010676165568402,,,,,baseline,1,0
hev_usa_i,wtp_install,,,,,,baseline,1,0
hev_usa_i,wtp_prod,,,,,,baseline,1,0
hev_usa_i,wtp_prod_s,.001788233408045,,,,,baseline,1,0
hev_usa_i,wtp_prod_u,,,,,,baseline,1,0
hev_usa_i,wtp_cons,1,,,,,baseline,1,0
hev_usa_i,wtp_deal,,,,,,baseline,1,0
hev_usa_i,admin_cost,,,,,,baseline,1,0
hev_usa_i,wtp_permits,,,,,,baseline,1,0
hev_usa_i,wtp_abatement,,,,,,baseline,1,0
hev_usa_i,permitrev,,,,,,baseline,1,0
hev_usa_i,wtp_no_leak,,,,,,baseline,1,0
hev_usa_i,wtp_leak,,,,,,baseline,1,0
hev_usa_i,wtp_soc_g,,,,,,baseline,1,0
hev_usa_i,wtp_soc_l,,,,,,baseline,1,0
hev_usa_i,fisc_ext_t,,,,,,baseline,1,0
hev_usa_i,fisc_ext_s,,,,,,baseline,1,0
hev_usa_i,fisc_ext_lr,-.0000938746249632,,,,,baseline,1,0
hev_usa_i,q_CO2,.0000435427007525,,,,,baseline,1,0
hev_usa_i,q_CO2_no,,,,,,baseline,1,0
hev_usa_i,p_spend,,,,,,baseline,1,0
hev_usa_i,ev_sub_c,,,,,,baseline,1,0
hev_usa_i,ev_sub_c_row,,,,,,baseline,1,0
hev_usa_i,ev_sub_c_us,,,,,,baseline,1,0
hev_usa_i,ev_sub_env,,,,,,baseline,1,0
hev_usa_i,ev_sub_cost,,,,,,baseline,1,0
hev_usa_i,profits_fisc_e,,,,,,baseline,1,0
hev_usa_i,wtp_soc_l_po,,,,,,baseline,1,0
hev_usa_i,wtp_soc_l_dr,,,,,,baseline,1,0
hev_usa_i,gov_carbon,.0000435427007525,,,,,baseline,1,0
hev_usa_i,resource_ce,658.8577693110926,,,,,baseline,1,0
hev_usa_i,q_carbon_mck,1.821870324373236,,,,,baseline,1,0
hev_usa_i,semie,.0000239,,,,,baseline,1,0
hev_usa_i,pass_through,,,,,,baseline,1,0
hev_usa_i,permitrev_new,,,,,,baseline,1,0
hev_usa_i,permitrev_ex,,,,,,baseline,1,0
hev_usa_i,fiscalext,,,,,,baseline,1,0
hev_usa_i,firm_cost_wtp,,,,,,baseline,1,0
hev_usa_i,c_savings,0,,,,,baseline,1,0
hev_usa_i,resource_cost,,,,,,baseline,1,0
hev_usa_i,q_CO2_mck,,,,,,baseline,1,0
hev_usa_i,q_CO2_mck_no,,,,,,baseline,1,0
hev_usa_i,wtp_ctr,,,,,,baseline,1,0
hev_usa_i,gas_corp_fisc_e,.000475353184417,,,,,baseline,1,0
hev_usa_i,epsilon,,,,,,baseline,1,0
hev_usa_i,transfer,,,,,,baseline,1,0
hev_usa_i,enviro_wtp,,,,,,baseline,1,0
hev_usa_i,cost_curve,,,,,,baseline,1,0
hev_usa_i,profits,,,,,,baseline,1,0
hev_usa_i,subsidies,,,,,,baseline,1,0
hev_usa_i,taxes,,,,,,baseline,1,0
hev_usa_i,wtp_batt,,,,,,baseline,1,0
hev_usa_i,wtp_local_w_r,,,,,,baseline,1,0
hev_usa_i,wind_g_wf,,,,,,baseline,1,0
hev_usa_i,wind_l_wf,,,,,,baseline,1,0
