program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
hev_usa_i,MVPF,.9401792181558568,,,,99999,,baseline,1,0
hev_usa_i,MVPF_no_cc,.9314162109436344,,,,99999,,baseline,1,0
hev_usa_i,cost,1.074982456590376,,,,99999,1.0749824,baseline,1,0
hev_usa_i,WTP,1.001256086548288,,,,99999,1.0012561,baseline,1,0
hev_usa_i,program_cost,1,,,,99999,,baseline,1,0
hev_usa_i,total_cost,1.074982456590376,,,,99999,,baseline,1,0
hev_usa_i,beh_fisc_ext,.0480629,,,,99999,,baseline,1,0
hev_usa_i,utility_fisc_ext,,,,,99999,,baseline,1,0
hev_usa_i,gas_fisc_ext,.0008933780309225,,,,99999,,baseline,1,0
hev_usa_i,fed_fisc_ext,.0256447,,,,99999,,baseline,1,0
hev_usa_i,state_fisc_ext,,,,,99999,,baseline,1,0
hev_usa_i,WTP_USPres,.9990183866670329,,,,99999,,baseline,1,0
hev_usa_i,WTP_USFut,.0014843863558544,,,,99999,,baseline,1,0
hev_usa_i,WTP_RoW,.0120000809502072,,,,99999,,baseline,1,0
hev_usa_i,WTP_USTotal,,,,,99999,,baseline,1,0
hev_usa_i,enviro_mvpf,.0000339415928465,,,,99999,,baseline,1,0
hev_usa_i,cost_mvpf,.0094144530594349,,,,99999,,baseline,1,0
hev_usa_i,firm_mvpf,,,,,99999,,baseline,1,0
hev_usa_i,cost_wtp,.0094144530594349,,,,99999,,baseline,1,0
hev_usa_i,env_cost_wtp,5.62596067870e-06,,,,99999,,baseline,1,0
hev_usa_i,marginal,,,,,99999,,baseline,1,0
hev_usa_i,infmarg,,,,,99999,,baseline,1,0
hev_usa_i,wtp_private,,,,,99999,,baseline,1,0
hev_usa_i,wtp_soc,.0040922793584324,,,,99999,,baseline,1,0
hev_usa_i,wtp_no_ice,.1383009030073685,,,,99999,,baseline,1,0
hev_usa_i,wtp_yes_ev,,,,,99999,,baseline,1,0
hev_usa_i,wtp_yes_hev,-.1334717229113817,,,,99999,,baseline,1,0
hev_usa_i,wtp_soc_rbd,-.0046244262181891,,,,99999,,baseline,1,0
hev_usa_i,wtp_yes_ev_local,,,,,99999,,baseline,1,0
hev_usa_i,wtp_no_ice_local,.0183886302717037,,,,99999,,baseline,1,0
hev_usa_i,env_cost_wtp_l,-.0000276654809568,,,,99999,,baseline,1,0
hev_usa_i,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
hev_usa_i,wtp_yes_ev_g,,,,,99999,,baseline,1,0
hev_usa_i,wtp_no_ice_g,.1199122727356648,,,,99999,,baseline,1,0
hev_usa_i,env_cost_wtp_g,.0000332914416355,,,,99999,,baseline,1,0
hev_usa_i,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
hev_usa_i,wtp_marg,.02403145,,,,99999,,baseline,1,0
hev_usa_i,wtp_inf,2011,,,,99999,,baseline,1,0
hev_usa_i,wtp_glob,.0032998220674369,,,,99999,,baseline,1,0
hev_usa_i,wtp_loc,.0007924572909955,,,,99999,,baseline,1,0
hev_usa_i,wtp_r_glob,,,,,99999,,baseline,1,0
hev_usa_i,wtp_r_loc,,,,,99999,,baseline,1,0
hev_usa_i,wtp_e_cost,,,,,99999,,baseline,1,0
hev_usa_i,WTP_cc,1.010676165568402,,,,99999,,baseline,1,0
hev_usa_i,wtp_install,,,,,99999,,baseline,1,0
hev_usa_i,wtp_prod,,,,,99999,,baseline,1,0
hev_usa_i,wtp_prod_s,.001788233408045,,,,99999,,baseline,1,0
hev_usa_i,wtp_prod_u,,,,,99999,,baseline,1,0
hev_usa_i,wtp_cons,1,,,,99999,,baseline,1,0
hev_usa_i,wtp_deal,,,,,99999,,baseline,1,0
hev_usa_i,admin_cost,,,,,99999,,baseline,1,0
hev_usa_i,wtp_permits,,,,,99999,,baseline,1,0
hev_usa_i,wtp_abatement,,,,,99999,,baseline,1,0
hev_usa_i,permitrev,,,,,99999,,baseline,1,0
hev_usa_i,wtp_no_leak,,,,,99999,,baseline,1,0
hev_usa_i,wtp_leak,,,,,99999,,baseline,1,0
