program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
hev_usa_s,MVPF,.6569651747967185,,,,,baseline,1,0
hev_usa_s,MVPF_no_cc,.5639593731909155,,,,,baseline,1,0
hev_usa_s,cost,1.808806519076942,,,,1.8088065,baseline,1,0
hev_usa_s,WTP,1.020093390722274,,,,1.0200934,baseline,1,0
hev_usa_s,program_cost,1,,,,,baseline,1,0
hev_usa_s,total_cost,1.808806519076942,,,,,baseline,1,0
hev_usa_s,beh_fisc_ext,.387838,,,,,baseline,1,0
hev_usa_s,utility_fisc_ext,,,,,,baseline,1,0
hev_usa_s,gas_fisc_ext,.013745579729257,,,,,baseline,1,0
hev_usa_s,fed_fisc_ext,.401302,,,,,baseline,1,0
hev_usa_s,state_fisc_ext,,,,,,baseline,1,0
hev_usa_s,WTP_USPres,.9780583949368136,,,,,baseline,1,0
hev_usa_s,WTP_USFut,.0262942869543667,,,,,baseline,1,0
hev_usa_s,WTP_RoW,.2125552075543879,,,,,baseline,1,0
hev_usa_s,WTP_USTotal,,,,,,baseline,1,0
hev_usa_s,enviro_mvpf,.0091415494680405,,,,,baseline,1,0
hev_usa_s,cost_mvpf,.1667142510414124,,,,,baseline,1,0
hev_usa_s,firm_mvpf,,,,,,baseline,1,0
hev_usa_s,cost_wtp,.1667142510414124,,,,,baseline,1,0
hev_usa_s,env_cost_wtp,.001515249215141,,,,,baseline,1,0
hev_usa_s,marginal,,,,,,baseline,1,0
hev_usa_s,infmarg,,,,,,baseline,1,0
hev_usa_s,wtp_private,,,,,,baseline,1,0
hev_usa_s,wtp_soc,.0640381790817459,,,,,baseline,1,0
hev_usa_s,wtp_no_ice,2.164206599362168,,,,,baseline,1,0
hev_usa_s,wtp_yes_ev,,,,,,baseline,1,0
hev_usa_s,wtp_yes_hev,-2.088637002881035,,,,,baseline,1,0
hev_usa_s,wtp_soc_rbd,-.0723654981423748,,,,,baseline,1,0
hev_usa_s,wtp_yes_ev_local,,,,,,baseline,1,0
hev_usa_s,wtp_no_ice_local,.2877551347956981,,,,,baseline,1,0
hev_usa_s,env_cost_wtp_l,-.0074511938728392,,,,,baseline,1,0
hev_usa_s,wtp_soc_rbd_l,,,,,,baseline,1,0
hev_usa_s,wtp_yes_ev_g,,,,,,baseline,1,0
hev_usa_s,wtp_no_ice_g,1.87645146456647,,,,,baseline,1,0
hev_usa_s,env_cost_wtp_g,.0089664430879802,,,,,baseline,1,0
hev_usa_s,wtp_soc_rbd_g,,,,,,baseline,1,0
hev_usa_s,wtp_marg,.193919,,,,,baseline,1,0
hev_usa_s,wtp_inf,1037,,,,,baseline,1,0
hev_usa_s,wtp_glob,.0516373829799748,,,,,baseline,1,0
hev_usa_s,wtp_loc,.012400796101771,,,,,baseline,1,0
hev_usa_s,wtp_r_glob,,,,,,baseline,1,0
hev_usa_s,wtp_r_loc,,,,,,baseline,1,0
hev_usa_s,wtp_e_cost,,,,,,baseline,1,0
hev_usa_s,WTP_cc,1.188322890978827,,,,,baseline,1,0
hev_usa_s,wtp_install,,,,,,baseline,1,0
hev_usa_s,wtp_prod,,,,,,baseline,1,0
hev_usa_s,wtp_prod_s,.0284207097829029,,,,,baseline,1,0
hev_usa_s,wtp_prod_u,,,,,,baseline,1,0
hev_usa_s,wtp_cons,1,,,,,baseline,1,0
hev_usa_s,wtp_deal,,,,,,baseline,1,0
hev_usa_s,admin_cost,,,,,,baseline,1,0
hev_usa_s,wtp_permits,,,,,,baseline,1,0
hev_usa_s,wtp_abatement,,,,,,baseline,1,0
hev_usa_s,permitrev,,,,,,baseline,1,0
hev_usa_s,wtp_no_leak,,,,,,baseline,1,0
hev_usa_s,wtp_leak,,,,,,baseline,1,0
hev_usa_s,wtp_soc_g,,,,,,baseline,1,0
hev_usa_s,wtp_soc_l,,,,,,baseline,1,0
hev_usa_s,fisc_ext_t,,,,,,baseline,1,0
hev_usa_s,fisc_ext_s,,,,,,baseline,1,0
hev_usa_s,fisc_ext_lr,-.0016339328730862,,,,,baseline,1,0
hev_usa_s,q_CO2,.0006813795013156,,,,,baseline,1,0
hev_usa_s,q_CO2_no,,,,,,baseline,1,0
hev_usa_s,p_spend,,,,,,baseline,1,0
hev_usa_s,ev_sub_c,,,,,,baseline,1,0
hev_usa_s,ev_sub_c_row,,,,,,baseline,1,0
hev_usa_s,ev_sub_c_us,,,,,,baseline,1,0
hev_usa_s,ev_sub_env,,,,,,baseline,1,0
hev_usa_s,ev_sub_cost,,,,,,baseline,1,0
hev_usa_s,profits_fisc_e,,,,,,baseline,1,0
hev_usa_s,wtp_soc_l_po,,,,,,baseline,1,0
hev_usa_s,wtp_soc_l_dr,,,,,,baseline,1,0
hev_usa_s,gov_carbon,.0006813795013156,,,,,baseline,1,0
hev_usa_s,resource_ce,658.8577693110926,,,,,baseline,1,0
hev_usa_s,q_carbon_mck,1.821870324373236,,,,,baseline,1,0
hev_usa_s,semie,.000374,,,,,baseline,1,0
hev_usa_s,pass_through,,,,,,baseline,1,0
hev_usa_s,permitrev_new,,,,,,baseline,1,0
hev_usa_s,permitrev_ex,,,,,,baseline,1,0
hev_usa_s,fiscalext,,,,,,baseline,1,0
hev_usa_s,firm_cost_wtp,,,,,,baseline,1,0
hev_usa_s,c_savings,0,,,,,baseline,1,0
hev_usa_s,resource_cost,,,,,,baseline,1,0
hev_usa_s,q_CO2_mck,,,,,,baseline,1,0
hev_usa_s,q_CO2_mck_no,,,,,,baseline,1,0
hev_usa_s,wtp_ctr,,,,,,baseline,1,0
hev_usa_s,gas_corp_fisc_e,.0075548722207717,,,,,baseline,1,0
hev_usa_s,epsilon,,,,,,baseline,1,0
hev_usa_s,transfer,,,,,,baseline,1,0
hev_usa_s,enviro_wtp,,,,,,baseline,1,0
hev_usa_s,cost_curve,,,,,,baseline,1,0
hev_usa_s,profits,,,,,,baseline,1,0
hev_usa_s,subsidies,,,,,,baseline,1,0
hev_usa_s,taxes,,,,,,baseline,1,0
hev_usa_s,wtp_batt,,,,,,baseline,1,0
hev_usa_s,wtp_local_w_r,,,,,,baseline,1,0
hev_usa_s,wind_g_wf,,,,,,baseline,1,0
hev_usa_s,wind_l_wf,,,,,,baseline,1,0
