program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
hitaj_ger,MVPF,8.482686351876122,,,,99999,,baseline,1,0
hitaj_ger,MVPF_no_cc,5.535388074178596,,,,99999,,baseline,1,0
hitaj_ger,cost,112.977057868411,,,,99999,1.3673908,baseline,1,0
hitaj_ger,WTP,653.6740501950709,,,,99999,7.9115872,baseline,1,0
hitaj_ger,program_cost,82.62236706367088,,,,99999,,baseline,1,0
hitaj_ger,total_cost,112.977057868411,,,,99999,,baseline,1,0
hitaj_ger,beh_fisc_ext,,,,,99999,,baseline,1,0
hitaj_ger,utility_fisc_ext,,,,,99999,,baseline,1,0
hitaj_ger,gas_fisc_ext,,,,,99999,,baseline,1,0
hitaj_ger,fed_fisc_ext,,,,,99999,,baseline,1,0
hitaj_ger,state_fisc_ext,,,,,99999,,baseline,1,0
hitaj_ger,WTP_USPres,239.2834958183099,,,,99999,,baseline,1,0
hitaj_ger,WTP_USFut,101.9602322922837,,,,99999,,baseline,1,0
hitaj_ger,WTP_RoW,617.1052187448953,,,,99999,,baseline,1,0
hitaj_ger,WTP_USTotal,,,,,99999,,baseline,1,0
hitaj_ger,enviro_mvpf,2.843864778708219,,,,99999,,baseline,1,0
hitaj_ger,cost_mvpf,.8436947464942932,,,,99999,,baseline,1,0
hitaj_ger,firm_mvpf,,,,,99999,,baseline,1,0
hitaj_ger,cost_wtp,69.70805703454225,,,,99999,,baseline,1,0
hitaj_ger,env_cost_wtp,234.9668396258757,,,,99999,,baseline,1,0
hitaj_ger,marginal,,,,,99999,,baseline,1,0
hitaj_ger,infmarg,,,,,99999,,baseline,1,0
hitaj_ger,wtp_private,82.62236706367088,,,,99999,,baseline,1,0
hitaj_ger,wtp_soc,579.4024292215396,,,,99999,,baseline,1,0
hitaj_ger,wtp_no_ice,,,,,99999,,baseline,1,0
hitaj_ger,wtp_yes_ev,,,,,99999,,baseline,1,0
hitaj_ger,wtp_yes_hev,,,,,99999,,baseline,1,0
hitaj_ger,wtp_soc_rbd,-141.6852979520215,,,,99999,,baseline,1,0
hitaj_ger,wtp_yes_ev_local,,,,,99999,,baseline,1,0
hitaj_ger,wtp_no_ice_local,,,,,99999,,baseline,1,0
hitaj_ger,env_cost_wtp_l,13.21516469308948,,,,99999,,baseline,1,0
hitaj_ger,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
hitaj_ger,wtp_yes_ev_g,,,,,99999,,baseline,1,0
hitaj_ger,wtp_no_ice_g,,,,,99999,,baseline,1,0
hitaj_ger,env_cost_wtp_g,221.7516749327862,,,,99999,,baseline,1,0
hitaj_ger,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
hitaj_ger,wtp_marg,,,,,99999,,baseline,1,0
hitaj_ger,wtp_inf,,,,,99999,,baseline,1,0
hitaj_ger,wtp_glob,438.2473660097949,,,,99999,,baseline,1,0
hitaj_ger,wtp_loc,143.4459640615495,,,,99999,,baseline,1,0
hitaj_ger,wtp_r_glob,-106.7456087594656,,,,99999,,baseline,1,0
hitaj_ger,wtp_r_loc,-34.93968919255592,,,,99999,,baseline,1,0
hitaj_ger,wtp_e_cost,-10.64164693994434,,,,99999,,baseline,1,0
hitaj_ger,WTP_cc,958.3489468554887,,,,99999,,baseline,1,0
hitaj_ger,wtp_install,,,,,99999,,baseline,1,0
hitaj_ger,wtp_prod,82.62236706367088,,,,99999,,baseline,1,0
hitaj_ger,wtp_prod_s,,,,,99999,,baseline,1,0
hitaj_ger,wtp_prod_u,,,,,99999,,baseline,1,0
hitaj_ger,wtp_cons,0,,,,99999,,baseline,1,0
hitaj_ger,wtp_deal,,,,,99999,,baseline,1,0
hitaj_ger,admin_cost,,,,,99999,,baseline,1,0
hitaj_ger,wtp_permits,,,,,99999,,baseline,1,0
hitaj_ger,wtp_abatement,,,,,99999,,baseline,1,0
hitaj_ger,permitrev,,,,,99999,,baseline,1,0
hitaj_ger,wtp_no_leak,,,,,99999,,baseline,1,0
