program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
hitaj_ptc,MVPF,5.38561208003329,,,,,baseline,1,0
hitaj_ptc,MVPF_no_cc,3.183713515602163,,,,,baseline,1,0
hitaj_ptc,cost,92.36178278391078,,,,1.1178787,baseline,1,0
hitaj_ptc,WTP,304.9798607520617,,,,3.6912506,baseline,1,0
hitaj_ptc,program_cost,82.62236706367088,,,,,baseline,1,0
hitaj_ptc,total_cost,92.36178278391078,,,,,baseline,1,0
hitaj_ptc,beh_fisc_ext,,,,,,baseline,1,0
hitaj_ptc,utility_fisc_ext,,,,,,baseline,1,0
hitaj_ptc,gas_fisc_ext,,,,,,baseline,1,0
hitaj_ptc,fed_fisc_ext,,,,,,baseline,1,0
hitaj_ptc,state_fisc_ext,,,,,,baseline,1,0
hitaj_ptc,WTP_USPres,161.9397030458045,,,,,baseline,1,0
hitaj_ptc,WTP_USFut,49.06265881732628,,,,,baseline,1,0
hitaj_ptc,WTP_RoW,286.4223712313099,,,,,baseline,1,0
hitaj_ptc,WTP_USTotal,,,,,,baseline,1,0
hitaj_ptc,enviro_mvpf,1.726999766714572,,,,,baseline,1,0
hitaj_ptc,cost_mvpf,.6022105813026428,,,,,baseline,1,0
hitaj_ptc,firm_mvpf,,,,,,baseline,1,0
hitaj_ptc,cost_wtp,49.75606369801357,,,,,baseline,1,0
hitaj_ptc,env_cost_wtp,142.6888086443654,,,,,baseline,1,0
hitaj_ptc,marginal,,,,,,baseline,1,0
hitaj_ptc,infmarg,,,,,,baseline,1,0
hitaj_ptc,wtp_private,82.62236706367088,,,,,baseline,1,0
hitaj_ptc,wtp_soc,225.3258651999188,,,,,baseline,1,0
hitaj_ptc,wtp_no_ice,,,,,,baseline,1,0
hitaj_ptc,wtp_yes_ev,,,,,,baseline,1,0
hitaj_ptc,wtp_yes_hev,,,,,,baseline,1,0
hitaj_ptc,wtp_soc_rbd,-54.97290505312789,,,,,baseline,1,0
hitaj_ptc,wtp_yes_ev_local,,,,,,baseline,1,0
hitaj_ptc,wtp_no_ice_local,,,,,,baseline,1,0
hitaj_ptc,env_cost_wtp_l,8.957354965355727,,,,,baseline,1,0
hitaj_ptc,wtp_soc_rbd_l,,,,,,baseline,1,0
hitaj_ptc,wtp_yes_ev_g,,,,,,baseline,1,0
hitaj_ptc,wtp_no_ice_g,,,,,,baseline,1,0
hitaj_ptc,env_cost_wtp_g,133.7314536790097,,,,,baseline,1,0
hitaj_ptc,wtp_soc_rbd_g,,,,,,baseline,1,0
hitaj_ptc,wtp_marg,,,,,,baseline,1,0
hitaj_ptc,wtp_inf,,,,,,baseline,1,0
hitaj_ptc,wtp_glob,155.3329643082776,,,,,baseline,1,0
hitaj_ptc,wtp_loc,70.35998101677785,,,,,baseline,1,0
hitaj_ptc,wtp_r_glob,-37.8350518942511,,,,,baseline,1,0
hitaj_ptc,wtp_r_loc,-17.13785315887679,,,,,baseline,1,0
hitaj_ptc,wtp_e_cost,-3.335451636664741,,,,,baseline,1,0
hitaj_ptc,WTP_cc,497.4247330944407,,,,,baseline,1,0
hitaj_ptc,wtp_install,,,,,,baseline,1,0
hitaj_ptc,wtp_prod,82.62236706367088,,,,,baseline,1,0
hitaj_ptc,wtp_prod_s,,,,,,baseline,1,0
hitaj_ptc,wtp_prod_u,,,,,,baseline,1,0
hitaj_ptc,wtp_cons,0,,,,,baseline,1,0
