program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
hitaj_ptc,MVPF,5.38561208003329,,,,99999,,baseline,1,0
hitaj_ptc,MVPF_no_cc,3.183713515602163,,,,99999,,baseline,1,0
hitaj_ptc,cost,92.36178278391078,,,,99999,1.1178787,baseline,1,0
hitaj_ptc,WTP,304.9798607520617,,,,99999,3.6912506,baseline,1,0
hitaj_ptc,program_cost,82.62236706367088,,,,99999,,baseline,1,0
hitaj_ptc,total_cost,92.36178278391078,,,,99999,,baseline,1,0
hitaj_ptc,beh_fisc_ext,,,,,99999,,baseline,1,0
hitaj_ptc,utility_fisc_ext,,,,,99999,,baseline,1,0
hitaj_ptc,gas_fisc_ext,,,,,99999,,baseline,1,0
hitaj_ptc,fed_fisc_ext,,,,,99999,,baseline,1,0
hitaj_ptc,state_fisc_ext,,,,,99999,,baseline,1,0
hitaj_ptc,WTP_USPres,161.9397030458045,,,,99999,,baseline,1,0
hitaj_ptc,WTP_USFut,49.06265881732628,,,,99999,,baseline,1,0
hitaj_ptc,WTP_RoW,286.4223712313099,,,,99999,,baseline,1,0
hitaj_ptc,WTP_USTotal,,,,,99999,,baseline,1,0
hitaj_ptc,enviro_mvpf,1.726999766714572,,,,99999,,baseline,1,0
hitaj_ptc,cost_mvpf,.6022105813026428,,,,99999,,baseline,1,0
hitaj_ptc,firm_mvpf,,,,,99999,,baseline,1,0
hitaj_ptc,cost_wtp,49.75606369801357,,,,99999,,baseline,1,0
hitaj_ptc,env_cost_wtp,142.6888086443654,,,,99999,,baseline,1,0
hitaj_ptc,marginal,,,,,99999,,baseline,1,0
hitaj_ptc,infmarg,,,,,99999,,baseline,1,0
hitaj_ptc,wtp_private,82.62236706367088,,,,99999,,baseline,1,0
hitaj_ptc,wtp_soc,225.3258651999188,,,,99999,,baseline,1,0
hitaj_ptc,wtp_no_ice,,,,,99999,,baseline,1,0
hitaj_ptc,wtp_yes_ev,,,,,99999,,baseline,1,0
