program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
hughes_csi,MVPF,1.872429764322672,,,,,baseline,1,0
hughes_csi,MVPF_no_cc,,,,,,baseline,1,0
hughes_csi,cost,32364.764273242,,,,4.5265403,baseline,1,0
hughes_csi,WTP,8286.822833988683,,,,1.1589962,baseline,1,0
hughes_csi,program_cost,7150,,,,,baseline,1,0
hughes_csi,total_cost,,,,,,baseline,1,0
hughes_csi,beh_fisc_ext,,,,,,baseline,1,0
hughes_csi,utility_fisc_ext,,,,,,baseline,1,0
hughes_csi,gas_fisc_ext,,,,,,baseline,1,0
hughes_csi,fed_fisc_ext,,,,,,baseline,1,0
hughes_csi,state_fisc_ext,,,,,,baseline,1,0
hughes_csi,WTP_USPres,3579.547407476343,,,,,baseline,1,0
hughes_csi,WTP_USFut,8200.229638170968,,,,,baseline,1,0
hughes_csi,WTP_RoW,48820.97089485805,,,,,baseline,1,0
hughes_csi,WTP_USTotal,,,,,,baseline,1,0
hughes_csi,enviro_mvpf,2.315407148188736,,,,,baseline,1,0
hughes_csi,cost_mvpf,5.001225733841568,,,,,baseline,1,0
hughes_csi,firm_mvpf,0,,,,,baseline,1,0
hughes_csi,cost_wtp,35758.76399696721,,,,,baseline,1,0
hughes_csi,env_cost_wtp,16555.16110954947,,,,,baseline,1,0
hughes_csi,marginal,,,,,,baseline,1,0
hughes_csi,infmarg,,,,,,baseline,1,0
hughes_csi,wtp_private,1901.221462756871,,,,,baseline,1,0
hughes_csi,wtp_soc,6501.182986472726,,,,,baseline,1,0
hughes_csi,wtp_no_ice,,,,,,baseline,1,0
hughes_csi,wtp_yes_ev,,,,,,baseline,1,0
hughes_csi,wtp_yes_hev,,,,,,baseline,1,0
hughes_csi,wtp_soc_rbd,,,,,,baseline,1,0
hughes_csi,wtp_yes_ev_local,,,,,,baseline,1,0
hughes_csi,wtp_no_ice_local,,,,,,baseline,1,0
hughes_csi,env_cost_wtp_l,1211.160981787098,,,,,baseline,1,0
hughes_csi,wtp_soc_rbd_l,,,,,,baseline,1,0
hughes_csi,wtp_yes_ev_g,,,,,,baseline,1,0
hughes_csi,wtp_no_ice_g,,,,,,baseline,1,0
hughes_csi,env_cost_wtp_g,15344.00012776237,,,,,baseline,1,0
hughes_csi,wtp_soc_rbd_g,,,,,,baseline,1,0
hughes_csi,wtp_marg,,,,,,baseline,1,0
hughes_csi,wtp_inf,,,,,,baseline,1,0
hughes_csi,wtp_glob,8448.483804158623,,,,,baseline,1,0
hughes_csi,wtp_loc,580.954142804353,,,,,baseline,1,0
hughes_csi,wtp_r_glob,-1654.770957646232,,,,,baseline,1,0
hughes_csi,wtp_r_loc,-113.7891798719787,,,,,baseline,1,0
hughes_csi,wtp_e_cost,-875.2764382129538,,,,,baseline,1,0
hughes_csi,WTP_cc,60600.74794050536,,,,,baseline,1,0
hughes_csi,wtp_install,1587.3,,,,,baseline,1,0
hughes_csi,wtp_prod,-5248.77853724313,,,,,baseline,1,0
hughes_csi,wtp_prod_s,,,,,,baseline,1,0
hughes_csi,wtp_prod_u,,,,,,baseline,1,0
hughes_csi,wtp_cons,5562.700000000001,,,,,baseline,1,0
hughes_csi,wtp_deal,,,,,,baseline,1,0
hughes_csi,admin_cost,,,,,,baseline,1,0
hughes_csi,wtp_permits,,,,,,baseline,1,0
hughes_csi,wtp_abatement,,,,,,baseline,1,0
hughes_csi,permitrev,,,,,,baseline,1,0
hughes_csi,wtp_no_leak,,,,,,baseline,1,0
hughes_csi,wtp_leak,,,,,,baseline,1,0
hughes_csi,wtp_soc_g,,,,,,baseline,1,0
hughes_csi,wtp_soc_l,,,,,,baseline,1,0
hughes_csi,fisc_ext_t,2851.188341218491,,,,,baseline,1,0
hughes_csi,fisc_ext_s,22778.81174588631,,,,,baseline,1,0
hughes_csi,fisc_ext_lr,-415.235813862806,,,,,baseline,1,0
hughes_csi,q_CO2,42.06928957619458,,,,,baseline,1,0
hughes_csi,q_CO2_no,,,,,,baseline,1,0
hughes_csi,p_spend,29928.81174588631,,,,,baseline,1,0
hughes_csi,ev_sub_c,,,,,,baseline,1,0
hughes_csi,ev_sub_c_row,,,,,,baseline,1,0
hughes_csi,ev_sub_c_us,,,,,,baseline,1,0
hughes_csi,ev_sub_env,,,,,,baseline,1,0
hughes_csi,ev_sub_cost,,,,,,baseline,1,0
hughes_csi,profits_fisc_e,,,,,,baseline,1,0
hughes_csi,wtp_soc_l_po,,,,,,baseline,1,0
hughes_csi,wtp_soc_l_dr,,,,,,baseline,1,0
hughes_csi,gov_carbon,.0003663857309974,,,,,baseline,1,0
hughes_csi,resource_ce,270.0957830551699,,,,,baseline,1,0
hughes_csi,q_carbon_mck,.0005890718331872,,,,,baseline,1,0
hughes_csi,semie,-1.010893412522889,,,,,baseline,1,0
hughes_csi,pass_through,.778,,,,,baseline,1,0
hughes_csi,permitrev_new,,,,,,baseline,1,0
hughes_csi,permitrev_ex,,,,,,baseline,1,0
hughes_csi,fiscalext,,,,,,baseline,1,0
hughes_csi,firm_cost_wtp,0,,,,,baseline,1,0
hughes_csi,c_savings,0,,,,,baseline,1,0
hughes_csi,resource_cost,17558.6163911681,,,,,baseline,1,0
hughes_csi,q_CO2_mck,.0005890718331872,,,,,baseline,1,0
hughes_csi,q_CO2_mck_no,,,,,,baseline,1,0
hughes_csi,wtp_ctr,,,,,,baseline,1,0
hughes_csi,gas_corp_fisc_e,,,,,,baseline,1,0
hughes_csi,epsilon,,,,,,baseline,1,0
hughes_csi,transfer,,,,,,baseline,1,0
hughes_csi,enviro_wtp,,,,,,baseline,1,0
hughes_csi,cost_curve,,,,,,baseline,1,0
hughes_csi,profits,,,,,,baseline,1,0
hughes_csi,subsidies,,,,,,baseline,1,0
hughes_csi,taxes,,,,,,baseline,1,0
hughes_csi,wtp_batt,,,,,,baseline,1,0
hughes_csi,wtp_local_w_r,,,,,,baseline,1,0
hughes_csi,wind_g_wf,,,,,,baseline,1,0
hughes_csi,wind_l_wf,,,,,,baseline,1,0
