program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
hughes_csi,MVPF,1.872429764322672,,,,99999,,baseline,1,0
hughes_csi,MVPF_no_cc,,,,,99999,,baseline,1,0
hughes_csi,cost,32364.764273242,,,,99999,4.5265403,baseline,1,0
hughes_csi,WTP,8286.822833988683,,,,99999,1.1589962,baseline,1,0
hughes_csi,program_cost,7150,,,,99999,,baseline,1,0
hughes_csi,total_cost,,,,,99999,,baseline,1,0
hughes_csi,beh_fisc_ext,,,,,99999,,baseline,1,0
hughes_csi,utility_fisc_ext,,,,,99999,,baseline,1,0
hughes_csi,gas_fisc_ext,,,,,99999,,baseline,1,0
hughes_csi,fed_fisc_ext,,,,,99999,,baseline,1,0
hughes_csi,state_fisc_ext,,,,,99999,,baseline,1,0
hughes_csi,WTP_USPres,3579.547407476343,,,,99999,,baseline,1,0
hughes_csi,WTP_USFut,8200.229638170968,,,,99999,,baseline,1,0
hughes_csi,WTP_RoW,48820.97089485805,,,,99999,,baseline,1,0
hughes_csi,WTP_USTotal,,,,,99999,,baseline,1,0
hughes_csi,enviro_mvpf,2.315407148188736,,,,99999,,baseline,1,0
hughes_csi,cost_mvpf,5.001225733841568,,,,99999,,baseline,1,0
hughes_csi,firm_mvpf,0,,,,99999,,baseline,1,0
hughes_csi,cost_wtp,35758.76399696721,,,,99999,,baseline,1,0
hughes_csi,env_cost_wtp,16555.16110954947,,,,99999,,baseline,1,0
hughes_csi,marginal,,,,,99999,,baseline,1,0
hughes_csi,infmarg,,,,,99999,,baseline,1,0
hughes_csi,wtp_private,1901.221462756871,,,,99999,,baseline,1,0
hughes_csi,wtp_soc,6501.182986472726,,,,99999,,baseline,1,0
hughes_csi,wtp_no_ice,,,,,99999,,baseline,1,0
hughes_csi,wtp_yes_ev,,,,,99999,,baseline,1,0
hughes_csi,wtp_yes_hev,,,,,99999,,baseline,1,0
hughes_csi,wtp_soc_rbd,,,,,99999,,baseline,1,0
hughes_csi,wtp_yes_ev_local,,,,,99999,,baseline,1,0
hughes_csi,wtp_no_ice_local,,,,,99999,,baseline,1,0
hughes_csi,env_cost_wtp_l,1211.160981787098,,,,99999,,baseline,1,0
hughes_csi,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
hughes_csi,wtp_yes_ev_g,,,,,99999,,baseline,1,0
hughes_csi,wtp_no_ice_g,,,,,99999,,baseline,1,0
hughes_csi,env_cost_wtp_g,15344.00012776237,,,,99999,,baseline,1,0
hughes_csi,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
hughes_csi,wtp_marg,,,,,99999,,baseline,1,0
hughes_csi,wtp_inf,,,,,99999,,baseline,1,0
hughes_csi,wtp_glob,8448.483804158623,,,,99999,,baseline,1,0
hughes_csi,wtp_loc,580.954142804353,,,,99999,,baseline,1,0
hughes_csi,wtp_r_glob,-1654.770957646232,,,,99999,,baseline,1,0
hughes_csi,wtp_r_loc,-113.7891798719787,,,,99999,,baseline,1,0
hughes_csi,wtp_e_cost,-875.2764382129538,,,,99999,,baseline,1,0
hughes_csi,WTP_cc,60600.74794050536,,,,99999,,baseline,1,0
hughes_csi,wtp_install,1587.3,,,,99999,,baseline,1,0
hughes_csi,wtp_prod,-5248.77853724313,,,,99999,,baseline,1,0
hughes_csi,wtp_prod_s,,,,,99999,,baseline,1,0
hughes_csi,wtp_prod_u,,,,,99999,,baseline,1,0
hughes_csi,wtp_cons,5562.700000000001,,,,99999,,baseline,1,0
hughes_csi,wtp_deal,,,,,99999,,baseline,1,0
hughes_csi,admin_cost,,,,,99999,,baseline,1,0
hughes_csi,wtp_permits,,,,,99999,,baseline,1,0
hughes_csi,wtp_abatement,,,,,99999,,baseline,1,0
hughes_csi,permitrev,,,,,99999,,baseline,1,0
hughes_csi,wtp_no_leak,,,,,99999,,baseline,1,0
hughes_csi,wtp_leak,,,,,99999,,baseline,1,0
hughes_csi,wtp_soc_g,,,,,99999,,baseline,1,0
hughes_csi,wtp_soc_l,,,,,99999,,baseline,1,0
hughes_csi,fisc_ext_t,2851.188341218491,,,,99999,,baseline,1,0
hughes_csi,fisc_ext_s,22778.81174588631,,,,99999,,baseline,1,0
hughes_csi,fisc_ext_lr,-415.235813862806,,,,99999,,baseline,1,0
hughes_csi,q_CO2,42.06928957619458,,,,99999,,baseline,1,0
hughes_csi,q_CO2_no,,,,,99999,,baseline,1,0
hughes_csi,p_spend,29928.81174588631,,,,99999,,baseline,1,0
hughes_csi,ev_sub_c,,,,,99999,,baseline,1,0
hughes_csi,ev_sub_c_row,,,,,99999,,baseline,1,0
hughes_csi,ev_sub_c_us,,,,,99999,,baseline,1,0
hughes_csi,ev_sub_env,,,,,99999,,baseline,1,0
hughes_csi,ev_sub_cost,,,,,99999,,baseline,1,0
hughes_csi,profits_fisc_e,,,,,99999,,baseline,1,0
hughes_csi,wtp_soc_l_po,,,,,99999,,baseline,1,0
hughes_csi,wtp_soc_l_dr,,,,,99999,,baseline,1,0
hughes_csi,gov_carbon,.0003663857309974,,,,99999,,baseline,1,0
hughes_csi,resource_ce,270.0957830551699,,,,99999,,baseline,1,0
hughes_csi,q_carbon_mck,.0005890718331872,,,,99999,,baseline,1,0
hughes_csi,semie,-1.010893412522889,,,,99999,,baseline,1,0
hughes_csi,pass_through,.778,,,,99999,,baseline,1,0
hughes_csi,permitrev_new,,,,,99999,,baseline,1,0
hughes_csi,permitrev_ex,,,,,99999,,baseline,1,0
hughes_csi,fiscalext,,,,,99999,,baseline,1,0
hughes_csi,firm_cost_wtp,0,,,,99999,,baseline,1,0
hughes_csi,c_savings,0,,,,99999,,baseline,1,0
hughes_csi,resource_cost,17558.6163911681,,,,99999,,baseline,1,0
hughes_csi,q_CO2_mck,.0005890718331872,,,,99999,,baseline,1,0
hughes_csi,q_CO2_mck_no,,,,,99999,,baseline,1,0
hughes_csi,wtp_ctr,,,,,99999,,baseline,1,0
hughes_csi,gas_corp_fisc_e,,,,,99999,,baseline,1,0
hughes_csi,epsilon,,,,,99999,,baseline,1,0
hughes_csi,transfer,,,,,99999,,baseline,1,0
hughes_csi,enviro_wtp,,,,,99999,,baseline,1,0
hughes_csi,cost_curve,,,,,99999,,baseline,1,0
hughes_csi,profits,,,,,99999,,baseline,1,0
hughes_csi,subsidies,,,,,99999,,baseline,1,0
hughes_csi,taxes,,,,,99999,,baseline,1,0
hughes_csi,wtp_batt,,,,,99999,,baseline,1,0
hughes_csi,wtp_local_w_r,,,,,99999,,baseline,1,0
hughes_csi,wind_g_wf,,,,,99999,,baseline,1,0
hughes_csi,wind_l_wf,,,,,99999,,baseline,1,0
