program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
hybrid_cr,MVPF,.7702162411882862,,,,,baseline,1,0
hybrid_cr,MVPF_no_cc,.7469507555421351,,,,,baseline,1,0
hybrid_cr,cost,1.354110702768451,,,,1.3541107,baseline,1,0
hybrid_cr,WTP,1.011454012520586,,,,1.011454,baseline,1,0
hybrid_cr,program_cost,1,,,,,baseline,1,0
hybrid_cr,total_cost,1.354110702768451,,,,,baseline,1,0
hybrid_cr,beh_fisc_ext,.1974999999999292,,,,,baseline,1,0
hybrid_cr,utility_fisc_ext,,,,,,baseline,1,0
hybrid_cr,gas_fisc_ext,.0031761766790081,,,,,baseline,1,0
hybrid_cr,fed_fisc_ext,,,,,,baseline,1,0
hybrid_cr,state_fisc_ext,.1515864809845691,,,,,baseline,1,0
hybrid_cr,WTP_USPres,.9982820726294391,,,,,baseline,1,0
hybrid_cr,WTP_USFut,.0058483412176139,,,,,baseline,1,0
hybrid_cr,WTP_RoW,.045821689596219,,,,,baseline,1,0
hybrid_cr,WTP_USTotal,,,,,,baseline,1,0
hybrid_cr,enviro_mvpf,.0005774271558039,,,,,baseline,1,0
hybrid_cr,cost_mvpf,.0312708579003811,,,,,baseline,1,0
hybrid_cr,firm_mvpf,,,,,,baseline,1,0
hybrid_cr,cost_wtp,.0312708579003811,,,,,baseline,1,0
hybrid_cr,env_cost_wtp,.0002331852181777,,,,,baseline,1,0
hybrid_cr,marginal,,,,,,baseline,1,0
hybrid_cr,infmarg,,,,,,baseline,1,0
hybrid_cr,wtp_private,,,,,,baseline,1,0
hybrid_cr,wtp_soc,.0195261783994088,,,,,baseline,1,0
hybrid_cr,wtp_no_ice,.5494989620110364,,,,,baseline,1,0
hybrid_cr,wtp_yes_ev,,,,,,baseline,1,0
hybrid_cr,wtp_yes_hev,-.5272048843166881,,,,,baseline,1,0
hybrid_cr,wtp_soc_rbd,-.0167263401323551,,,,,baseline,1,0
hybrid_cr,wtp_yes_ev_local,,,,,,baseline,1,0
hybrid_cr,wtp_no_ice_local,.0606649660267805,,,,,baseline,1,0
hybrid_cr,env_cost_wtp_l,-.0003331813204568,,,,,baseline,1,0
hybrid_cr,wtp_soc_rbd_l,,,,,,baseline,1,0
hybrid_cr,wtp_yes_ev_g,,,,,,baseline,1,0
hybrid_cr,wtp_no_ice_g,.4888339959842559,,,,,baseline,1,0
hybrid_cr,env_cost_wtp_g,.0005663665386345,,,,,baseline,1,0
