program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
hybrid_cr,MVPF,.7702162411882862,,,,99999,,baseline,1,0
hybrid_cr,MVPF_no_cc,.7469507555421351,,,,99999,,baseline,1,0
hybrid_cr,cost,1.354110702768451,,,,99999,1.3541107,baseline,1,0
hybrid_cr,WTP,1.011454012520586,,,,99999,1.011454,baseline,1,0
hybrid_cr,program_cost,1,,,,99999,,baseline,1,0
hybrid_cr,total_cost,1.354110702768451,,,,99999,,baseline,1,0
hybrid_cr,beh_fisc_ext,.1974999999999292,,,,99999,,baseline,1,0
hybrid_cr,utility_fisc_ext,,,,,99999,,baseline,1,0
hybrid_cr,gas_fisc_ext,.0031761766790081,,,,99999,,baseline,1,0
hybrid_cr,fed_fisc_ext,,,,,99999,,baseline,1,0
hybrid_cr,state_fisc_ext,.1515864809845691,,,,99999,,baseline,1,0
hybrid_cr,WTP_USPres,.9982820726294391,,,,99999,,baseline,1,0
hybrid_cr,WTP_USFut,.0058483412176139,,,,99999,,baseline,1,0
hybrid_cr,WTP_RoW,.045821689596219,,,,99999,,baseline,1,0
hybrid_cr,WTP_USTotal,,,,,99999,,baseline,1,0
hybrid_cr,enviro_mvpf,.0005774271558039,,,,99999,,baseline,1,0
hybrid_cr,cost_mvpf,.0312708579003811,,,,99999,,baseline,1,0
hybrid_cr,firm_mvpf,,,,,99999,,baseline,1,0
hybrid_cr,cost_wtp,.0312708579003811,,,,99999,,baseline,1,0
hybrid_cr,env_cost_wtp,.0002331852181777,,,,99999,,baseline,1,0
hybrid_cr,marginal,,,,,99999,,baseline,1,0
hybrid_cr,infmarg,,,,,99999,,baseline,1,0
hybrid_cr,wtp_private,,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc,.0195261783994088,,,,99999,,baseline,1,0
hybrid_cr,wtp_no_ice,.5494989620110364,,,,99999,,baseline,1,0
hybrid_cr,wtp_yes_ev,,,,,99999,,baseline,1,0
hybrid_cr,wtp_yes_hev,-.5272048843166881,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc_rbd,-.0167263401323551,,,,99999,,baseline,1,0
hybrid_cr,wtp_yes_ev_local,,,,,99999,,baseline,1,0
hybrid_cr,wtp_no_ice_local,.0606649660267805,,,,99999,,baseline,1,0
hybrid_cr,env_cost_wtp_l,-.0003331813204568,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
hybrid_cr,wtp_yes_ev_g,,,,,99999,,baseline,1,0
hybrid_cr,wtp_no_ice_g,.4888339959842559,,,,99999,,baseline,1,0
hybrid_cr,env_cost_wtp_g,.0005663665386345,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
hybrid_cr,wtp_marg,.0987499999999646,,,,99999,,baseline,1,0
hybrid_cr,wtp_inf,2276,,,,99999,,baseline,1,0
hybrid_cr,wtp_glob,.017064907079878,,,,99999,,baseline,1,0
hybrid_cr,wtp_loc,.0024612713195309,,,,99999,,baseline,1,0
hybrid_cr,wtp_r_glob,,,,,99999,,baseline,1,0
hybrid_cr,wtp_r_loc,,,,,99999,,baseline,1,0
hybrid_cr,wtp_e_cost,,,,,99999,,baseline,1,0
hybrid_cr,WTP_cc,1.042958055639145,,,,99999,,baseline,1,0
hybrid_cr,wtp_install,,,,,99999,,baseline,1,0
hybrid_cr,wtp_prod,,,,,99999,,baseline,1,0
hybrid_cr,wtp_prod_s,.0086541742535325,,,,99999,,baseline,1,0
hybrid_cr,wtp_prod_u,,,,,99999,,baseline,1,0
hybrid_cr,wtp_cons,1,,,,99999,,baseline,1,0
hybrid_cr,wtp_deal,,,,,99999,,baseline,1,0
hybrid_cr,admin_cost,,,,,99999,,baseline,1,0
hybrid_cr,wtp_permits,,,,,99999,,baseline,1,0
hybrid_cr,wtp_abatement,,,,,99999,,baseline,1,0
hybrid_cr,permitrev,,,,,99999,,baseline,1,0
hybrid_cr,wtp_no_leak,,,,,99999,,baseline,1,0
hybrid_cr,wtp_leak,,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc_g,,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc_l,,,,,99999,,baseline,1,0
hybrid_cr,fisc_ext_t,,,,,99999,,baseline,1,0
hybrid_cr,fisc_ext_s,,,,,99999,,baseline,1,0
hybrid_cr,fisc_ext_lr,-.0004524315953609,,,,99999,,baseline,1,0
hybrid_cr,q_CO2,.0001580928774445,,,,99999,,baseline,1,0
hybrid_cr,q_CO2_no,,,,,99999,,baseline,1,0
hybrid_cr,p_spend,,,,,99999,,baseline,1,0
hybrid_cr,ev_sub_c,,,,,99999,,baseline,1,0
hybrid_cr,ev_sub_c_row,,,,,99999,,baseline,1,0
hybrid_cr,ev_sub_c_us,,,,,99999,,baseline,1,0
hybrid_cr,ev_sub_env,,,,,99999,,baseline,1,0
hybrid_cr,ev_sub_cost,,,,,99999,,baseline,1,0
hybrid_cr,profits_fisc_e,,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc_l_po,,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc_l_dr,,,,,99999,,baseline,1,0
hybrid_cr,gov_carbon,.0001580928774445,,,,99999,,baseline,1,0
hybrid_cr,resource_ce,658.8577693110926,,,,99999,,baseline,1,0
hybrid_cr,q_carbon_mck,1.821870324373236,,,,99999,,baseline,1,0
hybrid_cr,semie,.0000867750439367,,,,99999,,baseline,1,0
hybrid_cr,pass_through,,,,,99999,,baseline,1,0
hybrid_cr,permitrev_new,,,,,99999,,baseline,1,0
hybrid_cr,permitrev_ex,,,,,99999,,baseline,1,0
hybrid_cr,fiscalext,,,,,99999,,baseline,1,0
hybrid_cr,firm_cost_wtp,,,,,99999,,baseline,1,0
hybrid_cr,c_savings,0,,,,99999,,baseline,1,0
hybrid_cr,resource_cost,,,,,99999,,baseline,1,0
hybrid_cr,q_CO2_mck,,,,,99999,,baseline,1,0
hybrid_cr,q_CO2_mck_no,,,,,99999,,baseline,1,0
hybrid_cr,wtp_ctr,,,,,99999,,baseline,1,0
hybrid_cr,gas_corp_fisc_e,.0023004767003061,,,,99999,,baseline,1,0
hybrid_cr,epsilon,,,,,99999,,baseline,1,0
hybrid_cr,transfer,,,,,99999,,baseline,1,0
hybrid_cr,enviro_wtp,,,,,99999,,baseline,1,0
hybrid_cr,cost_curve,,,,,99999,,baseline,1,0
hybrid_cr,profits,,,,,99999,,baseline,1,0
hybrid_cr,subsidies,,,,,99999,,baseline,1,0
hybrid_cr,taxes,,,,,99999,,baseline,1,0
hybrid_cr,wtp_batt,,,,,99999,,baseline,1,0
hybrid_cr,wtp_local_w_r,,,,,99999,,baseline,1,0
hybrid_cr,wind_g_wf,,,,,99999,,baseline,1,0
hybrid_cr,wind_l_wf,,,,,99999,,baseline,1,0
