program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
ihwap_lb,MVPF,1.136032032435174,,,,99999,,baseline,1,0
ihwap_lb,MVPF_no_cc,,,,,99999,,baseline,1,0
ihwap_lb,cost,10042.10779438479,,,,99999,1.0034797,baseline,1,0
ihwap_lb,WTP,11408.15612758806,,,,99999,1.1399851,baseline,1,0
ihwap_lb,program_cost,10007.28578946724,,,,99999,,baseline,1,0
ihwap_lb,total_cost,10042.10779438479,,,,99999,,baseline,1,0
ihwap_lb,beh_fisc_ext,,,,,99999,,baseline,1,0
ihwap_lb,utility_fisc_ext,,,,,99999,,baseline,1,0
ihwap_lb,gas_fisc_ext,,,,,99999,,baseline,1,0
ihwap_lb,fed_fisc_ext,,,,,99999,,baseline,1,0
ihwap_lb,state_fisc_ext,,,,,99999,,baseline,1,0
ihwap_lb,WTP_USPres,7072.888659103094,,,,99999,,baseline,1,0
ihwap_lb,WTP_USFut,650.2901202727451,,,,99999,,baseline,1,0
ihwap_lb,WTP_RoW,3684.977348212222,,,,99999,,baseline,1,0
ihwap_lb,WTP_USTotal,,,,,99999,,baseline,1,0
ihwap_lb,enviro_mvpf,,,,,99999,,baseline,1,0
ihwap_lb,cost_mvpf,,,,,99999,,baseline,1,0
ihwap_lb,firm_mvpf,,,,,99999,,baseline,1,0
ihwap_lb,cost_wtp,,,,,99999,,baseline,1,0
ihwap_lb,env_cost_wtp,,,,,99999,,baseline,1,0
ihwap_lb,marginal,,,,,99999,,baseline,1,0
ihwap_lb,infmarg,,,,,99999,,baseline,1,0
ihwap_lb,wtp_private,,,,,99999,,baseline,1,0
ihwap_lb,wtp_soc,4671.951694582551,,,,99999,,baseline,1,0
ihwap_lb,wtp_no_ice,,,,,99999,,baseline,1,0
ihwap_lb,wtp_yes_ev,,,,,99999,,baseline,1,0
ihwap_lb,wtp_yes_hev,,,,,99999,,baseline,1,0
ihwap_lb,wtp_soc_rbd,,,,,99999,,baseline,1,0
ihwap_lb,wtp_yes_ev_local,,,,,99999,,baseline,1,0
ihwap_lb,wtp_no_ice_local,,,,,99999,,baseline,1,0
ihwap_lb,env_cost_wtp_l,,,,,99999,,baseline,1,0
ihwap_lb,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
ihwap_lb,wtp_yes_ev_g,,,,,99999,,baseline,1,0
ihwap_lb,wtp_no_ice_g,,,,,99999,,baseline,1,0
ihwap_lb,env_cost_wtp_g,,,,,99999,,baseline,1,0
ihwap_lb,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
ihwap_lb,wtp_marg,2472.626274370617,,,,99999,,baseline,1,0
ihwap_lb,wtp_inf,4945.252548741234,,,,99999,,baseline,1,0
ihwap_lb,wtp_glob,5155.799935193845,,,,99999,,baseline,1,0
ihwap_lb,wtp_loc,418.6917074014032,,,,99999,,baseline,1,0
ihwap_lb,wtp_r_glob,-820.5324667088782,,,,99999,,baseline,1,0
ihwap_lb,wtp_r_loc,-82.00748130381901,,,,99999,,baseline,1,0
ihwap_lb,wtp_e_cost,,,,,99999,,baseline,1,0
ihwap_lb,WTP_cc,,,,,99999,,baseline,1,0
ihwap_lb,wtp_install,,,,,99999,,baseline,1,0
ihwap_lb,wtp_prod,-694.9914865607451,,,,99999,,baseline,1,0
ihwap_lb,wtp_prod_s,,,,,99999,,baseline,1,0
ihwap_lb,wtp_prod_u,,,,,99999,,baseline,1,0
ihwap_lb,wtp_cons,,,,,99999,,baseline,1,0
ihwap_lb,wtp_deal,,,,,99999,,baseline,1,0
ihwap_lb,admin_cost,,,,,99999,,baseline,1,0
ihwap_lb,wtp_permits,,,,,99999,,baseline,1,0
ihwap_lb,wtp_abatement,,,,,99999,,baseline,1,0
ihwap_lb,permitrev,,,,,99999,,baseline,1,0
ihwap_lb,wtp_no_leak,,,,,99999,,baseline,1,0
ihwap_lb,wtp_leak,,,,,99999,,baseline,1,0
ihwap_lb,wtp_soc_g,,,,,99999,,baseline,1,0
ihwap_lb,wtp_soc_l,,,,,99999,,baseline,1,0
ihwap_lb,fisc_ext_t,117.8640532763837,,,,99999,,baseline,1,0
ihwap_lb,fisc_ext_s,0,,,,99999,,baseline,1,0
ihwap_lb,fisc_ext_lr,-83.04204835882955,,,,99999,,baseline,1,0
ihwap_lb,q_CO2,21.42935094065786,,,,99999,,baseline,1,0
ihwap_lb,q_CO2_no,,,,,99999,,baseline,1,0
ihwap_lb,p_spend,10007.28578946724,,,,99999,,baseline,1,0
ihwap_lb,ev_sub_c,,,,,99999,,baseline,1,0
ihwap_lb,ev_sub_c_row,,,,,99999,,baseline,1,0
ihwap_lb,ev_sub_c_us,,,,,99999,,baseline,1,0
ihwap_lb,ev_sub_env,,,,,99999,,baseline,1,0
ihwap_lb,ev_sub_cost,,,,,99999,,baseline,1,0
ihwap_lb,profits_fisc_e,,,,,99999,,baseline,1,0
ihwap_lb,wtp_soc_l_po,,,,,99999,,baseline,1,0
ihwap_lb,wtp_soc_l_dr,,,,,99999,,baseline,1,0
ihwap_lb,gov_carbon,20.94107859320787,,,,99999,,baseline,1,0
ihwap_lb,resource_ce,138.9032408068151,,,,99999,,baseline,1,0
ihwap_lb,q_carbon_mck,46.13402620813337,,,,99999,,baseline,1,0
ihwap_lb,semie,,,,,99999,,baseline,1,0
ihwap_lb,pass_through,,,,,99999,,baseline,1,0
ihwap_lb,permitrev_new,,,,,99999,,baseline,1,0
ihwap_lb,permitrev_ex,,,,,99999,,baseline,1,0
ihwap_lb,fiscalext,,,,,99999,,baseline,1,0
ihwap_lb,firm_cost_wtp,,,,,99999,,baseline,1,0
ihwap_lb,c_savings,0,,,,99999,,baseline,1,0
