program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
ihwap_nb,MVPF,1.046837123783547,,,,,baseline,1,0
ihwap_nb,MVPF_no_cc,,,,,,baseline,1,0
ihwap_nb,cost,9948.337747039284,,,,1.0058473,baseline,1,0
ihwap_nb,WTP,10414.2892735379,,,,1.0529583,baseline,1,0
ihwap_nb,program_cost,9890.505097482468,,,,,baseline,1,0
ihwap_nb,total_cost,9948.337747039284,,,,,baseline,1,0
ihwap_nb,beh_fisc_ext,,,,,,baseline,1,0
ihwap_nb,utility_fisc_ext,,,,,,baseline,1,0
ihwap_nb,gas_fisc_ext,,,,,,baseline,1,0
ihwap_nb,fed_fisc_ext,,,,,,baseline,1,0
ihwap_nb,state_fisc_ext,,,,,,baseline,1,0
ihwap_nb,WTP_USPres,7074.295397769341,,,,,baseline,1,0
ihwap_nb,WTP_USFut,445.5561262737102,,,,,baseline,1,0
ihwap_nb,WTP_RoW,2894.43774949485,,,,,baseline,1,0
ihwap_nb,WTP_USTotal,,,,,,baseline,1,0
ihwap_nb,enviro_mvpf,,,,,,baseline,1,0
ihwap_nb,cost_mvpf,,,,,,baseline,1,0
ihwap_nb,firm_mvpf,,,,,,baseline,1,0
ihwap_nb,cost_wtp,,,,,,baseline,1,0
ihwap_nb,env_cost_wtp,,,,,,baseline,1,0
ihwap_nb,marginal,,,,,,baseline,1,0
ihwap_nb,infmarg,,,,,,baseline,1,0
ihwap_nb,wtp_private,,,,,,baseline,1,0
ihwap_nb,wtp_soc,3787.265080503058,,,,,baseline,1,0
ihwap_nb,wtp_no_ice,,,,,,baseline,1,0
ihwap_nb,wtp_yes_ev,,,,,,baseline,1,0
ihwap_nb,wtp_yes_hev,,,,,,baseline,1,0
ihwap_nb,wtp_soc_rbd,,,,,,baseline,1,0
ihwap_nb,wtp_yes_ev_local,,,,,,baseline,1,0
ihwap_nb,wtp_no_ice_local,,,,,,baseline,1,0
ihwap_nb,env_cost_wtp_l,,,,,,baseline,1,0
ihwap_nb,wtp_soc_rbd_l,,,,,,baseline,1,0
ihwap_nb,wtp_yes_ev_g,,,,,,baseline,1,0
ihwap_nb,wtp_no_ice_g,,,,,,baseline,1,0
ihwap_nb,env_cost_wtp_g,,,,,,baseline,1,0
ihwap_nb,wtp_soc_rbd_g,,,,,,baseline,1,0
ihwap_nb,wtp_marg,2472.626274370617,,,,,baseline,1,0
ihwap_nb,wtp_inf,4945.252548741234,,,,,baseline,1,0
ihwap_nb,wtp_glob,3932.841417328431,,,,,baseline,1,0
ihwap_nb,wtp_loc,475.1001843155434,,,,,baseline,1,0
ihwap_nb,wtp_r_glob,-592.8475415598708,,,,,baseline,1,0
ihwap_nb,wtp_r_loc,-93.05598557113269,,,,,baseline,1,0
ihwap_nb,wtp_e_cost,,,,,,baseline,1,0
ihwap_nb,WTP_cc,,,,,,baseline,1,0
ihwap_nb,wtp_install,,,,,,baseline,1,0
ihwap_nb,wtp_prod,-725.6276240869205,,,,,baseline,1,0
ihwap_nb,wtp_prod_s,,,,,,baseline,1,0
ihwap_nb,wtp_prod_u,,,,,,baseline,1,0
ihwap_nb,wtp_cons,,,,,,baseline,1,0
ihwap_nb,wtp_deal,,,,,,baseline,1,0
ihwap_nb,admin_cost,,,,,,baseline,1,0
ihwap_nb,wtp_permits,,,,,,baseline,1,0
ihwap_nb,wtp_abatement,,,,,,baseline,1,0
ihwap_nb,permitrev,,,,,,baseline,1,0
ihwap_nb,wtp_no_leak,,,,,,baseline,1,0
ihwap_nb,wtp_leak,,,,,,baseline,1,0
ihwap_nb,wtp_soc_g,,,,,,baseline,1,0
ihwap_nb,wtp_soc_l,,,,,,baseline,1,0
ihwap_nb,fisc_ext_t,123.0596555469046,,,,,baseline,1,0
ihwap_nb,fisc_ext_s,0,,,,,baseline,1,0
ihwap_nb,fisc_ext_lr,-65.22700599008689,,,,,baseline,1,0
ihwap_nb,q_CO2,26.01318790915101,,,,,baseline,1,0
ihwap_nb,q_CO2_no,,,,,,baseline,1,0
ihwap_nb,p_spend,9890.505097482468,,,,,baseline,1,0
ihwap_nb,ev_sub_c,,,,,,baseline,1,0
ihwap_nb,ev_sub_c_row,,,,,,baseline,1,0
ihwap_nb,ev_sub_c_us,,,,,,baseline,1,0
ihwap_nb,ev_sub_env,,,,,,baseline,1,0
ihwap_nb,ev_sub_cost,,,,,,baseline,1,0
ihwap_nb,profits_fisc_e,,,,,,baseline,1,0
ihwap_nb,wtp_soc_l_po,,,,,,baseline,1,0
ihwap_nb,wtp_soc_l_dr,,,,,,baseline,1,0
ihwap_nb,gov_carbon,30.69055094373728,,,,,baseline,1,0
ihwap_nb,resource_ce,83.00250160855005,,,,,baseline,1,0
ihwap_nb,q_carbon_mck,61.38110188747456,,,,,baseline,1,0
ihwap_nb,semie,,,,,,baseline,1,0
ihwap_nb,pass_through,,,,,,baseline,1,0
ihwap_nb,permitrev_new,,,,,,baseline,1,0
ihwap_nb,permitrev_ex,,,,,,baseline,1,0
ihwap_nb,fiscalext,,,,,,baseline,1,0
ihwap_nb,firm_cost_wtp,,,,,,baseline,1,0
ihwap_nb,c_savings,0,,,,,baseline,1,0
ihwap_nb,resource_cost,,,,,,baseline,1,0
ihwap_nb,q_CO2_mck,,,,,,baseline,1,0
ihwap_nb,q_CO2_mck_no,,,,,,baseline,1,0
ihwap_nb,wtp_ctr,,,,,,baseline,1,0
ihwap_nb,gas_corp_fisc_e,,,,,,baseline,1,0
ihwap_nb,epsilon,,,,,,baseline,1,0
ihwap_nb,transfer,,,,,,baseline,1,0
