program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
india_offset,MVPF,7.641171055455496,,,,,baseline,1,0
india_offset,MVPF_no_cc,,,,,,baseline,1,0
india_offset,cost,80287.49880573295,,,,1.1116974,baseline,1,0
india_offset,WTP,613490.5119892843,,,,8.4946699,baseline,1,0
india_offset,program_cost,72220.63914907344,,,,,baseline,1,0
india_offset,total_cost,80287.49880573295,,,,,baseline,1,0
india_offset,beh_fisc_ext,,,,,,baseline,1,0
india_offset,utility_fisc_ext,,,,,,baseline,1,0
india_offset,gas_fisc_ext,,,,,,baseline,1,0
india_offset,fed_fisc_ext,,,,,,baseline,1,0
india_offset,state_fisc_ext,,,,,,baseline,1,0
india_offset,WTP_USPres,0,,,,,baseline,1,0
india_offset,WTP_USFut,72205.55389666806,,,,,baseline,1,0
india_offset,WTP_RoW,541284.9580926162,,,,,baseline,1,0
india_offset,WTP_USTotal,,,,,,baseline,1,0
india_offset,enviro_mvpf,,,,,,baseline,1,0
india_offset,cost_mvpf,,,,,,baseline,1,0
india_offset,firm_mvpf,,,,,,baseline,1,0
india_offset,cost_wtp,,,,,,baseline,1,0
india_offset,env_cost_wtp,,,,,,baseline,1,0
india_offset,marginal,,,,,,baseline,1,0
india_offset,infmarg,,,,,,baseline,1,0
india_offset,wtp_private,,,,,,baseline,1,0
india_offset,wtp_soc,,,,,,baseline,1,0
india_offset,wtp_no_ice,,,,,,baseline,1,0
india_offset,wtp_yes_ev,,,,,,baseline,1,0
india_offset,wtp_yes_hev,,,,,,baseline,1,0
india_offset,wtp_soc_rbd,,,,,,baseline,1,0
india_offset,wtp_yes_ev_local,,,,,,baseline,1,0
india_offset,wtp_no_ice_local,,,,,,baseline,1,0
india_offset,env_cost_wtp_l,,,,,,baseline,1,0
india_offset,wtp_soc_rbd_l,,,,,,baseline,1,0
india_offset,wtp_yes_ev_g,,,,,,baseline,1,0
india_offset,wtp_no_ice_g,,,,,,baseline,1,0
india_offset,env_cost_wtp_g,,,,,,baseline,1,0
india_offset,wtp_soc_rbd_g,,,,,,baseline,1,0
india_offset,wtp_marg,,,,,,baseline,1,0
india_offset,wtp_inf,,,,,,baseline,1,0
india_offset,wtp_glob,675645.0353003073,,,,,baseline,1,0
india_offset,wtp_loc,0,,,,,baseline,1,0
india_offset,wtp_r_glob,-134375.1624600965,,,,,baseline,1,0
india_offset,wtp_r_loc,0,,,,,baseline,1,0
india_offset,wtp_e_cost,,,,,,baseline,1,0
india_offset,WTP_cc,,,,,,baseline,1,0
india_offset,wtp_install,,,,,,baseline,1,0
india_offset,wtp_prod,72220.63914907344,,,,,baseline,1,0
india_offset,wtp_prod_s,,,,,,baseline,1,0
india_offset,wtp_prod_u,,,,,,baseline,1,0
india_offset,wtp_cons,,,,,,baseline,1,0
india_offset,wtp_deal,,,,,,baseline,1,0
india_offset,admin_cost,,,,,,baseline,1,0
india_offset,wtp_permits,,,,,,baseline,1,0
india_offset,wtp_abatement,,,,,,baseline,1,0
india_offset,permitrev,,,,,,baseline,1,0
india_offset,wtp_no_leak,,,,,,baseline,1,0
india_offset,wtp_leak,,,,,,baseline,1,0
india_offset,wtp_soc_g,,,,,,baseline,1,0
india_offset,wtp_soc_l,,,,,,baseline,1,0
india_offset,fisc_ext_t,0,,,,,baseline,1,0
india_offset,fisc_ext_s,18637.36204414605,,,,,baseline,1,0
india_offset,fisc_ext_lr,-10570.50238748654,,,,,baseline,1,0
india_offset,q_CO2,,,,,,baseline,1,0
india_offset,q_CO2_no,,,,,,baseline,1,0
india_offset,p_spend,90858.00119321949,,,,,baseline,1,0
india_offset,ev_sub_c,,,,,,baseline,1,0
india_offset,ev_sub_c_row,,,,,,baseline,1,0
india_offset,ev_sub_c_us,,,,,,baseline,1,0
india_offset,ev_sub_env,,,,,,baseline,1,0
india_offset,ev_sub_cost,,,,,,baseline,1,0
india_offset,profits_fisc_e,,,,,,baseline,1,0
india_offset,wtp_soc_l_po,,,,,,baseline,1,0
india_offset,wtp_soc_l_dr,,,,,,baseline,1,0
india_offset,gov_carbon,,,,,,baseline,1,0
india_offset,resource_ce,,,,,,baseline,1,0
india_offset,q_carbon_mck,,,,,,baseline,1,0
india_offset,semie,,,,,,baseline,1,0
india_offset,pass_through,,,,,,baseline,1,0
india_offset,permitrev_new,,,,,,baseline,1,0
india_offset,permitrev_ex,,,,,,baseline,1,0
india_offset,fiscalext,,,,,,baseline,1,0
india_offset,firm_cost_wtp,,,,,,baseline,1,0
india_offset,c_savings,,,,,,baseline,1,0
india_offset,resource_cost,,,,,,baseline,1,0
india_offset,q_CO2_mck,,,,,,baseline,1,0
india_offset,q_CO2_mck_no,,,,,,baseline,1,0
india_offset,wtp_ctr,,,,,,baseline,1,0
india_offset,gas_corp_fisc_e,,,,,,baseline,1,0
india_offset,epsilon,,,,,,baseline,1,0
india_offset,transfer,,,,,,baseline,1,0
india_offset,enviro_wtp,,,,,,baseline,1,0
india_offset,cost_curve,,,,,,baseline,1,0
india_offset,profits,,,,,,baseline,1,0
india_offset,subsidies,,,,,,baseline,1,0
india_offset,taxes,,,,,,baseline,1,0
india_offset,wtp_batt,,,,,,baseline,1,0
india_offset,wtp_local_w_r,,,,,,baseline,1,0
india_offset,wind_g_wf,,,,,,baseline,1,0
india_offset,wind_l_wf,,,,,,baseline,1,0
