program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
india_offset,MVPF,7.641171055455496,,,,99999,,baseline,1,0
india_offset,MVPF_no_cc,,,,,99999,,baseline,1,0
india_offset,cost,80287.49880573295,,,,99999,1.1116974,baseline,1,0
india_offset,WTP,613490.5119892843,,,,99999,8.4946699,baseline,1,0
india_offset,program_cost,72220.63914907344,,,,99999,,baseline,1,0
india_offset,total_cost,80287.49880573295,,,,99999,,baseline,1,0
india_offset,beh_fisc_ext,,,,,99999,,baseline,1,0
india_offset,utility_fisc_ext,,,,,99999,,baseline,1,0
india_offset,gas_fisc_ext,,,,,99999,,baseline,1,0
india_offset,fed_fisc_ext,,,,,99999,,baseline,1,0
india_offset,state_fisc_ext,,,,,99999,,baseline,1,0
india_offset,WTP_USPres,0,,,,99999,,baseline,1,0
india_offset,WTP_USFut,72205.55389666806,,,,99999,,baseline,1,0
india_offset,WTP_RoW,541284.9580926162,,,,99999,,baseline,1,0
india_offset,WTP_USTotal,,,,,99999,,baseline,1,0
india_offset,enviro_mvpf,,,,,99999,,baseline,1,0
india_offset,cost_mvpf,,,,,99999,,baseline,1,0
india_offset,firm_mvpf,,,,,99999,,baseline,1,0
india_offset,cost_wtp,,,,,99999,,baseline,1,0
india_offset,env_cost_wtp,,,,,99999,,baseline,1,0
india_offset,marginal,,,,,99999,,baseline,1,0
india_offset,infmarg,,,,,99999,,baseline,1,0
india_offset,wtp_private,,,,,99999,,baseline,1,0
india_offset,wtp_soc,,,,,99999,,baseline,1,0
india_offset,wtp_no_ice,,,,,99999,,baseline,1,0
india_offset,wtp_yes_ev,,,,,99999,,baseline,1,0
india_offset,wtp_yes_hev,,,,,99999,,baseline,1,0
india_offset,wtp_soc_rbd,,,,,99999,,baseline,1,0
india_offset,wtp_yes_ev_local,,,,,99999,,baseline,1,0
india_offset,wtp_no_ice_local,,,,,99999,,baseline,1,0
india_offset,env_cost_wtp_l,,,,,99999,,baseline,1,0
india_offset,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
india_offset,wtp_yes_ev_g,,,,,99999,,baseline,1,0
india_offset,wtp_no_ice_g,,,,,99999,,baseline,1,0
india_offset,env_cost_wtp_g,,,,,99999,,baseline,1,0
india_offset,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
india_offset,wtp_marg,,,,,99999,,baseline,1,0
india_offset,wtp_inf,,,,,99999,,baseline,1,0
india_offset,wtp_glob,675645.0353003073,,,,99999,,baseline,1,0
india_offset,wtp_loc,0,,,,99999,,baseline,1,0
india_offset,wtp_r_glob,-134375.1624600965,,,,99999,,baseline,1,0
india_offset,wtp_r_loc,0,,,,99999,,baseline,1,0
india_offset,wtp_e_cost,,,,,99999,,baseline,1,0
india_offset,WTP_cc,,,,,99999,,baseline,1,0
india_offset,wtp_install,,,,,99999,,baseline,1,0
india_offset,wtp_prod,72220.63914907344,,,,99999,,baseline,1,0
india_offset,wtp_prod_s,,,,,99999,,baseline,1,0
india_offset,wtp_prod_u,,,,,99999,,baseline,1,0
india_offset,wtp_cons,,,,,99999,,baseline,1,0
india_offset,wtp_deal,,,,,99999,,baseline,1,0
india_offset,admin_cost,,,,,99999,,baseline,1,0
india_offset,wtp_permits,,,,,99999,,baseline,1,0
india_offset,wtp_abatement,,,,,99999,,baseline,1,0
india_offset,permitrev,,,,,99999,,baseline,1,0
india_offset,wtp_no_leak,,,,,99999,,baseline,1,0
india_offset,wtp_leak,,,,,99999,,baseline,1,0
india_offset,wtp_soc_g,,,,,99999,,baseline,1,0
india_offset,wtp_soc_l,,,,,99999,,baseline,1,0
india_offset,fisc_ext_t,0,,,,99999,,baseline,1,0
india_offset,fisc_ext_s,18637.36204414605,,,,99999,,baseline,1,0
india_offset,fisc_ext_lr,-10570.50238748654,,,,99999,,baseline,1,0
india_offset,q_CO2,,,,,99999,,baseline,1,0
india_offset,q_CO2_no,,,,,99999,,baseline,1,0
india_offset,p_spend,90858.00119321949,,,,99999,,baseline,1,0
india_offset,ev_sub_c,,,,,99999,,baseline,1,0
india_offset,ev_sub_c_row,,,,,99999,,baseline,1,0
india_offset,ev_sub_c_us,,,,,99999,,baseline,1,0
india_offset,ev_sub_env,,,,,99999,,baseline,1,0
india_offset,ev_sub_cost,,,,,99999,,baseline,1,0
india_offset,profits_fisc_e,,,,,99999,,baseline,1,0
india_offset,wtp_soc_l_po,,,,,99999,,baseline,1,0
india_offset,wtp_soc_l_dr,,,,,99999,,baseline,1,0
india_offset,gov_carbon,,,,,99999,,baseline,1,0
india_offset,resource_ce,,,,,99999,,baseline,1,0
india_offset,q_carbon_mck,,,,,99999,,baseline,1,0
india_offset,semie,,,,,99999,,baseline,1,0
india_offset,pass_through,,,,,99999,,baseline,1,0
india_offset,permitrev_new,,,,,99999,,baseline,1,0
india_offset,permitrev_ex,,,,,99999,,baseline,1,0
india_offset,fiscalext,,,,,99999,,baseline,1,0
india_offset,firm_cost_wtp,,,,,99999,,baseline,1,0
india_offset,c_savings,,,,,99999,,baseline,1,0
india_offset,resource_cost,,,,,99999,,baseline,1,0
india_offset,q_CO2_mck,,,,,99999,,baseline,1,0
india_offset,q_CO2_mck_no,,,,,99999,,baseline,1,0
india_offset,wtp_ctr,,,,,99999,,baseline,1,0
india_offset,gas_corp_fisc_e,,,,,99999,,baseline,1,0
india_offset,epsilon,,,,,99999,,baseline,1,0
india_offset,transfer,,,,,99999,,baseline,1,0
